Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,33,12.4,7.6-17.2
H.S. or G.E.D.,97,10.9,8.5-13.4
Some post-H.S.,141,13.4,11.0-15.8
College graduate,175,13.5,11.4-15.7
Alaska,,,
Less than H.S.,43,22.5,14.4-30.6
H.S. or G.E.D.,217,18.6,15.1-22.0
Some post-H.S.,244,17.4,14.6-20.2
College graduate,265,15.0,12.6-17.3
Arizona,,,
Less than H.S.,84,16.6,12.4-20.8
H.S. or G.E.D.,326,17.4,15.1-19.6
Some post-H.S.,398,15.9,14.1-17.7
College graduate,468,14.4,12.9-15.9
Arkansas,,,
Less than H.S.,24,12.5,7.1-18.0
H.S. or G.E.D.,109,11.6,9.0-14.2
Some post-H.S.,123,14.4,11.6-17.2
College graduate,120,12.2,9.8-14.7
California,,,
Less than H.S.,90,12.4,9.5-15.3
H.S. or G.E.D.,162,17.2,14.2-20.1
Some post-H.S.,214,15.6,13.3-17.9
College graduate,418,14.2,12.6-15.8
Colorado,,,
Less than H.S.,106,17.8,14.3-21.4
H.S. or G.E.D.,319,18.9,16.8-21.0
Some post-H.S.,432,19.8,17.8-21.6
College graduate,758,18.1,16.8-19.4
Connecticut,,,
Less than H.S.,35,9.1,5.5-12.7
H.S. or G.E.D.,202,12.5,10.3-14.7
Some post-H.S.,235,15.3,12.8-17.8
College graduate,493,14.2,12.7-15.8
Delaware,,,
Less than H.S.,21,10.8,5.6-15.9
H.S. or G.E.D.,103,14.8,11.4-18.1
Some post-H.S.,104,14.0,10.9-17.0
College graduate,133,10.9,8.7-13.1
District of Columbia,,,
Less than H.S.,10,*,
H.S. or G.E.D.,50,17.8,12.0-23.6
Some post-H.S.,42,16.3,10.6-22.0
College graduate,408,27.8,25.2-30.4
Georgia,,,
Less than H.S.,55,12.6,8.6-16.6
H.S. or G.E.D.,186,15.0,12.3-17.6
Some post-H.S.,204,15.2,12.4-18.0
College graduate,313,14.2,12.2-16.2
Hawaii,,,
Less than H.S.,25,11.8,6.5-17.1
H.S. or G.E.D.,307,18.2,15.9-20.4
Some post-H.S.,325,18.0,15.8-20.2
College graduate,432,15.0,13.3-16.6
Idaho,,,
Less than H.S.,40,14.7,9.5-19.9
H.S. or G.E.D.,233,16.6,14.3-18.9
Some post-H.S.,238,12.6,10.8-14.4
College graduate,255,13.2,11.5-15.0
Illinois,,,
Less than H.S.,13,11.5,5.0-17.9
H.S. or G.E.D.,69,11.4,8.5-14.2
Some post-H.S.,118,17.2,13.9-20.6
College graduate,219,16.0,13.8-18.3
Indiana,,,
Less than H.S.,58,13.8,10.0-17.5
H.S. or G.E.D.,306,14.8,13.0-16.5
Some post-H.S.,301,16.4,14.6-18.3
College graduate,442,15.8,14.4-17.3
Iowa,,,
Less than H.S.,90,14.2,10.3-18.0
H.S. or G.E.D.,463,19.2,17.2-21.2
Some post-H.S.,466,22.1,20.0-24.2
College graduate,497,20.4,18.6-22.3
Kansas,,,
Less than H.S.,79,18.2,13.9-22.4
H.S. or G.E.D.,569,16.5,15.1-18.0
Some post-H.S.,757,18.3,17.0-19.6
College graduate,"1,003",17.9,16.8-19.0
Kentucky,,,
Less than H.S.,31,8.8,4.9-12.8
