Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,17,8.4,3.5-13.3
H.S. or G.E.D.,52,5.0,3.4-6.6
Some post-H.S.,65,6.5,4.6-8.4
College graduate,82,5.5,4.1-6.9
Alaska,,,
Less than H.S.,13,*,
H.S. or G.E.D.,108,7.5,5.8-9.3
Some post-H.S.,119,8.3,6.5-10.1
College graduate,182,8.6,7.1-10.2
Arizona,,,
Less than H.S.,30,4.7,2.4-7.0
H.S. or G.E.D.,154,6.1,4.7-7.4
Some post-H.S.,206,5.8,4.7-6.9
College graduate,265,5.9,5.0-6.8
Arkansas,,,
Less than H.S.,15,5.4,2.3-8.6
H.S. or G.E.D.,76,5.2,3.8-6.5
Some post-H.S.,78,6.4,4.7-8.0
College graduate,81,5.1,3.9-6.4
California,,,
Less than H.S.,32,3.0,1.6-4.4
H.S. or G.E.D.,103,4.8,3.7-6.0
Some post-H.S.,152,5.9,4.7-7.1
College graduate,267,4.7,3.9-5.5
Colorado,,,
Less than H.S.,24,4.8,2.5-7.2
H.S. or G.E.D.,95,5.7,4.4-6.9
Some post-H.S.,131,7.2,5.8-8.7
College graduate,312,7.4,6.5-8.3
Connecticut,,,
Less than H.S.,16,*,
H.S. or G.E.D.,101,5.8,4.2-7.5
Some post-H.S.,107,6.2,4.5-7.8
College graduate,266,6.5,5.4-7.6
Delaware,,,
Less than H.S.,8,*,
H.S. or G.E.D.,55,5.5,3.7-7.3
Some post-H.S.,55,5.7,3.7-7.7
College graduate,95,4.7,3.5-5.9
District of Columbia,,,
Less than H.S.,6,*,
H.S. or G.E.D.,19,*,
Some post-H.S.,24,*,
College graduate,177,9.5,7.8-11.2
Florida,,,
Less than H.S.,45,7.3,3.0-11.6
H.S. or G.E.D.,209,8.4,6.2-10.7
Some post-H.S.,214,5.4,4.1-6.7
College graduate,308,6.0,4.9-7.1
Georgia,,,
Less than H.S.,22,4.3,2.3-6.3
H.S. or G.E.D.,82,5.2,3.6-6.9
Some post-H.S.,95,6.5,4.7-8.3
College graduate,178,5.2,4.2-6.2
Hawaii,,,
Less than H.S.,26,11.5,5.9-17.1
H.S. or G.E.D.,171,9.6,7.7-11.6
Some post-H.S.,184,8.3,6.7-9.8
College graduate,242,7.0,5.9-8.2
Idaho,,,
Less than H.S.,26,5.2,2.8-7.6
H.S. or G.E.D.,121,6.2,4.7-7.6
Some post-H.S.,111,5.7,4.3-7.2
College graduate,124,6.0,4.6-7.4
Illinois,,,
Less than H.S.,20,7.8,3.6-12.0
H.S. or G.E.D.,54,6.1,4.0-8.1
Some post-H.S.,51,3.5,2.4-4.5
College graduate,136,5.5,4.4-6.7
Indiana,,,
Less than H.S.,16,3.1,1.5-4.7
H.S. or G.E.D.,139,5.3,4.3-6.3
Some post-H.S.,143,5.9,4.8-7.0
College graduate,203,5.3,4.5-6.1
Iowa,,,
Less than H.S.,24,3.5,1.6-5.4
H.S. or G.E.D.,176,7.3,5.9-8.6
Some post-H.S.,178,8.4,7.0-9.9
College graduate,175,6.8,5.6-8.0
Kansas,,,
Less than H.S.,23,7.8,4.1-11.5
H.S. or G.E.D.,144,7.0,5.7-8.4
Some post-H.S.,157,6.6,5.4-7.9
College graduate,188,5.4,4.4-6.3
Louisiana,,,
Less than H.S.,24,5.8,3.2-8.5
H.S. or G.E.D.,82,4.8,3.6-6.1
Some post-H.S.,101,8.3,6.5-10.0
College graduate,118,7.5,5.8-9.2
Maine,,,
Less than H.S.,30,9.2,5.0-13.4
H.S. or G.E.D.,205,8.1,6.6-9.5
Some post-H.S.,260,9.4,7.9-10.9
College graduate,365,7.0,6.0-8.0
Maryland,,,
Less than H.S.,32,3.5,1.8-5.3
H.S. or G.E.D.,156,3.7,2.8-4.5
Some post-H.S.,179,4.3,3.4-5.3
College graduate,392,4.1,3.5-4.7
Massachusetts,,,
Less than H.S.,18,4.1,1.7-6.4
H.S. or G.E.D.,83,6.4,4.4-8.4
Some post-H.S.,135,6.9,5.2-8.7
College graduate,337,6.6,5.7-7.5
Michigan,,,
Less than H.S.,19,7.9,3.9-11.9
H.S. or G.E.D.,113,5.2,4.0-6.3
Some post-H.S.,127,5.7,4.5-6.9
College graduate,242,6.0,5.0-6.9
Minnesota,,,
Less than H.S.,29,5.1,2.8-7.3
H.S. or G.E.D.,178,5.8,4.7-6.8
Some post-H.S.,246,6.1,5.1-7.2
College graduate,412,6.0,5.3-6.8
Mississippi,,,
Less than H.S.,11,*,
H.S. or G.E.D.,69,8.4,6.0-10.8
Some post-H.S.,57,4.6,3.2-6.1
College graduate,88,6.0,4.6-7.5
Missouri,,,
Less than H.S.,24,6.4,3.2-9.7
H.S. or G.E.D.,105,5.6,4.3-7.0
Some post-H.S.,109,6.0,4.6-7.4
College graduate,130,5.3,4.1-6.5
Montana,,,
Less than H.S.,20,7.6,3.9-11.3
H.S. or G.E.D.,128,8.1,6.4-9.7
Some post-H.S.,141,8.0,6.5-9.5
College graduate,231,8.8,7.6-10.1
Nebraska,,,
Less than H.S.,28,3.2,1.7-4.7
