Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,209,50.5,43.8-57.2
H.S. or G.E.D.,545,32.9,29.8-36.0
Some post-H.S.,525,30.2,27.4-33.1
College graduate,554,26.0,23.6-28.4
Alaska,,,
Less than H.S.,74,33.2,24.9-41.4
H.S. or G.E.D.,381,19.3,16.7-21.9
Some post-H.S.,531,25.2,22.3-28.0
College graduate,595,22.5,20.1-24.9
Arizona,,,
Less than H.S.,193,21.1,17.4-24.8
H.S. or G.E.D.,654,22.0,19.8-24.1
Some post-H.S.,"1,234",27.6,25.8-29.6
College graduate,"1,268",23.3,21.7-24.9
Arkansas,,,
Less than H.S.,218,45.1,38.3-52.0
H.S. or G.E.D.,767,30.2,27.4-33.0
Some post-H.S.,693,31.6,28.6-34.6
College graduate,646,25.2,22.5-27.8
California,,,
Less than H.S.,200,20.9,17.7-24.1
H.S. or G.E.D.,225,17.2,14.5-19.9
Some post-H.S.,447,24.3,21.5-27.1
College graduate,676,17.6,15.9-19.4
Colorado,,,
Less than H.S.,164,21.1,17.5-24.6
H.S. or G.E.D.,568,23.2,21.2-25.2
Some post-H.S.,805,26.6,24.7-28.6
College graduate,"1,305",22.3,21.0-23.5
Connecticut,,,
Less than H.S.,113,24.3,18.7-30.0
H.S. or G.E.D.,575,26.3,23.8-28.8
Some post-H.S.,641,28.1,25.6-30.7
College graduate,988,21.0,19.4-22.5
Delaware,,,
Less than H.S.,58,22.7,15.9-29.5
H.S. or G.E.D.,309,29.2,25.5-32.9
Some post-H.S.,363,31.4,27.8-35.0
College graduate,435,23.3,20.8-25.8
District of Columbia,,,
Less than H.S.,55,24.6,16.4-32.8
H.S. or G.E.D.,146,19.7,15.6-23.8
Some post-H.S.,140,22.8,18.2-27.3
College graduate,495,14.8,13.2-16.4
Georgia,,,
Less than H.S.,307,34.5,29.7-39.4
H.S. or G.E.D.,820,24.5,22.2-26.9
Some post-H.S.,812,26.7,24.1-29.3
College graduate,962,19.8,18.1-21.6
Hawaii,,,
Less than H.S.,56,24.8,17.0-32.5
H.S. or G.E.D.,449,19.1,16.9-21.2
Some post-H.S.,597,21.0,18.8-23.1
College graduate,859,20.2,18.5-21.8
Idaho,,,
Less than H.S.,132,24.6,19.8-29.3
H.S. or G.E.D.,526,24.7,22.4-27.0
Some post-H.S.,733,27.0,24.9-29.1
College graduate,655,22.1,20.2-24.0
Illinois,,,
Less than H.S.,34,25.3,15.5-35.1
H.S. or G.E.D.,199,21.0,17.6-24.3
Some post-H.S.,276,29.0,25.4-32.6
College graduate,311,15.2,13.3-17.1
Indiana,,,
Less than H.S.,224,29.5,25.4-33.6
H.S. or G.E.D.,"1,168",31.1,29.3-33.0
