Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,47,11.9,7.9-16.0
H.S. or G.E.D.,109,8.8,6.8-10.9
Some post-H.S.,117,8.3,6.4-10.3
College graduate,108,7.5,5.8-9.1
Alaska,,,
Less than H.S.,27,14.2,8.1-20.2
H.S. or G.E.D.,146,12.2,9.8-14.6
Some post-H.S.,170,10.7,8.8-12.7
College graduate,202,8.9,7.4-10.4
Arizona,,,
Less than H.S.,82,9.9,6.9-12.9
H.S. or G.E.D.,248,8.8,7.1-10.4
Some post-H.S.,424,12.4,10.7-14.2
College graduate,501,9.2,8.0-10.3
Arkansas,,,
Less than H.S.,49,12.9,8.5-17.3
H.S. or G.E.D.,148,9.6,7.5-11.7
Some post-H.S.,148,10.0,8.1-11.8
College graduate,153,8.6,7.1-10.2
California,,,
Less than H.S.,70,5.2,3.7-6.7
H.S. or G.E.D.,193,9.1,7.4-10.9
Some post-H.S.,330,10.7,9.2-12.3
College graduate,490,8.6,7.3-9.9
Colorado,,,
Less than H.S.,53,11.6,8.1-15.1
H.S. or G.E.D.,164,10.0,8.2-11.9
Some post-H.S.,280,13.3,11.5-15.2
College graduate,455,10.5,9.4-11.6
Connecticut,,,
Less than H.S.,53,10.0,6.1-13.8
H.S. or G.E.D.,209,9.1,7.4-10.9
Some post-H.S.,266,14.0,11.6-16.3
College graduate,482,10.1,8.8-11.5
Delaware,,,
Less than H.S.,27,9.8,4.9-14.7
H.S. or G.E.D.,105,8.9,6.7-11.1
Some post-H.S.,140,14.4,11.2-17.7
College graduate,191,10.3,8.1-12.5
District of Columbia,,,
Less than H.S.,12,*,
H.S. or G.E.D.,68,18.3,11.6-24.9
Some post-H.S.,49,10.5,6.6-14.3
College graduate,177,8.8,7.1-10.5
Florida,,,
Less than H.S.,111,11.9,7.7-16.0
H.S. or G.E.D.,338,8.0,6.4-9.7
Some post-H.S.,368,8.4,6.9-9.9
College graduate,381,8.0,6.4-9.6
Georgia,,,
Less than H.S.,57,6.3,4.2-8.4
H.S. or G.E.D.,201,9.8,7.8-11.8
Some post-H.S.,196,10.5,8.6-12.5
College graduate,301,9.2,7.6-10.7
Hawaii,,,
Less than H.S.,34,13.9,8.0-19.7
H.S. or G.E.D.,213,9.9,8.1-11.7
Some post-H.S.,233,10.1,8.4-11.8
College graduate,302,8.7,7.4-10.1
Idaho,,,
Less than H.S.,57,12.1,8.3-16.0
H.S. or G.E.D.,208,9.9,8.2-11.6
Some post-H.S.,236,11.1,9.2-13.0
College graduate,224,10.0,8.3-11.7
Illinois,,,
Less than H.S.,42,9.7,6.2-13.2
H.S. or G.E.D.,99,10.0,7.6-12.4
Some post-H.S.,120,9.5,7.3-11.6
College graduate,222,9.3,7.7-10.8
Indiana,,,
Less than H.S.,82,13.5,10.1-17.0
H.S. or G.E.D.,366,11.1,9.7-12.4
Some post-H.S.,360,12.7,11.2-14.2
College graduate,398,9.7,8.6-10.8
Iowa,,,
Less than H.S.,80,13.5,9.9-17.2
H.S. or G.E.D.,252,8.4,7.1-9.7
