Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,92,28.0,21.8-34.2
H.S. or G.E.D.,262,21.3,18.3-24.3
Some post-H.S.,300,24.1,21.1-27.1
College graduate,286,18.2,15.8-20.5
Alaska,,,
Less than H.S.,48,20.4,13.9-26.9
H.S. or G.E.D.,268,20.9,17.5-24.2
Some post-H.S.,329,21.5,18.5-24.5
College graduate,348,16.3,14.0-18.5
Arizona,,,
Less than H.S.,116,16.3,12.5-20.1
H.S. or G.E.D.,408,18.1,15.9-20.2
Some post-H.S.,671,19.0,17.3-20.8
College graduate,682,15.5,14.1-17.0
Arkansas,,,
Less than H.S.,98,29.9,23.5-36.4
H.S. or G.E.D.,345,23.8,20.8-27.0
Some post-H.S.,372,28.5,25.1-31.9
College graduate,316,16.8,14.5-19.2
California,,,
Less than H.S.,121,12.3,9.8-14.8
H.S. or G.E.D.,162,13.2,10.9-15.6
Some post-H.S.,339,20.6,18.0-23.1
College graduate,439,12.9,11.4-14.4
Colorado,,,
Less than H.S.,106,16.7,13.2-20.2
H.S. or G.E.D.,420,20.8,18.7-22.8
Some post-H.S.,612,23.9,21.9-25.9
College graduate,927,18.4,17.2-19.6
Connecticut,,,
Less than H.S.,84,17.8,13.4-22.3
H.S. or G.E.D.,357,18.2,15.8-20.7
Some post-H.S.,431,19.8,17.3-22.2
College graduate,725,16.7,15.2-18.2
Delaware,,,
Less than H.S.,35,15.9,9.9-21.9
H.S. or G.E.D.,149,15.8,12.8-18.7
Some post-H.S.,184,19.6,16.1-23.1
College graduate,209,14.4,12.1-16.8
District of Columbia,,,
Less than H.S.,29,24.5,14.2-34.8
H.S. or G.E.D.,71,17.2,12.4-22.0
Some post-H.S.,94,22.6,17.1-28.1
College graduate,398,20.3,18.2-22.5
Georgia,,,
Less than H.S.,141,22.4,17.9-27.0
H.S. or G.E.D.,376,17.3,14.8-19.8
Some post-H.S.,423,19.8,17.2-22.3
College graduate,498,14.3,12.5-16.0
Hawaii,,,
Less than H.S.,40,18.1,11.6-24.5
H.S. or G.E.D.,226,9.9,8.4-11.5
Some post-H.S.,272,11.8,10.0-13.6
College graduate,385,9.8,8.5-11.0
Idaho,,,
Less than H.S.,109,29.9,24.1-35.7
H.S. or G.E.D.,340,22.1,19.5-24.7
Some post-H.S.,526,24.3,22.1-26.5
College graduate,440,18.6,16.7-20.5
Illinois,,,
Less than H.S.,30,25.8,16.3-35.2
H.S. or G.E.D.,101,13.8,10.8-16.7
Some post-H.S.,172,21.4,18.0-24.8
College graduate,226,13.0,11.0-15.0
Indiana,,,
Less than H.S.,180,31.9,27.2-36.5
H.S. or G.E.D.,638,23.3,21.4-25.2
Some post-H.S.,652,26.4,24.4-28.4
College graduate,711,19.3,17.8-20.8
Iowa,,,
Less than H.S.,95,16.3,12.1-20.6
H.S. or G.E.D.,467,17.2,15.4-19.1
Some post-H.S.,502,19.5,17.5-21.4
College graduate,484,16.6,14.9-18.2
Kansas,,,
Less than H.S.,178,31.3,26.8-35.9
H.S. or G.E.D.,765,18.9,17.5-20.3
Some post-H.S.,"1,112",22.7,21.3-24.0
College graduate,"1,196",16.7,15.7-17.8
Kentucky,,,
Less than H.S.,156,37.1,30.8-43.4
H.S. or G.E.D.,420,24.0,21.3-26.8
Some post-H.S.,440,32.2,28.9-35.4
College graduate,318,18.7,16.3-21.1
Louisiana,,,
Less than H.S.,117,29.5,24.0-34.9
H.S. or G.E.D.,350,23.8,21.0-26.7
Some post-H.S.,335,25.1,22.0-28.1
College graduate,411,21.9,19.6-24.2
Maine,,,
Less than H.S.,128,36.2,29.4-43.0
H.S. or G.E.D.,701,24.2,22.0-26.5
Some post-H.S.,817,25.0,23.0-27.1
College graduate,962,18.6,17.1-20.2
Maryland,,,
Less than H.S.,133,13.8,10.6-16.9
H.S. or G.E.D.,614,17.2,15.3-19.1
Some post-H.S.,685,20.0,18.0-21.9
College graduate,"1,160",14.6,13.5-15.7
Massachusetts,,,
Less than H.S.,102,25.2,19.6-30.8
H.S. or G.E.D.,302,18.1,15.7-20.6
Some post-H.S.,399,20.6,18.3-22.8
College graduate,714,16.2,14.8-17.7
Michigan,,,
Less than H.S.,126,35.0,29.1-40.9
H.S. or G.E.D.,526,22.0,20.0-24.0
Some post-H.S.,602,23.0,21.0-25.0
College graduate,753,18.7,17.2-20.2
Minnesota,,,
Less than H.S.,100,19.0,14.9-23.0
H.S. or G.E.D.,621,19.0,17.4-20.6
Some post-H.S.,"1,106",23.0,21.6-24.4
College graduate,"1,447",19.5,18.4-20.5
Mississippi,,,
Less than H.S.,102,22.0,17.2-27.0
H.S. or G.E.D.,246,19.9,16.8-23.0
Some post-H.S.,262,21.1,18.2-24.0
College graduate,236,17.0,14.5-19.5
Missouri,,,
Less than H.S.,238,26.6,22.1-31.2
H.S. or G.E.D.,832,21.4,19.3-23.5
Some post-H.S.,897,27.0,24.8-29.2
College graduate,709,18.6,16.8-20.4
Montana,,,
Less than H.S.,63,28.6,21.4-35.7
H.S. or G.E.D.,326,23.8,21.1-26.6
Some post-H.S.,403,24.0,21.5-26.5
College graduate,454,19.5,17.6-21.4
Nebraska,,,
Less than H.S.,101,15.8,12.1-19.5
H.S. or G.E.D.,638,17.7,16.0-19.4
Some post-H.S.,762,20.0,18.3-21.8
College graduate,733,14.9,13.6-16.2
Nevada,,,
Less than H.S.,30,16.9,9.7-24.0
H.S. or G.E.D.,112,15.0,11.6-18.3
Some post-H.S.,183,20.6,16.7-24.5
College graduate,156,14.9,11.8-18.0
New Hampshire,,,
Less than H.S.,65,32.8,24.1-41.4
H.S. or G.E.D.,323,23.7,20.6-26.8
Some post-H.S.,376,25.4,22.4-28.4
College graduate,534,19.3,17.4-21.2
New Jersey,,,
Less than H.S.,86,16.8,12.4-21.1
H.S. or G.E.D.,307,19.2,16.6-21.8
Some post-H.S.,378,21.2,18.6-23.8
College graduate,552,14.4,12.9-15.9
New Mexico,,,
Less than H.S.,136,20.0,15.8-24.2
H.S. or G.E.D.,291,17.0,14.6-19.4
Some post-H.S.,377,23.6,20.9-26.4
College graduate,409,17.8,15.7-19.9
New York,,,
Less than H.S.,669,20.1,17.9-22.3
H.S. or G.E.D.,"2,173",17.4,16.1-18.7
Some post-H.S.,"2,241",18.7,17.4-20.0
