Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,152,19.3,15.7-22.8
H.S. or G.E.D.,439,15.2,13.5-17.0
Some post-H.S.,356,12.5,11.0-14.0
College graduate,338,11.0,9.6-12.4
Alaska,,,
Less than H.S.,15,6.9,2.9-11.0
H.S. or G.E.D.,85,6.2,4.3-8.1
Some post-H.S.,92,8.3,6.0-10.7
College graduate,107,7.3,5.2-9.3
Arizona,,,
Less than H.S.,152,16.5,12.2-20.7
H.S. or G.E.D.,318,9.7,7.9-11.4
Some post-H.S.,420,11.4,9.7-13.1
College graduate,369,8.6,7.2-10.0
Arkansas,,,
Less than H.S.,132,19.7,15.5-24.0
H.S. or G.E.D.,347,14.1,12.1-16.1
Some post-H.S.,283,12.8,10.9-14.7
College graduate,235,10.1,8.3-11.8
California,,,
Less than H.S.,343,17.3,15.3-19.3
H.S. or G.E.D.,236,9.8,8.2-11.3
Some post-H.S.,319,9.2,7.9-10.5
College graduate,402,7.3,6.3-8.3
Colorado,,,
Less than H.S.,91,11.1,8.6-13.7
H.S. or G.E.D.,179,7.4,6.1-8.6
Some post-H.S.,273,8.3,7.1-9.5
College graduate,288,4.6,4.0-5.3
Connecticut,,,
Less than H.S.,101,18.5,14.5-22.4
H.S. or G.E.D.,318,10.8,9.3-12.3
Some post-H.S.,297,9.9,8.4-11.3
College graduate,349,5.9,5.2-6.7
Delaware,,,
Less than H.S.,83,20.0,14.7-25.3
H.S. or G.E.D.,173,14.1,11.4-16.7
Some post-H.S.,136,12.5,9.8-15.2
College graduate,166,9.0,7.0-11.0
District of Columbia,,,
Less than H.S.,43,25.4,17.5-33.3
H.S. or G.E.D.,79,10.4,7.7-13.1
Some post-H.S.,97,13.3,10.1-16.5
College graduate,120,3.7,2.9-4.5
Florida,,,
Less than H.S.,409,20.3,16.4-24.2
H.S. or G.E.D.,846,12.4,10.7-14.2
Some post-H.S.,764,10.8,9.1-12.4
College graduate,640,8.0,6.8-9.1
Georgia,,,
Less than H.S.,207,16.1,13.0-19.2
H.S. or G.E.D.,380,13.8,11.7-15.9
Some post-H.S.,332,11.8,10.0-13.7
College graduate,295,8.1,6.5-9.6
Hawaii,,,
Less than H.S.,51,12.6,8.5-16.7
H.S. or G.E.D.,304,12.3,10.5-14.0
Some post-H.S.,287,11.1,9.5-12.6
College graduate,282,7.6,6.5-8.6
Idaho,,,
Less than H.S.,73,18.1,12.5-23.8
H.S. or G.E.D.,202,9.9,8.0-11.8
Some post-H.S.,237,9.5,7.8-11.2
College graduate,191,8.7,6.9-10.5
Illinois,,,
