Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,45,10.9,5.7-16.2
H.S. or G.E.D.,101,5.4,4.1-6.7
Some post-H.S.,93,4.8,3.6-6.0
College graduate,73,3.0,2.1-3.9
Alaska,,,
Less than H.S.,17,*,
H.S. or G.E.D.,95,4.1,3.0-5.1
Some post-H.S.,120,4.8,3.7-5.8
College graduate,85,2.0,1.5-2.6
Arizona,,,
Less than H.S.,45,3.7,2.2-5.1
H.S. or G.E.D.,148,4.4,3.2-5.6
Some post-H.S.,264,5.4,4.2-6.5
College graduate,246,4.0,3.3-4.7
Arkansas,,,
Less than H.S.,57,11.2,7.9-14.5
H.S. or G.E.D.,180,7.3,6.0-8.6
Some post-H.S.,104,5.5,4.2-6.8
College graduate,111,4.0,3.2-4.9
California,,,
Less than H.S.,43,4.2,2.8-5.6
H.S. or G.E.D.,84,4.2,2.6-5.7
Some post-H.S.,162,4.2,3.3-5.1
College graduate,152,2.2,1.7-2.7
Colorado,,,
Less than H.S.,38,4.8,2.9-6.8
H.S. or G.E.D.,84,4.0,2.5-5.5
Some post-H.S.,116,4.5,3.4-5.6
College graduate,132,2.2,1.7-2.7
Connecticut,,,
Less than H.S.,39,4.7,2.8-6.6
H.S. or G.E.D.,118,6.4,4.4-8.5
Some post-H.S.,122,3.8,2.8-4.7
College graduate,162,2.7,2.1-3.4
Delaware,,,
Less than H.S.,18,5.0,2.4-7.6
H.S. or G.E.D.,68,4.7,3.1-6.3
Some post-H.S.,63,4.2,2.8-5.7
College graduate,56,2.9,1.9-3.8
District of Columbia,,,
Less than H.S.,14,*,
H.S. or G.E.D.,22,4.1,2.0-6.3
Some post-H.S.,17,1.8,0.8-2.9
College graduate,58,2.1,1.4-2.8
Florida,,,
Less than H.S.,108,6.5,4.3-8.8
H.S. or G.E.D.,311,4.8,3.9-5.8
Some post-H.S.,310,5.0,3.7-6.3
College graduate,281,3.6,2.7-4.4
Georgia,,,
Less than H.S.,81,8.5,5.8-11.2
H.S. or G.E.D.,150,4.0,3.1-4.8
Some post-H.S.,171,3.8,3.0-4.6
College graduate,158,2.5,1.9-3.1
Hawaii,,,
Less than H.S.,22,7.2,3.2-11.2
H.S. or G.E.D.,81,3.4,2.2-4.5
Some post-H.S.,110,3.8,2.8-4.8
College graduate,108,2.5,1.9-3.2
Idaho,,,
Less than H.S.,32,9.0,5.2-12.8
H.S. or G.E.D.,84,4.7,3.5-5.9
Some post-H.S.,103,4.1,3.2-5.0
College graduate,105,3.6,2.8-4.4
Illinois,,,
Less than H.S.,18,4.2,2.0-6.5
H.S. or G.E.D.,49,5.1,3.3-6.8
Some post-H.S.,64,4.8,3.4-6.1
College graduate,34,1.3,0.7-1.8
Indiana,,,
Less than H.S.,58,7.3,5.2-9.4
H.S. or G.E.D.,248,6.2,5.3-7.1
Some post-H.S.,183,4.7,3.8-5.5
College graduate,157,3.0,2.5-3.6
Iowa,,,
Less than H.S.,46,6.3,3.8-8.8
H.S. or G.E.D.,157,4.8,3.9-5.7
Some post-H.S.,141,3.9,3.1-4.7
College graduate,104,2.5,1.9-3.0
Kansas,,,
Less than H.S.,48,8.1,5.4-10.7
H.S. or G.E.D.,191,4.2,3.4-4.9
Some post-H.S.,217,4.3,3.5-5.1
College graduate,182,2.8,2.3-3.3
Kentucky,,,
Less than H.S.,50,10.0,6.7-13.3
H.S. or G.E.D.,101,5.8,4.2-7.4
Some post-H.S.,75,5.4,3.6-7.1
College graduate,61,3.9,2.4-5.4
Louisiana,,,
Less than H.S.,51,11.2,7.7-14.8
H.S. or G.E.D.,119,4.9,3.8-6.0
Some post-H.S.,81,3.8,2.7-4.9
College graduate,93,3.1,2.4-3.9
Maine,,,
Less than H.S.,63,13.0,8.8-17.2
H.S. or G.E.D.,235,6.9,5.7-8.1
Some post-H.S.,242,6.1,5.2-7.1
College graduate,204,3.2,2.6-3.8
Maryland,,,
Less than H.S.,69,3.6,2.2-4.9
H.S. or G.E.D.,294,5.0,3.9-6.0
Some post-H.S.,225,3.8,3.0-4.5
College graduate,288,2.4,1.9-2.9
Massachusetts,,,
Less than H.S.,61,9.4,6.3-12.4
H.S. or G.E.D.,131,4.5,3.5-5.5
Some post-H.S.,124,4.9,3.8-6.0
College graduate,189,2.7,2.2-3.2
Michigan,,,
Less than H.S.,41,8.1,5.3-10.9
H.S. or G.E.D.,171,5.4,4.2-6.7
Some post-H.S.,178,4.6,3.8-5.3
College graduate,192,3.0,2.5-3.6
Minnesota,,,
Less than H.S.,56,8.9,5.7-12.2
H.S. or G.E.D.,190,4.8,3.9-5.6
Some post-H.S.,246,3.6,3.0-4.2
College graduate,257,2.5,2.1-2.9
Mississippi,,,
Less than H.S.,53,12.3,8.6-16.0
H.S. or G.E.D.,56,4.5,3.1-6.0
Some post-H.S.,70,4.6,3.3-5.9
College graduate,47,2.8,1.6-4.0
Missouri,,,
Less than H.S.,57,10.7,6.9-14.5
H.S. or G.E.D.,155,4.9,3.9-5.9
Some post-H.S.,140,4.8,3.7-5.9
College graduate,115,3.2,2.5-4.0
Montana,,,
Less than H.S.,30,7.0,4.1-10.0
H.S. or G.E.D.,129,4.6,3.7-5.6
Some post-H.S.,146,5.4,4.3-6.4
College graduate,119,3.0,2.3-3.7
Nebraska,,,
Less than H.S.,40,6.2,3.7-8.8
H.S. or G.E.D.,188,5.7,4.6-6.9
Some post-H.S.,137,4.0,3.1-4.9
College graduate,123,3.0,2.3-3.7
Nevada,,,
Less than H.S.,15,*,
H.S. or G.E.D.,57,5.5,3.4-7.6
Some post-H.S.,62,4.0,2.5-5.5
College graduate,62,3.5,2.3-4.7
New Hampshire,,,
Less than H.S.,29,8.1,3.5-12.7
H.S. or G.E.D.,163,6.3,5.0-7.5
Some post-H.S.,130,4.8,3.7-5.9
College graduate,174,3.1,2.5-3.7
New Jersey,,,
Less than H.S.,41,7.8,4.5-11.0
H.S. or G.E.D.,90,5.0,3.3-6.8
Some post-H.S.,86,4.7,2.9-6.6
College graduate,119,2.6,1.8-3.3
New Mexico,,,
Less than H.S.,40,6.4,4.0-8.9
H.S. or G.E.D.,72,4.1,2.8-5.3
Some post-H.S.,80,4.6,3.1-6.0
College graduate,113,4.0,3.0-4.9
New York,,,
Less than H.S.,106,7.7,5.5-10.0
H.S. or G.E.D.,250,4.7,3.8-5.5
Some post-H.S.,207,3.5,2.9-4.2
