Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,36,8.4,5.0-11.8
H.S. or G.E.D.,92,5.7,4.2-7.1
Some post-H.S.,78,4.1,3.0-5.2
College graduate,70,3.6,2.5-4.6
Alaska,,,
Less than H.S.,19,7.5,3.2-11.8
H.S. or G.E.D.,46,2.5,1.6-3.4
Some post-H.S.,82,3.5,2.5-4.5
College graduate,64,2.2,1.5-2.9
Arizona,,,
Less than H.S.,37,3.9,2.2-5.7
H.S. or G.E.D.,135,2.9,2.2-3.6
Some post-H.S.,199,4.2,3.3-5.2
College graduate,170,2.0,1.6-2.5
Arkansas,,,
Less than H.S.,43,10.6,6.4-14.7
H.S. or G.E.D.,103,4.3,3.3-5.3
Some post-H.S.,96,4.8,3.6-6.0
College graduate,71,3.2,2.3-4.1
California,,,
Less than H.S.,51,3.2,2.1-4.2
H.S. or G.E.D.,97,2.8,2.0-3.6
Some post-H.S.,143,3.6,2.7-4.5
College graduate,177,2.3,1.7-2.8
Colorado,,,
Less than H.S.,21,3.6,1.8-5.4
H.S. or G.E.D.,60,3.4,2.3-4.6
Some post-H.S.,80,2.7,2.0-3.5
College graduate,102,1.7,1.2-2.1
Connecticut,,,
Less than H.S.,21,*,
H.S. or G.E.D.,93,3.6,2.4-4.7
Some post-H.S.,76,2.9,1.8-4.0
College graduate,125,1.9,1.4-2.5
Delaware,,,
Less than H.S.,22,*,
H.S. or G.E.D.,58,3.2,2.2-4.2
Some post-H.S.,61,4.5,2.9-6.0
College graduate,66,2.2,1.6-2.9
District of Columbia,,,
Less than H.S.,10,*,
H.S. or G.E.D.,44,6.6,4.1-9.1
Some post-H.S.,39,4.8,2.7-6.9
College graduate,45,1.2,0.7-1.8
Florida,,,
Less than H.S.,52,3.9,1.7-6.1
H.S. or G.E.D.,216,4.0,2.8-5.3
Some post-H.S.,240,4.4,3.3-5.5
College graduate,165,2.4,1.5-3.2
Georgia,,,
Less than H.S.,48,4.9,3.1-6.6
H.S. or G.E.D.,122,3.6,2.6-4.5
Some post-H.S.,113,3.6,2.7-4.6
College graduate,116,2.0,1.5-2.5
Hawaii,,,
Less than H.S.,20,*,
H.S. or G.E.D.,81,3.1,2.1-4.1
Some post-H.S.,104,3.6,2.6-4.6
College graduate,133,3.3,2.5-4.2
Idaho,,,
Less than H.S.,22,*,
H.S. or G.E.D.,77,2.7,1.9-3.5
Some post-H.S.,101,3.6,2.7-4.6
College graduate,77,2.5,1.8-3.2
Illinois,,,
Less than H.S.,14,*,
H.S. or G.E.D.,46,3.8,2.4-5.2
Some post-H.S.,42,3.2,1.7-4.7
College graduate,55,1.9,1.2-2.5
Indiana,,,
Less than H.S.,49,6.2,4.0-8.3
H.S. or G.E.D.,210,4.6,3.8-5.3
Some post-H.S.,131,3.6,2.9-4.3
College graduate,117,2.2,1.8-2.7
Iowa,,,
Less than H.S.,25,3.9,2.0-5.8
H.S. or G.E.D.,119,3.4,2.6-4.1
Some post-H.S.,101,2.8,2.1-3.5
College graduate,77,1.7,1.2-2.1
Kansas,,,
Less than H.S.,21,3.3,1.5-5.1
H.S. or G.E.D.,119,3.3,2.5-4.1
Some post-H.S.,128,3.5,2.7-4.2
College graduate,102,2.1,1.6-2.6
Louisiana,,,
Less than H.S.,63,10.7,6.8-14.6
H.S. or G.E.D.,126,5.6,4.4-6.7
Some post-H.S.,70,3.3,2.4-4.2
College graduate,68,2.7,1.9-3.5
Maine,,,
Less than H.S.,43,11.4,7.1-15.7
H.S. or G.E.D.,184,4.6,3.7-5.5
Some post-H.S.,175,3.6,2.9-4.3
College graduate,194,2.5,2.1-3.0
Maryland,,,
Less than H.S.,66,5.0,3.3-6.7
H.S. or G.E.D.,265,4.3,3.4-5.3
Some post-H.S.,186,3.3,2.4-4.2
