Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,66,30.0,22.7-37.3
H.S. or G.E.D.,360,41.7,37.8-45.7
Some post-H.S.,456,42.9,39.3-46.4
College graduate,669,59.3,56.2-62.3
Alaska,,,
Less than H.S.,90,36.6,28.9-44.3
H.S. or G.E.D.,638,52.6,49.2-56.0
Some post-H.S.,703,51.6,48.4-54.8
College graduate,"1,145",60.1,57.5-62.8
Arizona,,,
Less than H.S.,165,36.2,30.2-42.1
H.S. or G.E.D.,673,43.3,39.9-46.8
Some post-H.S.,"1,099",46.1,43.3-48.9
College graduate,"1,583",55.6,53.2-58.1
Arkansas,,,
Less than H.S.,55,21.8,16.0-27.6
H.S. or G.E.D.,501,41.1,38.0-44.2
Some post-H.S.,468,47.9,44.5-51.3
College graduate,769,57.9,55.1-60.8
California,,,
Less than H.S.,257,38.4,33.8-43.0
H.S. or G.E.D.,874,45.3,42.3-48.2
Some post-H.S.,"1,071",44.1,41.5-46.6
College graduate,"2,781",59.6,57.6-61.5
Colorado,,,
Less than H.S.,225,43.9,38.4-49.5
H.S. or G.E.D.,754,47.0,43.9-50.0
Some post-H.S.,"1,038",48.1,45.6-50.6
College graduate,"2,431",58.5,56.8-60.1
Connecticut,,,
Less than H.S.,150,27.1,22.1-32.2
H.S. or G.E.D.,826,44.9,41.7-48.2
Some post-H.S.,931,47.5,44.4-50.6
College graduate,"2,588",60.2,58.2-62.1
Delaware,,,
Less than H.S.,74,33.5,25.4-41.6
H.S. or G.E.D.,397,44.7,40.6-48.8
Some post-H.S.,417,48.9,44.8-53.1
College graduate,783,62.1,59.0-65.3
District of Columbia,,,
Less than H.S.,31,42.8,30.2-55.4
H.S. or G.E.D.,158,40.9,34.9-47.0
Some post-H.S.,175,49.2,42.6-55.7
College graduate,"1,273",73.2,71.0-75.4
Florida,,,
Less than H.S.,176,33.8,27.3-40.4
H.S. or G.E.D.,914,34.9,31.5-38.3
Some post-H.S.,"1,179",39.3,36.0-42.5
College graduate,"1,785",48.8,46.1-51.5
Georgia,,,
Less than H.S.,144,28.7,23.6-33.7
H.S. or G.E.D.,680,44.4,41.3-47.6
Some post-H.S.,857,44.3,41.4-47.2
College graduate,"1,676",60.0,57.7-62.3
Hawaii,,,
Less than H.S.,82,43.9,35.3-52.6
H.S. or G.E.D.,865,53.8,50.8-56.8
Some post-H.S.,843,47.7,44.8-50.5
College graduate,"1,520",56.5,54.2-58.8
Idaho,,,
Less than H.S.,126,45.1,38.5-51.8
H.S. or G.E.D.,708,50.5,47.6-53.4
Some post-H.S.,787,45.1,42.5-47.7
College graduate,"1,064",53.4,51.0-55.7
Illinois,,,
Less than H.S.,124,41.4,34.4-48.3
H.S. or G.E.D.,375,43.0,38.9-47.0
Some post-H.S.,438,44.7,40.9-48.5
College graduate,"1,041",61.2,58.3-64.0
Indiana,,,
Less than H.S.,160,32.0,27.4-36.6
H.S. or G.E.D.,"1,051",44.6,42.3-46.8
Some post-H.S.,"1,167",50.9,48.6-53.2
College graduate,"2,001",63.2,61.4-64.9
Iowa,,,
Less than H.S.,280,42.4,37.0-47.8
H.S. or G.E.D.,"1,092",48.0,45.6-50.5
