Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,29,7.7,4.7-10.6
H.S. or G.E.D.,70,5.3,3.7-6.8
Some post-H.S.,92,7.0,5.3-8.8
College graduate,140,8.2,6.6-9.8
Alaska,,,
Less than H.S.,13,*,
H.S. or G.E.D.,93,10.4,7.2-13.6
Some post-H.S.,112,10.6,7.9-13.3
College graduate,124,10.1,7.4-12.8
Arizona,,,
Less than H.S.,73,11.3,8.2-14.4
H.S. or G.E.D.,191,9.5,7.7-11.3
Some post-H.S.,240,7.6,6.3-8.8
College graduate,326,8.3,7.2-9.5
Arkansas,,,
Less than H.S.,28,10.8,5.9-15.6
H.S. or G.E.D.,118,9.0,7.0-11.0
Some post-H.S.,90,6.9,5.1-8.6
College graduate,126,8.8,6.8-10.6
California,,,
Less than H.S.,38,6.9,4.5-9.4
H.S. or G.E.D.,71,9.0,6.5-11.5
Some post-H.S.,106,9.3,7.1-11.5
College graduate,261,12.6,10.6-14.5
Colorado,,,
Less than H.S.,68,13.5,9.9-17.0
H.S. or G.E.D.,212,10.2,8.7-11.7
Some post-H.S.,280,10.4,9.0-11.7
College graduate,580,11.9,10.9-13.0
Connecticut,,,
Less than H.S.,52,9.3,6.0-12.7
H.S. or G.E.D.,170,9.5,7.5-11.6
Some post-H.S.,146,6.4,5.0-7.8
College graduate,364,8.2,7.0-9.3
Delaware,,,
Less than H.S.,55,10.6,6.7-14.5
H.S. or G.E.D.,93,9.2,6.7-11.6
Some post-H.S.,60,6.1,4.2-8.1
College graduate,109,6.8,5.3-8.4
District of Columbia,,,
Less than H.S.,10,*,
H.S. or G.E.D.,20,5.3,2.7-7.9
Some post-H.S.,32,7.4,4.2-10.6
College graduate,217,8.0,6.8-9.3
Florida,,,
Less than H.S.,123,13.0,8.8-17.3
H.S. or G.E.D.,248,13.1,9.8-16.5
Some post-H.S.,270,9.8,7.7-11.8
College graduate,396,13.4,11.1-15.8
Georgia,,,
Less than H.S.,69,10.2,6.6-13.8
H.S. or G.E.D.,155,8.6,6.6-10.6
Some post-H.S.,181,9.5,7.5-11.5
College graduate,239,9.4,7.7-11.1
Hawaii,,,
Less than H.S.,26,12.5,7.2-17.8
H.S. or G.E.D.,202,10.1,8.4-11.9
Some post-H.S.,247,10.6,8.9-12.2
College graduate,388,11.2,9.9-12.6
Idaho,,,
Less than H.S.,37,9.8,5.4-14.2
H.S. or G.E.D.,153,9.7,7.8-11.7
Some post-H.S.,209,10.3,8.4-12.2
College graduate,240,12.1,10.2-14.0
Illinois,,,
Less than H.S.,5,*,
H.S. or G.E.D.,44,6.2,4.1-8.2
Some post-H.S.,54,7.3,5.1-9.5
College graduate,116,7.2,5.7-8.8
Indiana,,,
Less than H.S.,37,6.8,4.4-9.1
H.S. or G.E.D.,192,7.9,6.7-9.1
Some post-H.S.,144,7.4,6.1-8.7
College graduate,248,8.8,7.7-10.0
Iowa,,,
Less than H.S.,41,10.1,6.6-13.6
H.S. or G.E.D.,309,10.4,9.2-11.6
