Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,143,25.9,21.1-30.7
H.S. or G.E.D.,229,12.7,10.7-14.8
Some post-H.S.,167,8.7,7.2-10.3
College graduate,74,3.0,2.2-3.7
Alaska,,,
Less than H.S.,27,15.3,7.5-23.0
H.S. or G.E.D.,88,7.0,4.8-9.3
Some post-H.S.,56,3.5,2.2-4.9
College graduate,25,*,
Arizona,,,
Less than H.S.,120,10.5,7.9-13.0
H.S. or G.E.D.,207,5.6,4.4-6.7
Some post-H.S.,197,4.3,3.4-5.1
College graduate,112,2.7,1.9-3.4
Arkansas,,,
Less than H.S.,125,23.0,18.0-28.1
H.S. or G.E.D.,225,13.4,11.2-15.6
Some post-H.S.,133,9.2,7.3-11.2
College graduate,46,2.6,1.7-3.5
California,,,
Less than H.S.,60,12.6,9.0-16.3
H.S. or G.E.D.,66,6.6,4.8-8.6
Some post-H.S.,79,4.8,3.5-6.2
College graduate,32,1.0,0.6-1.3
Colorado,,,
Less than H.S.,87,11.8,9.1-14.4
H.S. or G.E.D.,129,5.4,4.2-6.6
Some post-H.S.,138,4.9,4.0-5.8
College graduate,83,1.4,1.1-1.8
Connecticut,,,
Less than H.S.,93,15.8,11.0-20.5
H.S. or G.E.D.,201,6.5,5.1-7.8
Some post-H.S.,128,4.2,3.0-5.3
College graduate,71,1.5,0.8-2.2
Delaware,,,
Less than H.S.,51,9.7,6.4-13.0
H.S. or G.E.D.,107,7.6,5.8-9.5
Some post-H.S.,61,5.0,2.9-7.1
College graduate,37,1.8,1.1-2.6
District of Columbia,,,
Less than H.S.,41,26.9,18.3-35.6
H.S. or G.E.D.,71,10.4,7.4-13.5
Some post-H.S.,47,7.2,4.8-9.5
College graduate,26,0.7,0.4-1.0
Florida,,,
Less than H.S.,238,18.1,13.1-23.1
H.S. or G.E.D.,354,8.7,6.5-10.8
Some post-H.S.,281,5.3,4.1-6.6
College graduate,116,2.0,1.2-2.7
Georgia,,,
Less than H.S.,232,20.5,16.5-24.5
H.S. or G.E.D.,334,10.3,8.6-12.0
Some post-H.S.,196,5.7,4.4-7.1
College graduate,92,1.7,1.1-2.2
Hawaii,,,
Less than H.S.,29,8.6,4.9-12.4
H.S. or G.E.D.,121,4.5,3.5-5.6
Some post-H.S.,88,3.0,2.2-3.9
College graduate,53,1.4,0.8-1.9
Idaho,,,
Less than H.S.,53,11.7,7.7-15.6
H.S. or G.E.D.,123,6.1,4.7-7.4
Some post-H.S.,100,4.4,3.1-5.6
College graduate,37,1.7,1.0-2.5
Illinois,,,
Less than H.S.,19,11.5,4.9-18.1
H.S. or G.E.D.,63,6.1,4.3-7.9
Some post-H.S.,56,5.2,3.5-7.0
College graduate,47,2.6,1.7-3.5
Indiana,,,
Less than H.S.,160,22.1,18.5-25.6
H.S. or G.E.D.,273,8.6,7.5-9.8
Some post-H.S.,157,5.6,4.6-6.6
College graduate,66,1.7,1.2-2.2
Iowa,,,
