Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,89,56.9,46.8-67.0
H.S. or G.E.D.,317,65.5,60.4-70.6
Some post-H.S.,293,68.1,62.8-73.3
College graduate,444,76.4,72.4-80.3
Alaska,,,
Less than H.S.,35,66.9,52.0-81.7
H.S. or G.E.D.,170,52.9,45.9-59.9
Some post-H.S.,291,53.0,46.8-59.3
College graduate,482,67.0,62.1-71.8
Arizona,,,
Less than H.S.,92,52.0,42.0-61.9
H.S. or G.E.D.,368,61.7,56.2-67.2
Some post-H.S.,759,62.2,58.3-66.0
College graduate,"1,084",69.4,66.1-72.8
Arkansas,,,
Less than H.S.,117,53.4,44.8-62.0
H.S. or G.E.D.,556,61.9,57.8-65.9
Some post-H.S.,480,66.3,61.9-70.7
College graduate,629,74.9,71.3-78.6
California,,,
Less than H.S.,87,50.9,41.0-60.9
H.S. or G.E.D.,145,57.7,48.6-66.7
Some post-H.S.,265,62.2,55.8-68.6
College graduate,626,74.2,70.1-78.3
Colorado,,,
Less than H.S.,62,60.5,47.5-73.4
H.S. or G.E.D.,303,67.0,61.6-72.5
Some post-H.S.,470,71.6,67.7-75.5
College graduate,999,76.7,73.8-79.5
Connecticut,,,
Less than H.S.,58,58.5,44.5-72.5
H.S. or G.E.D.,315,72.7,67.4-78.0
Some post-H.S.,346,67.8,62.2-73.3
College graduate,809,78.4,75.2-81.5
Delaware,,,
Less than H.S.,30,*,
H.S. or G.E.D.,208,71.2,65.1-77.2
Some post-H.S.,213,70.2,63.7-76.8
College graduate,391,80.5,76.3-84.7
District of Columbia,,,
Less than H.S.,34,52.4,37.3-67.6
H.S. or G.E.D.,80,59.6,49.5-69.6
Some post-H.S.,104,71.8,62.3-81.4
College graduate,484,78.5,74.0-82.9
Georgia,,,
Less than H.S.,149,49.3,41.6-57.0
H.S. or G.E.D.,509,62.0,57.4-66.6
Some post-H.S.,512,66.3,61.5-71.0
College graduate,767,69.7,65.6-73.7
Hawaii,,,
Less than H.S.,37,46.2,30.2-62.2
H.S. or G.E.D.,322,64.5,58.8-70.2
Some post-H.S.,498,64.3,59.3-69.3
College graduate,896,74.0,70.8-77.3
Idaho,,,
Less than H.S.,76,57.7,47.0-68.4
H.S. or G.E.D.,288,54.0,49.0-59.1
Some post-H.S.,499,65.4,61.5-69.3
College graduate,553,68.0,64.2-71.8
Illinois,,,
Less than H.S.,20,*,
H.S. or G.E.D.,171,70.1,63.2-76.9
Some post-H.S.,185,74.8,68.4-81.2
College graduate,284,79.6,74.7-84.5
Indiana,,,
Less than H.S.,94,63.2,54.5-71.8
H.S. or G.E.D.,650,62.5,59.1-65.9
Some post-H.S.,532,66.0,62.3-69.7
College graduate,858,75.7,72.9-78.5
Iowa,,,
Less than H.S.,79,61.9,51.2-72.6
H.S. or G.E.D.,762,70.4,67.0-73.8
Some post-H.S.,677,73.2,69.8-76.6
College graduate,795,80.4,77.4-83.3
Kansas,,,
Less than H.S.,103,62.8,54.2-71.4
H.S. or G.E.D.,"1,003",64.0,61.2-66.9
Some post-H.S.,"1,178",68.9,66.4-71.4
College graduate,"1,763",79.1,77.2-81.0
Kentucky,,,
Less than H.S.,108,56.6,47.1-66.1
H.S. or G.E.D.,382,62.0,56.7-67.4
Some post-H.S.,310,64.0,58.2-69.8
College graduate,354,76.4,71.4-81.5
Louisiana,,,
Less than H.S.,75,60.0,49.8-70.1
H.S. or G.E.D.,274,61.6,56.0-67.2
Some post-H.S.,262,62.2,56.4-68.0
College graduate,392,70.1,65.4-74.7
Maine,,,
Less than H.S.,94,61.6,52.1-71.2
H.S. or G.E.D.,777,65.6,62.0-69.2
Some post-H.S.,862,69.8,66.5-73.2
College graduate,"1,821",81.1,79.0-83.2
Maryland,,,
Less than H.S.,141,60.3,51.3-69.3
H.S. or G.E.D.,819,67.4,63.4-71.3
Some post-H.S.,813,71.4,67.8-75.0
College graduate,"1,879",81.0,78.7-83.2
Massachusetts,,,
Less than H.S.,60,68.9,55.2-82.6
H.S. or G.E.D.,266,70.4,64.2-76.6
Some post-H.S.,360,76.3,71.2-81.3
College graduate,740,78.3,74.9-81.8
Michigan,,,
Less than H.S.,65,51.7,40.5-62.9
H.S. or G.E.D.,572,67.8,64.0-71.7
Some post-H.S.,602,69.8,66.2-73.4
College graduate,959,79.5,76.8-82.1
Minnesota,,,
Less than H.S.,77,64.4,54.4-74.5
H.S. or G.E.D.,659,64.7,61.2-68.2
Some post-H.S.,"1,015",72.3,69.5-75.0
College graduate,"1,546",79.0,77.0-81.0
Mississippi,,,
Less than H.S.,117,56.2,48.1-64.2
H.S. or G.E.D.,301,62.8,57.5-68.0
Some post-H.S.,268,60.8,54.8-66.7
College graduate,328,71.2,66.1-76.4
Missouri,,,
Less than H.S.,200,62.4,54.0-70.7
H.S. or G.E.D.,999,66.3,62.5-70.2
Some post-H.S.,793,70.9,67.0-74.8
College graduate,968,78.4,75.1-81.6
Montana,,,
Less than H.S.,47,52.1,39.5-64.8
H.S. or G.E.D.,345,60.3,55.4-65.1
Some post-H.S.,445,64.0,59.8-68.1
College graduate,702,72.0,68.8-75.2
Nebraska,,,
Less than H.S.,116,49.1,39.6-58.6
H.S. or G.E.D.,"1,272",68.3,65.4-71.2
Some post-H.S.,"1,156",72.0,69.2-74.8
College graduate,"1,382",79.0,76.6-81.5
Nevada,,,
Less than H.S.,22,*,
H.S. or G.E.D.,127,59.7,50.5-68.9
Some post-H.S.,224,59.6,51.4-67.8
College graduate,237,70.6,63.7-77.4
New Hampshire,,,
Less than H.S.,58,60.4,48.9-72.0
H.S. or G.E.D.,452,69.5,65.3-73.6
Some post-H.S.,561,76.0,72.5-79.6
College graduate,"1,113",81.2,78.8-83.6
New Jersey,,,
Less than H.S.,83,59.5,49.4-69.6
H.S. or G.E.D.,280,61.3,55.5-67.1
Some post-H.S.,283,68.7,63.0-74.4
College graduate,680,73.5,69.4-77.6
New Mexico,,,
Less than H.S.,116,60.6,51.6-69.6
H.S. or G.E.D.,283,60.2,53.7-66.7
Some post-H.S.,329,68.1,62.6-73.6
College graduate,611,73.0,69.1-77.0
New York,,,
Less than H.S.,431,55.1,48.4-61.7
H.S. or G.E.D.,"2,448",64.8,61.6-67.9
Some post-H.S.,"2,235",68.4,65.4-71.5
College graduate,"3,857",72.2,69.7-74.7
North Carolina,,,
Less than H.S.,75,55.6,43.2-67.9
H.S. or G.E.D.,226,65.9,59.4-72.4
Some post-H.S.,300,73.1,67.5-78.8
College graduate,422,77.8,73.7-82.0
North Dakota,,,
Less than H.S.,83,60.1,49.9-70.2
H.S. or G.E.D.,473,65.2,61.1-69.3
Some post-H.S.,531,69.5,65.8-73.2
College graduate,567,77.5,74.1-81.0
Ohio,,,
Less than H.S.,158,52.3,43.7-60.9
H.S. or G.E.D.,"1,050",63.5,60.1-66.8
Some post-H.S.,877,68.1,64.6-71.6
College graduate,"1,098",75.0,72.0-78.0
Oklahoma,,,
Less than H.S.,57,51.9,40.5-63.3
H.S. or G.E.D.,362,69.1,64.3-73.9
