Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,372,45.1,40.3-49.9
H.S. or G.E.D.,"1,083",47.3,44.3-50.2
Some post-H.S.,"1,106",52.8,49.9-55.7
College graduate,"1,223",61.3,58.5-64.1
Alaska,"1,334",41.0,38.3-43.8
Less than H.S.,78,40.3,30.1-50.5
H.S. or G.E.D.,468,55.0,49.6-60.4
Some post-H.S.,563,58.5,53.6-63.4
College graduate,910,70.4,66.7-74.1
Arizona,"2,565",50.4,47.9-52.9
Less than H.S.,301,57.8,51.8-63.9
H.S. or G.E.D.,908,54.9,51.4-58.4
Some post-H.S.,"1,377",60.8,57.9-63.7
College graduate,"1,977",66.4,63.9-68.8
Arkansas,,,
Less than H.S.,243,47.4,39.6-55.3
H.S. or G.E.D.,795,46.7,42.3-51.0
Some post-H.S.,701,51.6,47.1-56.2
College graduate,821,57.2,52.9-61.5
California,"3,378",35.5,34.2-36.9
Less than H.S.,964,68.4,65.4-71.3
H.S. or G.E.D.,"1,275",59.6,57.0-62.2
Some post-H.S.,"1,804",60.2,58.0-62.4
College graduate,"3,203",69.9,68.1-71.7
Colorado,"2,454",63.0,59.7-66.4
Less than H.S.,429,60.4,55.0-65.8
H.S. or G.E.D.,"1,501",58.3,55.4-61.2
Some post-H.S.,"2,061",63.9,61.3-66.5
College graduate,"3,502",69.4,67.4-71.3
Connecticut,,,
Less than H.S.,389,56.1,50.6-61.5
H.S. or G.E.D.,"1,552",60.4,57.6-63.1
Some post-H.S.,"1,559",63.0,60.2-65.7
College graduate,"3,636",71.6,69.9-73.2
Delaware,"2,486",41.3,39.6-43.0
Less than H.S.,164,54.6,47.0-62.3
H.S. or G.E.D.,645,55.7,51.3-60.2
Some post-H.S.,594,63.3,59.1-67.5
College graduate,935,69.9,66.4-73.3
District of Columbia,"3,191",61.5,59.7-63.3
Less than H.S.,100,50.5,39.0-61.9
H.S. or G.E.D.,361,59.0,50.7-67.3
Some post-H.S.,333,60.7,52.4-69.0
College graduate,"1,649",68.0,63.8-72.1
Florida,,,
Less than H.S.,319,53.7,48.2-59.1
H.S. or G.E.D.,"1,238",57.8,54.9-60.7
Some post-H.S.,"1,676",62.0,59.4-64.7
College graduate,"2,377",67.4,65.2-69.6
Georgia,"8,386",43.7,42.9-44.6
Less than H.S.,203,51.5,44.6-58.3
H.S. or G.E.D.,549,48.2,44.2-52.2
Some post-H.S.,635,57.3,53.4-61.2
College graduate,"1,005",62.5,59.4-65.6
Hawaii,"2,147",49.7,47.7-51.8
Less than H.S.,136,55.7,47.8-63.6
H.S. or G.E.D.,964,56.4,53.3-59.5
Some post-H.S.,"1,145",57.6,54.5-60.7
College graduate,"1,832",63.4,61.0-65.8
Idaho,,,
