Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,59,23.8,17.5-30.0
H.S. or G.E.D.,117,11.6,9.1-14.2
Some post-H.S.,118,10.2,8.1-12.3
College graduate,73,4.2,3.0-5.3
Alaska,,,
Less than H.S.,21,11.2,5.0-17.3
H.S. or G.E.D.,147,11.9,9.3-14.5
Some post-H.S.,164,13.0,10.3-15.6
College graduate,138,6.7,5.1-8.4
Arizona,,,
Less than H.S.,106,17.4,13.6-21.1
H.S. or G.E.D.,231,11.3,9.6-13.1
Some post-H.S.,320,11.0,9.5-12.4
College graduate,225,6.1,5.0-7.1
Arkansas,,,
Less than H.S.,52,18.1,12.2-24.0
H.S. or G.E.D.,118,12.2,9.6-14.8
Some post-H.S.,117,11.6,9.2-14.0
College graduate,74,7.2,5.1-9.2
California,,,
Less than H.S.,154,14.5,12.1-17.0
H.S. or G.E.D.,131,10.9,8.8-13.0
Some post-H.S.,142,9.0,7.3-10.7
College graduate,185,5.5,4.4-6.6
Colorado,,,
Less than H.S.,126,17.1,13.8-20.3
H.S. or G.E.D.,250,12.3,10.7-14.0
Some post-H.S.,266,9.6,8.4-10.8
College graduate,302,6.0,5.2-6.8
Connecticut,,,
Less than H.S.,78,19.3,14.5-24.1
H.S. or G.E.D.,150,6.9,5.5-8.2
Some post-H.S.,149,8.3,6.5-10.0
College graduate,166,3.8,3.1-4.6
Delaware,,,
Less than H.S.,41,15.9,10.0-21.8
H.S. or G.E.D.,81,8.6,6.3-10.9
Some post-H.S.,70,7.8,5.6-10.0
College graduate,41,2.8,1.7-4.0
District of Columbia,,,
Less than H.S.,25,20.6,11.6-29.5
H.S. or G.E.D.,28,6.2,3.4-8.9
Some post-H.S.,46,10.3,7.0-13.7
College graduate,66,3.4,2.5-4.4
Georgia,,,
Less than H.S.,152,29.6,24.6-34.7
H.S. or G.E.D.,300,15.1,12.8-17.3
Some post-H.S.,259,15.5,13.0-18.0
College graduate,234,9.5,7.7-11.2
Hawaii,,,
Less than H.S.,22,10.5,5.2-15.8
H.S. or G.E.D.,135,6.1,4.9-7.3
Some post-H.S.,132,5.7,4.4-6.9
College graduate,114,2.8,2.1-3.4
Idaho,,,
Less than H.S.,66,14.7,10.4-19.0
H.S. or G.E.D.,175,12.1,10.0-14.1
Some post-H.S.,186,8.4,7.1-9.8
College graduate,125,5.3,4.2-6.3
Illinois,,,
Less than H.S.,15,11.0,5.3-16.7
H.S. or G.E.D.,81,12.6,9.6-15.6
Some post-H.S.,89,10.9,8.4-13.3
College graduate,91,5.9,4.5-7.3
Indiana,,,
Less than H.S.,94,16.0,12.6-19.5
H.S. or G.E.D.,217,8.4,7.2-9.6
Some post-H.S.,226,9.3,8.0-10.6
College graduate,165,4.7,3.9-5.5
Iowa,,,
Less than H.S.,90,12.6,9.2-16.1
H.S. or G.E.D.,179,6.7,5.4-8.0
Some post-H.S.,145,6.2,5.0-7.4
College graduate,110,3.2,2.4-3.9
Kansas,,,
Less than H.S.,122,22.3,18.2-26.4
H.S. or G.E.D.,406,10.8,9.6-12.0
Some post-H.S.,508,10.9,9.9-11.9
College graduate,303,4.5,3.9-5.1
Kentucky,,,
Less than H.S.,58,13.2,9.0-17.5
H.S. or G.E.D.,168,8.8,7.1-10.5
Some post-H.S.,138,9.6,7.5-11.7
College graduate,82,5.2,3.8-6.7
Louisiana,,,
Less than H.S.,68,15.9,11.9-20.0
H.S. or G.E.D.,148,12.0,9.8-14.2
Some post-H.S.,156,12.7,10.4-15.0
College graduate,107,6.7,5.2-8.2
Maine,,,
Less than H.S.,32,11.4,6.7-16.0
H.S. or G.E.D.,190,8.4,6.8-9.9
Some post-H.S.,220,8.9,7.3-10.4
College graduate,214,4.7,3.8-5.6
Maryland,,,
Less than H.S.,177,25.4,21.2-29.4
H.S. or G.E.D.,306,8.4,7.2-9.6
Some post-H.S.,269,8.2,7.0-9.5
College graduate,310,4.6,3.9-5.3
Massachusetts,,,
Less than H.S.,71,18.8,13.6-24.0
H.S. or G.E.D.,133,9.2,7.3-11.2
Some post-H.S.,125,7.0,5.4-8.6
College graduate,148,3.5,2.8-4.2
Michigan,,,
Less than H.S.,49,13.6,9.4-17.9
H.S. or G.E.D.,209,9.5,8.0-11.0
Some post-H.S.,192,8.1,6.8-9.4
College graduate,139,4.0,3.2-4.7
Minnesota,,,
Less than H.S.,63,11.6,8.2-15.1
H.S. or G.E.D.,256,8.0,7.0-9.1
Some post-H.S.,304,6.5,5.7-7.3
College graduate,313,4.5,3.9-5.0
Mississippi,,,
Less than H.S.,66,17.4,12.5-22.4
H.S. or G.E.D.,192,15.4,13.0-17.9
Some post-H.S.,142,12.5,10.1-14.9
College graduate,92,7.3,5.5-9.0
Missouri,,,
Less than H.S.,143,19.5,15.3-23.7
H.S. or G.E.D.,412,12.9,11.0-14.7
Some post-H.S.,376,11.3,9.7-12.9
College graduate,226,5.8,4.7-6.8
Montana,,,
Less than H.S.,25,11.5,6.6-16.4
H.S. or G.E.D.,138,10.2,8.2-12.1
Some post-H.S.,129,7.8,6.2-9.3
College graduate,108,4.8,3.7-5.8
Nebraska,,,
Less than H.S.,114,21.1,16.9-25.3
H.S. or G.E.D.,285,9.9,8.4-11.4
Some post-H.S.,329,8.8,7.6-10.0
College graduate,208,5.2,4.3-6.1
Nevada,,,
Less than H.S.,29,20.5,12.8-28.2
H.S. or G.E.D.,92,13.8,10.4-17.2
Some post-H.S.,96,11.8,8.8-14.8
College graduate,67,8.0,5.5-10.6
New Hampshire,,,
Less than H.S.,20,*,
H.S. or G.E.D.,110,9.6,7.4-11.8
Some post-H.S.,101,7.5,5.6-9.3
College graduate,85,3.5,2.6-4.4
New Jersey,,,
Less than H.S.,155,25.1,20.7-29.6
H.S. or G.E.D.,203,8.7,7.2-10.1
Some post-H.S.,207,9.9,8.2-11.6
College graduate,198,4.3,3.6-5.1
New Mexico,,,
Less than H.S.,89,11.8,8.8-14.7
H.S. or G.E.D.,161,10.4,8.4-12.3
Some post-H.S.,149,7.7,6.2-9.1
College graduate,135,5.8,4.5-7.0
New York,,,
Less than H.S.,368,16.1,14.1-18.2
H.S. or G.E.D.,700,8.4,7.4-9.4
Some post-H.S.,604,6.9,6.0-7.9
College graduate,626,5.4,4.8-6.1
North Carolina,,,
Less than H.S.,90,20.7,15.6-25.7
H.S. or G.E.D.,131,11.7,9.3-14.0
Some post-H.S.,142,9.8,8.0-11.7
College graduate,128,6.6,5.3-7.9
North Dakota,,,
Less than H.S.,42,19.9,13.1-26.8
H.S. or G.E.D.,79,7.0,5.2-8.7
Some post-H.S.,81,6.3,4.7-7.9
College graduate,47,3.0,2.0-4.0
Ohio,,,
Less than H.S.,87,14.0,10.4-17.6
H.S. or G.E.D.,340,8.6,7.3-9.9
Some post-H.S.,290,8.6,7.2-9.9
College graduate,219,5.1,4.3-6.0
Oklahoma,,,
Less than H.S.,88,27.3,21.7-32.8
H.S. or G.E.D.,189,15.4,13.0-17.8
Some post-H.S.,198,14.8,12.6-17.0
College graduate,99,5.7,4.4-7.0
Oregon,,,
Less than H.S.,46,17.7,12.5-22.9
H.S. or G.E.D.,100,9.3,7.2-11.3
Some post-H.S.,138,7.9,6.5-9.3
College graduate,120,5.5,4.4-6.6
Pennsylvania,,,
Less than H.S.,28,8.4,4.8-12.1
H.S. or G.E.D.,135,7.2,5.8-8.6
Some post-H.S.,144,8.4,6.9-10.0
College graduate,130,4.3,3.5-5.2
Rhode Island,,,
Less than H.S.,57,17.0,11.7-22.3
H.S. or G.E.D.,79,6.4,4.6-8.2
Some post-H.S.,97,7.5,5.7-9.2
College graduate,86,3.3,2.5-4.2
South Carolina,,,
Less than H.S.,120,22.0,17.7-26.3
H.S. or G.E.D.,273,13.4,11.4-15.4
Some post-H.S.,220,11.4,9.5-13.3
College graduate,181,5.6,4.5-6.8
South Dakota,,,
Less than H.S.,41,*,
H.S. or G.E.D.,142,9.5,6.5-12.6
Some post-H.S.,162,7.9,5.3-10.5
College graduate,134,5.4,3.4-7.3
Tennessee,,,
Less than H.S.,66,19.3,14.3-24.4
H.S. or G.E.D.,150,10.7,8.6-12.8
Some post-H.S.,158,12.6,10.2-15.0
College graduate,132,7.7,6.1-9.2
Texas,,,
Less than H.S.,271,25.7,21.2-30.2
H.S. or G.E.D.,427,16.2,13.9-18.6
Some post-H.S.,462,17.6,15.1-20.0
College graduate,325,8.0,6.6-9.3
Utah,,,
Less than H.S.,116,21.2,16.9-25.6
H.S. or G.E.D.,300,13.0,11.4-14.7
Some post-H.S.,294,9.9,8.7-11.2
College graduate,247,6.3,5.4-7.2
Vermont,,,
Less than H.S.,27,17.6,9.7-25.5
H.S. or G.E.D.,102,6.5,4.8-8.2
Some post-H.S.,96,5.9,4.4-7.4
College graduate,120,3.8,2.9-4.7
Virginia,,,
Less than H.S.,45,12.7,8.4-16.9
H.S. or G.E.D.,157,9.3,7.6-11.0
Some post-H.S.,185,9.0,7.4-10.5
College graduate,185,4.8,3.9-5.6
Washington,,,
Less than H.S.,109,16.3,12.9-19.7
H.S. or G.E.D.,231,10.5,8.9-12.0
Some post-H.S.,268,8.6,7.4-9.9
