Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,382,74.5,69.2-79.8
H.S. or G.E.D.,"1,305",82.2,79.6-84.8
Some post-H.S.,"1,355",88.1,86.0-90.3
College graduate,"1,754",96.3,95.0-97.5
Alaska,,,
Less than H.S.,149,82.0,74.9-89.0
H.S. or G.E.D.,950,86.0,82.9-89.2
Some post-H.S.,972,88.8,85.8-91.8
College graduate,"1,216",94.4,92.7-96.2
Arizona,,,
Less than H.S.,571,66.2,61.7-70.7
H.S. or G.E.D.,"2,050",79.7,77.5-82.0
Some post-H.S.,"2,878",89.8,88.3-91.2
College graduate,"3,597",95.0,94.1-95.9
Arkansas,,,
Less than H.S.,404,80.9,75.3-86.5
H.S. or G.E.D.,"1,524",84.9,82.2-87.5
Some post-H.S.,"1,318",89.6,87.4-91.9
College graduate,"1,557",95.6,94.2-97.1
California,,,
Less than H.S.,348,69.6,64.8-74.6
H.S. or G.E.D.,696,87.4,84.8-90.0
Some post-H.S.,"1,134",93.0,91.2-94.7
College graduate,"2,156",97.3,96.5-98.0
Colorado,,,
Less than H.S.,383,58.8,54.2-63.4
H.S. or G.E.D.,"1,778",83.7,81.8-85.6
Some post-H.S.,"2,365",89.8,88.4-91.2
College graduate,"4,580",96.4,95.8-97.0
Connecticut,,,
Less than H.S.,401,72.7,67.5-77.9
H.S. or G.E.D.,"1,945",89.2,87.1-91.2
Some post-H.S.,"2,018",92.6,90.6-94.7
College graduate,"3,937",97.7,96.9-98.4
Delaware,,,
Less than H.S.,235,61.3,54.5-68.0
H.S. or G.E.D.,"1,017",90.1,88.0-92.3
Some post-H.S.,940,94.2,92.2-96.1
College graduate,"1,328",95.9,94.1-97.8
District of Columbia,,,
Less than H.S.,134,90.7,84.3-97.0
H.S. or G.E.D.,450,92.0,88.6-95.4
Some post-H.S.,486,93.7,90.6-96.9
College graduate,"2,230",97.0,95.9-98.1
Florida,,,
Less than H.S.,755,61.3,54.9-67.7
H.S. or G.E.D.,"2,657",78.7,75.6-81.9
Some post-H.S.,"3,045",86.2,83.9-88.5
College graduate,"3,657",92.9,91.1-94.7
Georgia,,,
Less than H.S.,657,63.1,57.8-68.4
H.S. or G.E.D.,"2,107",78.8,76.0-81.6
Some post-H.S.,"2,097",81.8,78.9-84.6
College graduate,"2,943",94.0,92.6-95.4
Hawaii,,,
Less than H.S.,183,83.4,77.4-89.5
H.S. or G.E.D.,"1,795",90.4,88.8-92.1
Some post-H.S.,"2,145",95.2,94.2-96.2
College graduate,"3,143",96.8,96.0-97.6
Idaho,,,
Less than H.S.,278,71.1,64.8-77.4
H.S. or G.E.D.,"1,350",81.8,79.1-84.6
Some post-H.S.,"1,855",87.9,85.7-90.1
College graduate,"1,801",94.5,93.1-96.0
Illinois,,,
Less than H.S.,122,79.5,69.8-89.1
H.S. or G.E.D.,814,87.8,85.1-90.6
Some post-H.S.,890,91.6,89.4-93.9
College graduate,"1,603",96.5,95.4-97.6
Indiana,,,
Less than H.S.,474,74.3,70.1-78.5
H.S. or G.E.D.,"2,453",87.4,85.8-89.0
Some post-H.S.,"2,039",90.6,89.1-92.2
College graduate,"2,733",95.6,94.7-96.6
Iowa,,,
Less than H.S.,366,72.2,67.4-77.1
H.S. or G.E.D.,"2,736",91.2,89.9-92.5
Some post-H.S.,"2,788",94.2,93.2-95.3
College graduate,"3,101",97.6,97.0-98.1
Kansas,,,
Less than H.S.,301,72.7,67.4-78.1
H.S. or G.E.D.,"2,343",83.0,81.1-84.8
Some post-H.S.,"2,898",90.0,88.7-91.3
College graduate,"3,994",95.7,94.9-96.4
Kentucky,,,
Less than H.S.,320,82.0,75.7-88.2
H.S. or G.E.D.,"1,095",90.4,88.2-92.7
Some post-H.S.,"1,060",94.3,92.6-95.9
College graduate,"1,212",96.4,95.1-97.7
Louisiana,,,
Less than H.S.,318,78.7,73.2-84.2
H.S. or G.E.D.,"1,246",86.8,84.1-89.4
Some post-H.S.,"1,105",90.8,88.8-92.8
College graduate,"1,652",95.1,93.8-96.4
Maine,,,
Less than H.S.,368,83.3,76.8-89.9
H.S. or G.E.D.,"2,701",87.8,85.9-89.7
Some post-H.S.,"2,878",92.4,91.1-93.8
College graduate,"4,280",95.8,94.8-96.8
Maryland,,,
Less than H.S.,592,64.4,60.0-68.9
H.S. or G.E.D.,"3,404",90.3,89.0-91.7
Some post-H.S.,"3,028",93.1,91.9-94.4
College graduate,"6,140",97.2,96.6-97.8
Massachusetts,,,
Less than H.S.,250,87.2,82.8-91.7
H.S. or G.E.D.,"1,279",93.6,91.8-95.4
Some post-H.S.,"1,674",94.6,93.2-96.1
College graduate,"3,636",98.1,97.5-98.7
Michigan,,,
Less than H.S.,256,89.1,84.1-94.2
H.S. or G.E.D.,"1,628",91.2,89.4-92.9
Some post-H.S.,"2,047",93.5,92.2-94.8
College graduate,"2,932",96.4,95.6-97.3
Minnesota,,,
Less than H.S.,458,73.3,69.6-77.1
H.S. or G.E.D.,"3,361",88.7,87.5-89.9
Some post-H.S.,"4,470",93.5,92.6-94.3
College graduate,"6,259",96.8,96.4-97.3
Mississippi,,,
Less than H.S.,644,74.4,69.8-79.1
H.S. or G.E.D.,"1,701",78.4,75.7-81.0
Some post-H.S.,"1,579",84.4,82.1-86.6
College graduate,"1,782",92.7,91.0-94.3
Missouri,,,
Less than H.S.,467,74.6,69.4-79.8
H.S. or G.E.D.,"2,508",82.6,80.6-84.5
Some post-H.S.,"2,349",89.8,88.3-91.4
College graduate,"2,939",95.3,94.4-96.2
Montana,,,
Less than H.S.,251,85.2,79.7-90.6
H.S. or G.E.D.,"1,487",87.5,85.6-89.4
Some post-H.S.,"1,758",92.5,91.1-94.0
College graduate,"2,318",94.3,93.2-95.4
Nebraska,,,
Less than H.S.,563,58.5,53.6-63.4
H.S. or G.E.D.,"3,917",85.5,83.8-87.2
Some post-H.S.,"4,141",90.8,89.4-92.1
College graduate,"4,683",95.8,95.0-96.7
Nevada,,,
Less than H.S.,110,58.7,49.5-67.9
