Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,208,60.7,54.1-67.2
H.S. or G.E.D.,876,68.4,65.0-71.7
Some post-H.S.,965,73.8,70.9-76.8
College graduate,"1,407",83.6,81.3-85.8
Alaska,,,
Less than H.S.,124,48.3,39.5-57.0
H.S. or G.E.D.,808,58.6,54.8-62.4
Some post-H.S.,"1,152",70.2,66.9-73.4
College graduate,"1,770",85.8,83.8-87.8
Arizona,,,
Less than H.S.,298,49.9,44.9-55.0
H.S. or G.E.D.,"1,367",57.0,54.3-59.7
Some post-H.S.,"2,401",69.4,67.4-71.4
College graduate,"3,377",82.8,81.4-84.2
Arkansas,,,
Less than H.S.,252,55.7,48.5-62.9
H.S. or G.E.D.,"1,295",64.9,61.3-68.4
Some post-H.S.,"1,169",68.5,64.9-72.0
College graduate,"1,520",82.9,80.2-85.6
California,,,
Less than H.S.,180,32.3,28.2-36.4
H.S. or G.E.D.,441,50.9,47.3-54.5
Some post-H.S.,740,59.8,56.8-62.8
College graduate,"1,862",74.4,72.7-76.1
Colorado,,,
Less than H.S.,230,39.8,35.4-44.2
H.S. or G.E.D.,"1,045",56.1,53.7-58.6
Some post-H.S.,"1,615",68.1,66.0-70.1
College graduate,"3,896",82.5,81.4-83.6
Connecticut,,,
Less than H.S.,108,36.2,29.3-43.0
H.S. or G.E.D.,962,61.0,58.0-63.9
Some post-H.S.,"1,233",70.5,67.8-73.3
College graduate,"3,211",83.9,82.5-85.3
Delaware,,,
Less than H.S.,83,43.8,35.1-52.4
H.S. or G.E.D.,607,68.8,64.9-72.6
Some post-H.S.,705,76.4,72.9-80.0
College graduate,"1,253",86.5,84.2-88.7
District of Columbia,,,
Less than H.S.,19,9.3,4.2-14.4
H.S. or G.E.D.,147,24.4,19.1-29.7
Some post-H.S.,190,37.8,31.6-43.9
College graduate,"1,423",58.8,56.1-61.4
Georgia,,,
Less than H.S.,312,46.5,41.0-51.9
H.S. or G.E.D.,"1,376",61.6,58.4-64.8
Some post-H.S.,"1,483",69.2,66.3-72.1
College graduate,"2,543",79.6,77.5-81.6
Hawaii,,,
Less than H.S.,66,47.6,38.4-56.7
H.S. or G.E.D.,853,51.5,48.6-54.3
Some post-H.S.,"1,261",66.3,63.8-68.8
College graduate,"2,443",80.4,78.9-81.9
Idaho,,,
Less than H.S.,180,50.8,44.7-57.0
H.S. or G.E.D.,"1,046",63.0,60.2-65.7
Some post-H.S.,"1,605",76.3,74.3-78.3
College graduate,"2,014",87.4,85.9-88.8
Illinois,,,
Less than H.S.,37,40.3,29.2-51.4
H.S. or G.E.D.,416,65.3,61.3-69.3
Some post-H.S.,519,72.0,68.6-75.3
College graduate,"1,120",80.9,79.0-82.8
Indiana,,,
Less than H.S.,294,54.5,49.7-59.3
H.S. or G.E.D.,"1,963",68.9,66.9-70.9
Some post-H.S.,"1,874",73.1,71.1-75.1
College graduate,"3,078",84.3,83.0-85.6
Iowa,,,
Less than H.S.,310,54.3,48.9-59.7
H.S. or G.E.D.,"2,024",69.2,67.0-71.4
Some post-H.S.,"2,098",75.0,72.9-77.2
College graduate,"2,623",84.6,83.1-86.2
Kansas,,,
Less than H.S.,320,49.2,44.4-54.0
H.S. or G.E.D.,"2,970",63.0,61.3-64.8
Some post-H.S.,"3,878",68.6,67.0-70.1
College graduate,"5,940",82.3,81.2-83.3
Kentucky,,,
Less than H.S.,276,62.9,57.0-68.9
H.S. or G.E.D.,"1,193",67.3,64.3-70.2
Some post-H.S.,"1,075",69.6,66.5-72.6
College graduate,"1,321",80.8,78.5-83.2
Louisiana,,,
Less than H.S.,219,58.9,52.8-64.9
H.S. or G.E.D.,973,67.8,64.5-71.0
Some post-H.S.,990,68.2,65.0-71.4
College graduate,"1,582",82.4,80.3-84.6
Maine,,,
Less than H.S.,211,57.3,50.4-64.2
H.S. or G.E.D.,"2,206",72.5,70.2-74.9
Some post-H.S.,"2,502",76.1,74.0-78.2
College graduate,"4,394",86.6,85.3-88.0
Maryland,,,
Less than H.S.,287,40.5,35.7-45.3
H.S. or G.E.D.,"2,210",63.8,61.5-66.1
Some post-H.S.,"2,330",68.5,66.4-70.7
College graduate,"6,096",84.4,83.4-85.5
Massachusetts,,,
Less than H.S.,69,30.2,23.8-36.6
H.S. or G.E.D.,646,59.8,56.7-63.0
Some post-H.S.,"1,011",65.6,63.0-68.2
College graduate,"2,802",78.5,77.1-80.0
Michigan,,,
Less than H.S.,182,55.8,49.7-61.9
H.S. or G.E.D.,"1,609",69.0,66.8-71.2
Some post-H.S.,"1,928",76.5,74.6-78.3
College graduate,"3,250",85.0,83.7-86.4
Minnesota,,,
Less than H.S.,230,56.8,51.8-61.9
H.S. or G.E.D.,"2,087",68.0,66.2-69.8
Some post-H.S.,"3,443",74.5,73.1-76.0
College graduate,"5,999",85.1,84.2-85.9
Mississippi,,,
Less than H.S.,279,64.7,59.0-70.3
H.S. or G.E.D.,901,67.0,63.6-70.5
Some post-H.S.,915,70.4,67.1-73.6
College graduate,"1,155",83.7,81.2-86.1
Missouri,,,
Less than H.S.,453,52.0,46.8-57.2
H.S. or G.E.D.,"2,656",66.9,64.6-69.2
Some post-H.S.,"2,489",70.5,68.3-72.8
College graduate,"3,197",82.4,80.8-84.1
Montana,,,
Less than H.S.,153,51.6,43.5-59.7
H.S. or G.E.D.,"1,070",63.6,60.6-66.6
Some post-H.S.,"1,385",72.3,69.8-74.8
College graduate,"2,076",83.2,81.4-84.9
Nebraska,,,
Less than H.S.,330,44.0,39.0-49.0
H.S. or G.E.D.,"3,094",63.6,61.6-65.8
Some post-H.S.,"3,505",70.1,68.3-72.0
College graduate,"4,360",82.3,80.9-83.7
Nevada,,,
Less than H.S.,53,33.8,24.5-43.1
H.S. or G.E.D.,392,52.5,47.7-57.4
Some post-H.S.,575,65.3,61.0-69.7
College graduate,740,76.3,72.5-80.2
New Hampshire,,,
Less than H.S.,107,51.4,42.2-60.6
H.S. or G.E.D.,"1,083",68.2,65.0-71.5
Some post-H.S.,"1,291",74.3,71.3-77.4
College graduate,"2,685",85.8,84.1-87.6
New Jersey,,,
Less than H.S.,100,28.7,23.4-34.0
H.S. or G.E.D.,777,60.6,57.8-63.4
Some post-H.S.,"1,011",70.6,68.0-73.1
College graduate,"2,608",80.2,78.8-81.7
New Mexico,,,
Less than H.S.,375,60.6,55.7-65.5
H.S. or G.E.D.,"1,092",66.2,63.2-69.2
Some post-H.S.,"1,223",71.6,68.9-74.4
College graduate,"1,844",84.0,82.1-85.8
New York,,,
Less than H.S.,889,25.5,22.8-28.2
H.S. or G.E.D.,"6,345",52.2,50.4-53.9
Some post-H.S.,"6,575",62.7,61.1-64.4
College graduate,"11,373",70.3,69.1-71.5
North Carolina,,,
Less than H.S.,173,50.4,44.4-56.4
H.S. or G.E.D.,648,61.6,58.2-65.1
Some post-H.S.,842,68.8,65.8-71.8
College graduate,"1,528",81.2,79.4-83.1
North Dakota,,,
Less than H.S.,168,47.7,39.8-55.7
H.S. or G.E.D.,"1,159",58.4,55.2-61.6
Some post-H.S.,"1,507",68.6,65.8-71.5
College graduate,"1,697",78.5,76.1-80.9
Ohio,,,
Less than H.S.,404,52.2,46.9-57.4
H.S. or G.E.D.,"3,061",65.4,63.4-67.4
Some post-H.S.,"2,843",70.2,68.2-72.3
College graduate,"4,159",82.1,80.7-83.5
Oklahoma,,,
Less than H.S.,203,54.0,47.8-60.2
H.S. or G.E.D.,982,63.3,60.2-66.4
Some post-H.S.,"1,214",68.8,66.0-71.6
College graduate,"1,598",82.5,80.4-84.7
Oregon,,,
Less than H.S.,74,34.6,27.7-41.6
H.S. or G.E.D.,531,56.5,53.1-59.8
Some post-H.S.,"1,085",69.0,66.7-71.4
College graduate,"1,642",78.8,77.0-80.6
Pennsylvania,,,
Less than H.S.,108,53.6,46.0-61.3
H.S. or G.E.D.,"1,020",67.8,65.3-70.3
Some post-H.S.,945,73.4,71.0-75.9
College graduate,"2,091",82.8,81.4-84.3
Rhode Island,,,
Less than H.S.,97,36.7,30.0-43.5
H.S. or G.E.D.,603,57.2,53.6-60.9
Some post-H.S.,815,67.0,63.9-70.1
College graduate,"2,153",82.3,80.6-84.1
South Carolina,,,
Less than H.S.,416,56.4,51.5-61.4
H.S. or G.E.D.,"1,896",65.7,62.8-68.5
Some post-H.S.,"2,114",75.0,72.5-77.6
College graduate,"3,423",84.1,82.4-85.7
South Dakota,,,
Less than H.S.,172,52.8,38.1-67.4
H.S. or G.E.D.,"1,441",67.2,62.6-71.8
Some post-H.S.,"1,674",69.3,65.0-73.6
College graduate,"2,137",82.4,79.4-85.6
Tennessee,,,
