Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,30,11.8,6.8-16.8
H.S. or G.E.D.,147,14.8,12.0-17.6
Some post-H.S.,170,16.9,13.9-19.8
College graduate,175,10.7,8.8-12.6
Alaska,,,
Less than H.S.,22,12.8,5.4-20.3
H.S. or G.E.D.,150,15.5,12.3-18.8
Some post-H.S.,209,15.8,12.8-18.8
College graduate,155,6.6,5.1-8.1
Arizona,,,
Less than H.S.,58,12.4,8.8-16.1
H.S. or G.E.D.,318,17.6,15.3-20.0
Some post-H.S.,459,14.6,12.9-16.3
College graduate,432,10.1,8.8-11.4
Arkansas,,,
Less than H.S.,31,11.7,6.2-17.2
H.S. or G.E.D.,213,17.4,14.3-20.5
Some post-H.S.,200,15.9,12.9-18.8
College graduate,185,10.4,7.9-12.8
California,,,
Less than H.S.,88,12.1,9.4-14.8
H.S. or G.E.D.,125,11.9,9.4-14.4
Some post-H.S.,169,12.3,10.0-14.7
College graduate,203,6.2,5.0-7.4
Colorado,,,
Less than H.S.,74,14.3,10.7-18.0
H.S. or G.E.D.,262,17.0,14.8-19.2
Some post-H.S.,335,14.9,13.1-16.7
College graduate,363,7.6,6.7-8.5
Connecticut,,,
Less than H.S.,25,7.8,4.2-11.4
H.S. or G.E.D.,213,15.7,13.1-18.4
Some post-H.S.,220,13.0,10.8-15.2
College graduate,216,5.9,4.8-6.9
Delaware,,,
Less than H.S.,22,11.3,5.2-17.4
H.S. or G.E.D.,121,18.9,14.7-23.2
Some post-H.S.,119,15.0,11.7-18.2
College graduate,112,8.3,6.4-10.2
District of Columbia,,,
Less than H.S.,9,*,
H.S. or G.E.D.,53,17.6,12.0-23.2
Some post-H.S.,71,19.6,14.2-25.0
College graduate,78,4.0,2.9-5.1
Georgia,,,
Less than H.S.,50,10.8,6.8-14.8
H.S. or G.E.D.,243,16.9,14.0-19.9
Some post-H.S.,281,16.1,13.2-18.9
College graduate,298,9.3,7.8-10.9
Hawaii,,,
Less than H.S.,21,13.4,6.4-20.4
H.S. or G.E.D.,275,17.9,15.4-20.4
Some post-H.S.,306,14.6,12.6-16.7
College graduate,297,8.5,7.2-9.8
Idaho,,,
Less than H.S.,56,19.9,14.2-25.6
H.S. or G.E.D.,244,17.6,15.2-20.1
Some post-H.S.,316,15.9,14.0-17.9
College graduate,261,11.3,9.7-13.0
Illinois,,,
Less than H.S.,10,*,
H.S. or G.E.D.,101,20.6,16.4-24.8
Some post-H.S.,109,16.5,13.2-19.8
College graduate,109,7.2,5.6-8.9
Indiana,,,
Less than H.S.,56,14.1,9.8-18.4
H.S. or G.E.D.,396,17.2,15.4-19.0
Some post-H.S.,334,15.0,13.3-16.7
College graduate,331,10.3,9.0-11.5
Iowa,,,
Less than H.S.,105,18.9,13.8-24.0
H.S. or G.E.D.,435,17.7,15.7-19.7
Some post-H.S.,383,16.3,14.4-18.3
College graduate,281,8.9,7.6-10.2
Kansas,,,
Less than H.S.,57,13.2,9.4-17.1
H.S. or G.E.D.,650,19.8,18.2-21.5
Some post-H.S.,779,17.5,16.2-18.8
College graduate,672,9.6,8.7-10.4
Kentucky,,,
Less than H.S.,36,13.8,8.1-19.6
H.S. or G.E.D.,212,18.2,15.3-21.2
Some post-H.S.,235,18.3,15.5-21.1
College graduate,157,9.5,7.6-11.4
Louisiana,,,
Less than H.S.,29,8.6,5.2-11.9
H.S. or G.E.D.,175,15.4,12.6-18.2
Some post-H.S.,180,17.3,14.4-20.2
College graduate,172,11.9,9.8-14.0
Maine,,,
Less than H.S.,25,10.2,4.7-15.7
H.S. or G.E.D.,404,17.8,15.6-20.0
Some post-H.S.,438,17.8,15.6-20.0
College graduate,520,11.2,9.9-12.6
Maryland,,,
Less than H.S.,85,16.9,12.5-21.4
H.S. or G.E.D.,452,16.2,14.0-18.3
Some post-H.S.,363,12.8,11.1-14.5
College graduate,410,5.2,4.4-5.9
Massachusetts,,,
Less than H.S.,17,5.7,2.6-8.8
H.S. or G.E.D.,145,16.4,13.3-19.4
Some post-H.S.,182,13.6,11.4-15.9
College graduate,245,8.4,6.9-9.8
Michigan,,,
Less than H.S.,32,11.8,7.4-16.2
H.S. or G.E.D.,335,18.9,16.8-21.1
Some post-H.S.,365,16.2,14.4-18.1
College graduate,303,8.2,7.1-9.3
Minnesota,,,
Less than H.S.,72,18.9,14.2-23.6
H.S. or G.E.D.,466,17.5,15.8-19.2
Some post-H.S.,664,16.4,15.1-17.8
College graduate,572,8.4,7.6-9.2
Mississippi,,,
Less than H.S.,32,9.4,5.4-13.4
H.S. or G.E.D.,167,17.6,14.4-20.8
Some post-H.S.,169,15.6,12.9-18.4
College graduate,168,12.3,10.0-14.5
Missouri,,,
Less than H.S.,67,13.2,9.2-17.3
H.S. or G.E.D.,498,16.8,14.7-18.8
Some post-H.S.,481,16.4,14.4-18.4
College graduate,408,9.1,7.9-10.3
Montana,,,
Less than H.S.,18,*,
H.S. or G.E.D.,234,17.0,14.5-19.5
Some post-H.S.,273,16.2,14.1-18.4
College graduate,287,11.5,10.0-13.0
Nebraska,,,
Less than H.S.,89,15.2,11.2-19.2
H.S. or G.E.D.,686,19.2,17.3-21.0
Some post-H.S.,691,15.6,14.1-17.0
College graduate,547,9.4,8.3-10.5
Nevada,,,
Less than H.S.,19,22.6,12.4-32.8
H.S. or G.E.D.,106,19.5,15.3-23.8
Some post-H.S.,131,17.3,13.6-21.1
College graduate,109,12.4,9.2-15.5
New Hampshire,,,
Less than H.S.,26,19.9,10.4-29.4
H.S. or G.E.D.,178,14.6,11.8-17.4
Some post-H.S.,220,14.0,11.6-16.4
College graduate,233,7.0,5.8-8.3
New Jersey,,,
Less than H.S.,45,12.7,8.7-16.7
