Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,80,25.6,19.3-31.9
H.S. or G.E.D.,107,9.6,7.5-11.8
Some post-H.S.,68,5.3,3.7-6.9
College graduate,24,1.6,0.8-2.3
Alaska,,,
Less than H.S.,45,20.6,13.5-27.7
H.S. or G.E.D.,115,8.6,6.4-10.7
Some post-H.S.,69,3.4,2.3-4.6
College graduate,35,1.5,0.8-2.2
Arizona,,,
Less than H.S.,137,23.6,18.6-28.5
H.S. or G.E.D.,174,6.4,5.2-7.7
Some post-H.S.,193,4.9,4.0-5.8
College graduate,77,1.9,1.2-2.6
Arkansas,,,
Less than H.S.,66,20.8,14.6-27.0
H.S. or G.E.D.,163,10.2,7.8-12.6
Some post-H.S.,99,8.6,6.4-10.7
College graduate,39,2.3,1.4-3.2
California,,,
Less than H.S.,293,35.3,31.2-39.3
H.S. or G.E.D.,172,16.8,13.9-19.8
Some post-H.S.,138,8.1,6.3-9.9
College graduate,127,3.7,2.8-4.6
Colorado,,,
Less than H.S.,85,15.6,12.1-19.0
H.S. or G.E.D.,122,6.4,5.0-7.8
Some post-H.S.,131,5.0,4.0-6.0
College graduate,68,1.3,0.9-1.7
Connecticut,,,
Less than H.S.,61,22.8,16.4-29.2
H.S. or G.E.D.,112,6.0,4.5-7.5
Some post-H.S.,69,3.5,2.4-4.7
College graduate,44,1.2,0.7-1.7
Delaware,,,
Less than H.S.,46,19.6,12.4-26.8
H.S. or G.E.D.,44,4.7,2.9-6.4
Some post-H.S.,35,3.8,2.1-5.5
College graduate,13,*,
District of Columbia,,,
Less than H.S.,31,40.6,26.7-54.6
H.S. or G.E.D.,55,15.5,10.3-20.8
Some post-H.S.,26,6.6,3.4-9.9
College graduate,35,1.6,1.0-2.2
Georgia,,,
Less than H.S.,120,21.8,16.5-27.0
H.S. or G.E.D.,198,10.4,8.2-12.4
Some post-H.S.,82,4.4,2.8-5.9
College graduate,73,2.7,1.6-3.7
Hawaii,,,
Less than H.S.,33,15.6,9.2-22.1
H.S. or G.E.D.,140,6.9,5.4-8.4
Some post-H.S.,108,3.6,2.7-4.6
College graduate,62,1.5,1.0-2.0
Idaho,,,
Less than H.S.,48,10.9,7.2-14.6
H.S. or G.E.D.,106,5.9,4.6-7.2
Some post-H.S.,105,4.8,3.7-5.9
College graduate,39,1.3,0.9-1.8
Illinois,,,
Less than H.S.,18,21.1,10.8-31.5
H.S. or G.E.D.,36,4.9,3.0-6.7
Some post-H.S.,40,4.6,2.9-6.3
College graduate,24,1.2,0.7-1.7
Indiana,,,
Less than H.S.,109,23.5,18.7-28.2
H.S. or G.E.D.,188,6.9,5.7-8.0
Some post-H.S.,126,5.6,4.4-6.8
College graduate,72,2.1,1.5-2.6
Iowa,,,
Less than H.S.,93,19.0,14.2-23.9
H.S. or G.E.D.,192,7.0,5.7-8.2
Some post-H.S.,115,5.1,3.8-6.3
College graduate,53,1.5,1.0-2.0
Kansas,,,
Less than H.S.,89,18.3,14.0-22.7
H.S. or G.E.D.,242,6.6,5.6-7.6
Some post-H.S.,210,4.3,3.6-5.0
College graduate,101,1.5,1.1-1.8
Kentucky,,,
Less than H.S.,99,27.4,20.9-33.8
H.S. or G.E.D.,187,9.5,7.6-11.4
Some post-H.S.,97,5.4,3.9-6.9
College graduate,30,1.9,0.9-2.9
Louisiana,,,
Less than H.S.,95,32.2,25.5-38.8
H.S. or G.E.D.,137,11.8,9.1-14.6
Some post-H.S.,97,7.4,5.6-9.3
College graduate,43,2.6,1.5-3.8
Maine,,,
Less than H.S.,64,23.6,16.5-30.8
H.S. or G.E.D.,172,5.9,4.7-7.1
Some post-H.S.,136,4.6,3.5-5.6
College graduate,86,1.7,1.2-2.2
Maryland,,,
Less than H.S.,130,19.1,15.2-23.0
H.S. or G.E.D.,215,6.2,4.9-7.5
Some post-H.S.,129,4.1,3.1-5.2
College graduate,90,1.2,0.8-1.7
Massachusetts,,,
Less than H.S.,69,23.3,16.7-29.8
H.S. or G.E.D.,78,6.1,4.1-8.2
Some post-H.S.,81,4.4,3.2-5.6
College graduate,57,1.5,1.0-1.9
Michigan,,,
Less than H.S.,71,22.6,17.0-28.3
H.S. or G.E.D.,187,8.5,7.0-10.0
Some post-H.S.,140,5.1,4.1-6.1
College graduate,61,1.4,1.0-1.8
Minnesota,,,
Less than H.S.,57,11.9,8.1-15.6
H.S. or G.E.D.,162,5.6,4.6-6.6
Some post-H.S.,159,3.5,2.9-4.2
College graduate,86,1.0,0.8-1.3
Mississippi,,,
Less than H.S.,77,22.3,15.9-28.7
H.S. or G.E.D.,125,12.8,9.9-15.6
Some post-H.S.,80,7.7,5.4-10.1
College graduate,36,3.1,1.8-4.4
Missouri,,,
Less than H.S.,216,31.0,25.5-36.4
H.S. or G.E.D.,497,13.7,11.8-15.5
Some post-H.S.,308,8.6,7.1-10.0
College graduate,111,2.2,1.6-2.8
Montana,,,
Less than H.S.,39,13.4,8.1-18.7
H.S. or G.E.D.,106,7.1,5.5-8.8
Some post-H.S.,110,5.0,3.9-6.2
College graduate,64,2.4,1.7-3.2
Nebraska,,,
Less than H.S.,111,20.1,15.6-24.7
H.S. or G.E.D.,240,6.0,4.9-7.0
Some post-H.S.,202,4.3,3.5-5.1
College graduate,81,1.3,0.9-1.6
Nevada,,,
Less than H.S.,21,15.9,8.2-23.7
H.S. or G.E.D.,38,5.0,3.0-7.0
Some post-H.S.,37,3.8,2.2-5.5
College graduate,15,*,
New Hampshire,,,
Less than H.S.,32,14.7,8.3-21.1
H.S. or G.E.D.,84,5.3,3.5-7.1
Some post-H.S.,62,3.0,2.0-4.0
College graduate,20,0.4,0.2-0.7
New Jersey,,,
Less than H.S.,93,21.6,16.9-26.4
H.S. or G.E.D.,112,6.7,5.0-8.4
Some post-H.S.,60,3.2,2.2-4.2
College graduate,49,1.1,0.7-1.5
New Mexico,,,
Less than H.S.,153,24.8,20.5-29.2
H.S. or G.E.D.,163,10.7,8.7-12.7
Some post-H.S.,124,7.3,5.6-9.0
College graduate,65,3.0,2.0-4.0
New York,,,
Less than H.S.,429,24.9,21.8-27.9
H.S. or G.E.D.,747,8.0,6.9-9.0
Some post-H.S.,499,5.0,4.2-5.7
College graduate,287,2.0,1.6-2.4
North Carolina,,,
Less than H.S.,56,16.8,11.6-22.0
H.S. or G.E.D.,101,9.4,6.8-12.1
Some post-H.S.,81,7.0,5.2-8.9
College graduate,32,1.4,0.8-2.0
North Dakota,,,
Less than H.S.,26,17.8,10.1-25.6
H.S. or G.E.D.,81,6.1,4.4-7.8
Some post-H.S.,69,4.9,3.5-6.4
College graduate,26,1.7,0.9-2.5
Ohio,,,
Less than H.S.,109,18.1,13.6-22.7
H.S. or G.E.D.,313,7.8,6.5-9.0
Some post-H.S.,221,5.6,4.5-6.6
College graduate,109,1.8,1.4-2.3
Oklahoma,,,
Less than H.S.,68,26.0,19.6-32.4
H.S. or G.E.D.,99,8.9,6.8-11.0
Some post-H.S.,104,7.2,5.5-8.9
College graduate,38,2.0,1.2-2.7
Oregon,,,
Less than H.S.,79,34.6,27.4-41.7
H.S. or G.E.D.,98,12.1,9.5-14.8
Some post-H.S.,120,7.8,6.2-9.4
College graduate,60,3.2,2.2-4.0
Pennsylvania,,,
Less than H.S.,40,15.0,9.1-20.9
H.S. or G.E.D.,102,6.0,4.6-7.4
Some post-H.S.,76,4.2,3.0-5.5
College graduate,47,1.4,0.9-1.9
Rhode Island,,,
Less than H.S.,58,18.0,12.7-23.4
H.S. or G.E.D.,83,7.8,5.7-9.8
Some post-H.S.,72,5.8,4.0-7.7
College graduate,29,1.3,0.6-2.0
South Carolina,,,
Less than H.S.,124,22.8,17.9-27.7
H.S. or G.E.D.,222,9.8,8.0-11.7
Some post-H.S.,122,5.4,4.0-6.8
College graduate,62,1.6,1.1-2.2
South Dakota,,,
Less than H.S.,59,14.0,6.0-22.1
H.S. or G.E.D.,132,8.5,5.1-11.9
Some post-H.S.,93,4.2,2.4-6.0
College graduate,49,2.8,1.2-4.4
Tennessee,,,
Less than H.S.,81,24.4,18.2-30.4
H.S. or G.E.D.,118,8.5,6.4-10.7
Some post-H.S.,78,6.0,4.3-7.8
College graduate,23,1.8,0.8-2.7
Texas,,,
Less than H.S.,248,23.6,19.1-28.1
H.S. or G.E.D.,207,7.4,5.7-9.2
Some post-H.S.,173,5.9,4.5-7.4
College graduate,67,2.0,1.1-2.8
Utah,,,
Less than H.S.,54,12.0,8.3-15.8
H.S. or G.E.D.,117,4.9,3.8-6.0
Some post-H.S.,97,3.0,2.2-3.7
College graduate,58,1.5,1.0-1.9
Vermont,,,
Less than H.S.,40,18.7,11.0-26.5
H.S. or G.E.D.,99,6.1,4.3-7.9
Some post-H.S.,56,4.4,2.6-6.1
College graduate,47,1.7,1.0-2.4
Virginia,,,
Less than H.S.,55,13.8,9.4-18.2
H.S. or G.E.D.,120,5.7,4.3-7.1
Some post-H.S.,98,4.3,3.2-5.4
College graduate,50,0.8,0.5-1.1
Washington,,,
Less than H.S.,74,14.3,10.6-18.0
H.S. or G.E.D.,131,5.9,4.6-7.2
Some post-H.S.,179,4.7,3.8-5.6
College graduate,104,1.6,1.2-2.0
West Virginia,,,
Less than H.S.,98,22.8,18.1-27.4
H.S. or G.E.D.,204,9.0,7.6-10.3
Some post-H.S.,95,5.6,4.3-7.0
College graduate,48,2.1,1.4-2.8
Wisconsin,,,
Less than H.S.,33,15.7,8.8-22.5
H.S. or G.E.D.,85,7.0,5.0-8.9
Some post-H.S.,63,4.5,2.8-6.1
College graduate,33,1.8,1.0-2.6
Wyoming,,,
Less than H.S.,13,*,
H.S. or G.E.D.,58,6.0,3.8-8.2
Some post-H.S.,65,5.1,3.3-6.8
College graduate,33,2.3,1.2-3.4
Guam,,,
Less than H.S.,21,28.0,14.8-41.1
H.S. or G.E.D.,73,19.3,12.0-26.6
Some post-H.S.,26,*,
College graduate,16,*,
Puerto Rico,,,
Less than H.S.,291,71.2,65.3-77.0
H.S. or G.E.D.,360,47.7,42.8-52.6
Some post-H.S.,272,33.3,28.8-37.9
College graduate,158,11.6,9.3-13.8
Virgin Islands,,,
Less than H.S.,42,22.8,9.8-35.8
