Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,1,*,
H.S. or G.E.D.,13,*,
Some post-H.S.,23,3.1,1.4-4.8
College graduate,99,9.0,7.0-11.1
Alaska,,,
Less than H.S.,10,*,
H.S. or G.E.D.,30,3.4,1.9-5.0
Some post-H.S.,58,3.6,2.4-4.8
College graduate,219,13.3,11.2-15.5
Arizona,,,
Less than H.S.,3,*,
H.S. or G.E.D.,15,*,
Some post-H.S.,64,3.9,2.5-5.3
College graduate,256,13.3,11.2-15.4
Arkansas,,,
Less than H.S.,1,*,
H.S. or G.E.D.,12,*,
Some post-H.S.,27,2.7,1.4-4.0
College graduate,104,8.4,6.5-10.2
California,,,
Less than H.S.,10,*,
H.S. or G.E.D.,66,5.7,4.0-7.4
Some post-H.S.,141,9.2,7.4-11.0
College graduate,810,23.4,21.4-25.3
Colorado,,,
Less than H.S.,3,*,
H.S. or G.E.D.,29,2.5,1.3-3.7
Some post-H.S.,87,5.2,4.0-6.4
College graduate,613,17.8,16.4-19.2
Connecticut,,,
Less than H.S.,4,*,
H.S. or G.E.D.,49,4.4,2.9-6.0
Some post-H.S.,87,7.0,5.0-9.1
College graduate,768,24.4,22.4-26.5
Delaware,,,
Less than H.S.,2,*,
H.S. or G.E.D.,15,2.4,1.0-3.7
Some post-H.S.,23,3.2,1.8-4.6
College graduate,116,11.9,9.4-14.4
District of Columbia,,,
Less than H.S.,0,***,
H.S. or G.E.D.,9,*,
Some post-H.S.,18,6.0,2.7-9.3
College graduate,499,27.7,25.1-30.2
Florida,,,
Less than H.S.,6,*,
H.S. or G.E.D.,51,3.8,2.1-5.6
Some post-H.S.,73,3.4,2.1-4.7
College graduate,386,13.0,10.9-15.1
Georgia,,,
Less than H.S.,2,*,
H.S. or G.E.D.,25,2.5,1.2-3.7
Some post-H.S.,56,4.2,2.7-5.7
College graduate,314,15.6,13.3-17.8
Hawaii,,,
Less than H.S.,5,*,
H.S. or G.E.D.,37,2.6,1.6-3.5
Some post-H.S.,58,4.5,3.1-5.8
College graduate,309,13.2,11.5-15.0
Idaho,,,
Less than H.S.,4,*,
H.S. or G.E.D.,21,1.7,0.9-2.5
Some post-H.S.,38,2.7,1.8-3.7
College graduate,134,8.6,7.0-10.1
Illinois,,,
Less than H.S.,0,***,
H.S. or G.E.D.,16,2.8,1.4-4.3
Some post-H.S.,32,4.8,2.9-6.6
College graduate,257,19.0,16.5-21.5
Indiana,,,
Less than H.S.,5,*,
