Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,511,76.7,72.2-81.1
H.S. or G.E.D.,"1,703",77.1,74.5-79.7
Some post-H.S.,"1,684",78.9,76.4-81.4
College graduate,"1,929",81.1,79.0-83.3
Alaska,,,
Less than H.S.,84,62.1,49.6-74.7
H.S. or G.E.D.,565,66.1,60.9-71.3
Some post-H.S.,623,73.2,68.7-77.8
College graduate,863,74.0,70.0-77.9
Arizona,,,
Less than H.S.,480,67.4,61.2-73.6
H.S. or G.E.D.,"1,621",68.2,64.6-71.7
Some post-H.S.,"2,268",75.4,72.7-78.2
College graduate,"2,644",79.6,77.2-81.9
Arkansas,,,
Less than H.S.,426,76.3,70.2-82.5
H.S. or G.E.D.,"1,521",78.2,75.3-81.1
Some post-H.S.,"1,208",79.4,76.2-82.6
College graduate,"1,395",83.9,81.2-86.6
California,,,
Less than H.S.,"1,168",66.3,63.7-69.0
H.S. or G.E.D.,"1,473",69.0,66.6-71.4
Some post-H.S.,"2,090",73.2,71.2-75.3
College graduate,"3,705",75.6,74.0-77.2
Colorado,,,
Less than H.S.,390,59.2,54.6-63.8
H.S. or G.E.D.,"1,329",66.7,64.1-69.3
Some post-H.S.,"1,794",69.2,67.0-71.5
College graduate,"3,218",71.8,70.1-73.5
Connecticut,,,
Less than H.S.,359,81.3,76.7-85.9
H.S. or G.E.D.,"1,738",79.9,77.5-82.4
Some post-H.S.,"1,883",82.1,79.7-84.4
College graduate,"3,608",79.3,77.7-81.0
Delaware,,,
Less than H.S.,276,73.0,66.8-79.2
H.S. or G.E.D.,878,85.0,82.3-87.7
Some post-H.S.,810,84.0,80.3-87.6
College graduate,"1,238",81.3,78.3-84.3
District of Columbia,,,
Less than H.S.,111,87.4,81.5-93.3
H.S. or G.E.D.,375,84.7,80.0-89.4
Some post-H.S.,380,76.6,70.6-82.6
College graduate,"1,316",76.0,73.2-78.9
Florida,,,
Less than H.S.,"1,300",73.7,69.5-78.0
H.S. or G.E.D.,"3,873",77.4,74.7-80.0
Some post-H.S.,"4,047",79.5,77.1-81.9
College graduate,"4,417",81.5,79.0-84.0
Georgia,,,
Less than H.S.,639,64.1,58.7-69.5
H.S. or G.E.D.,"1,533",75.1,71.8-78.4
Some post-H.S.,"1,615",78.3,75.1-81.4
College graduate,"2,118",82.4,79.9-84.9
Hawaii,,,
Less than H.S.,236,79.6,73.8-85.3
H.S. or G.E.D.,"1,604",79.0,76.8-81.3
Some post-H.S.,"1,720",81.6,79.4-83.8
College graduate,"2,675",81.2,79.4-82.9
Idaho,,,
Less than H.S.,233,61.6,54.1-69.1
H.S. or G.E.D.,"1,030",67.6,63.9-71.3
Some post-H.S.,"1,364",74.2,71.0-77.5
College graduate,"1,339",73.9,70.7-77.1
Illinois,,,
Less than H.S.,292,72.1,66.9-77.3
H.S. or G.E.D.,979,76.0,73.1-78.9
Some post-H.S.,"1,093",75.4,72.8-78.1
College graduate,"1,973",79.7,77.9-81.5
Indiana,,,
Less than H.S.,505,73.0,68.5-77.5
H.S. or G.E.D.,"2,312",76.1,73.9-78.2
Some post-H.S.,"1,856",76.4,74.2-78.6
College graduate,"2,527",80.8,79.0-82.5
Iowa,,,
Less than H.S.,396,76.0,71.7-80.2
H.S. or G.E.D.,"2,470",79.3,77.5-81.0
Some post-H.S.,"2,424",77.7,75.9-79.4
College graduate,"2,591",80.1,78.5-81.8
Kansas,,,
Less than H.S.,337,69.0,63.8-74.2
H.S. or G.E.D.,"2,229",73.2,71.1-75.3
Some post-H.S.,"2,774",75.9,74.1-77.6
College graduate,"3,491",78.5,77.0-80.0
Kentucky,,,
Less than H.S.,575,83.4,78.6-88.2
H.S. or G.E.D.,"2,090",80.8,78.2-83.3
Some post-H.S.,"1,860",77.8,74.8-80.7
College graduate,"2,209",84.1,81.8-86.4
Louisiana,,,
Less than H.S.,400,81.5,77.0-85.9
H.S. or G.E.D.,"1,259",82.6,79.9-85.3
Some post-H.S.,993,79.6,76.7-82.5
College graduate,"1,249",80.4,77.8-82.9
Maine,,,
Less than H.S.,413,69.7,62.1-77.4
H.S. or G.E.D.,"2,718",75.5,72.9-78.1
Some post-H.S.,"2,604",79.6,77.1-82.0
College graduate,"3,655",81.0,79.0-82.9
Maryland,,,
Less than H.S.,798,74.4,70.1-78.6
H.S. or G.E.D.,"3,702",80.0,78.0-82.0
Some post-H.S.,"3,335",81.4,79.5-83.3
College graduate,"6,692",81.1,79.8-82.3
Massachusetts,,,
Less than H.S.,334,78.9,73.6-84.2
H.S. or G.E.D.,"1,289",82.4,80.1-84.8
Some post-H.S.,"1,510",82.3,80.1-84.6
College graduate,"3,234",81.9,80.3-83.4
Michigan,,,
Less than H.S.,326,74.8,69.2-80.3
H.S. or G.E.D.,"2,232",81.3,79.4-83.2
Some post-H.S.,"2,669",78.9,77.1-80.8
College graduate,"3,436",82.7,81.2-84.2
Minnesota,,,
Less than H.S.,456,70.2,65.8-74.6
H.S. or G.E.D.,"2,612",72.2,70.4-74.1
Some post-H.S.,"3,694",74.9,73.4-76.4
College graduate,"4,959",75.1,73.8-76.3
Mississippi,,,
Less than H.S.,558,79.8,75.2-84.4
H.S. or G.E.D.,"1,256",77.8,74.8-80.8
Some post-H.S.,"1,176",76.7,73.6-79.8
College graduate,"1,228",83.1,80.6-85.6
Missouri,,,
Less than H.S.,415,69.1,63.4-74.8
H.S. or G.E.D.,"1,927",78.1,75.7-80.5
Some post-H.S.,"1,616",76.8,74.1-79.4
College graduate,"1,932",80.1,77.8-82.3
Montana,,,
Less than H.S.,232,67.8,61.3-74.3
H.S. or G.E.D.,"1,292",70.3,67.7-72.9
Some post-H.S.,"1,556",73.7,71.3-76.1
College graduate,"1,835",76.0,73.9-78.1
Nebraska,,,
Less than H.S.,680,65.1,60.7-69.4
H.S. or G.E.D.,"3,770",72.5,70.6-74.3
Some post-H.S.,"3,771",72.3,70.5-74.2
College graduate,"3,865",76.8,75.1-78.5
Nevada,,,
Less than H.S.,185,64.9,57.9-71.8
H.S. or G.E.D.,477,68.5,63.8-73.3
Some post-H.S.,644,73.3,69.4-77.1
College graduate,735,78.3,74.8-81.9
New Hampshire,,,
Less than H.S.,190,68.3,59.8-76.9
H.S. or G.E.D.,"1,235",74.4,71.2-77.6
Some post-H.S.,"1,254",80.6,77.7-83.5
College graduate,"2,124",81.1,78.9-83.4
New Mexico,,,
Less than H.S.,471,69.2,64.4-74.0
H.S. or G.E.D.,"1,121",67.8,64.4-71.1
Some post-H.S.,"1,216",68.8,65.5-72.1
College graduate,"1,623",74.0,71.4-76.6
New York,,,
Less than H.S.,877,79.7,76.5-82.8
H.S. or G.E.D.,"2,962",81.2,79.2-83.2
Some post-H.S.,"2,940",81.2,79.3-83.1
College graduate,"5,042",81.1,79.7-82.6
North Carolina,,,
Less than H.S.,286,70.5,65.2-75.9
H.S. or G.E.D.,801,79.1,76.1-82.1
Some post-H.S.,"1,037",79.9,77.2-82.5
College graduate,"1,315",82.2,80.0-84.3
North Dakota,,,
Less than H.S.,189,72.2,63.1-81.3
H.S. or G.E.D.,"1,177",70.0,66.5-73.5
Some post-H.S.,"1,374",71.8,68.8-74.9
College graduate,"1,560",74.6,71.9-77.3
Ohio,,,
Less than H.S.,730,75.3,70.3-80.3
H.S. or G.E.D.,"3,951",77.3,75.2-79.4
Some post-H.S.,"3,074",78.6,76.4-80.8
College graduate,"3,467",80.6,78.8-82.5
Oklahoma,,,
Less than H.S.,376,70.2,65.0-75.4
H.S. or G.E.D.,"1,429",74.0,71.3-76.7
Some post-H.S.,"1,521",77.8,75.4-80.3
College graduate,"1,697",82.2,79.9-84.4
Oregon,,,
Less than H.S.,258,63.7,57.6-69.9
H.S. or G.E.D.,"1,030",71.9,69.2-74.6
Some post-H.S.,"1,432",73.3,70.8-75.7
