Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,131,38.0,30.9-45.0
H.S. or G.E.D.,510,41.7,38.1-45.4
Some post-H.S.,670,49.4,45.8-52.9
College graduate,955,64.6,61.4-67.8
Alaska,,,
Less than H.S.,69,25.9,18.5-33.3
H.S. or G.E.D.,619,41.3,38.0-44.7
Some post-H.S.,866,55.4,52.2-58.6
College graduate,"1,429",65.6,63.0-68.2
Arizona,,,
Less than H.S.,240,41.8,35.9-47.8
H.S. or G.E.D.,874,40.3,37.0-43.6
Some post-H.S.,"1,585",49.7,47.0-52.5
College graduate,"2,299",63.2,60.8-65.6
Arkansas,,,
Less than H.S.,139,38.6,32.6-44.7
H.S. or G.E.D.,726,44.6,41.5-47.6
Some post-H.S.,666,52.3,49.0-55.7
College graduate,"1,085",66.6,63.8-69.4
California,,,
Less than H.S.,277,44.8,40.2-49.5
H.S. or G.E.D.,677,39.7,36.7-42.6
Some post-H.S.,"1,021",44.0,41.4-46.5
College graduate,"2,722",62.8,61.0-64.6
Colorado,,,
Less than H.S.,234,45.2,39.7-50.7
H.S. or G.E.D.,733,40.9,37.9-43.8
Some post-H.S.,"1,089",47.3,44.8-49.9
College graduate,"2,900",65.5,63.8-67.1
Connecticut,,,
Less than H.S.,166,32.8,27.0-38.6
H.S. or G.E.D.,797,40.9,37.7-44.0
Some post-H.S.,966,42.7,39.8-45.7
College graduate,"3,154",64.3,62.4-66.2
Delaware,,,
Less than H.S.,79,33.1,25.2-40.9
H.S. or G.E.D.,427,42.8,38.8-46.8
Some post-H.S.,505,48.2,44.0-52.3
College graduate,971,64.8,61.4-68.1
District of Columbia,,,
Less than H.S.,23,19.8,9.8-29.8
H.S. or G.E.D.,84,20.5,15.3-25.8
Some post-H.S.,99,21.2,16.2-26.2
College graduate,944,40.6,38.1-43.2
Florida,,,
Less than H.S.,287,36.5,29.9-43.1
H.S. or G.E.D.,"1,585",45.6,42.2-49.1
Some post-H.S.,"1,931",46.6,43.4-49.8
College graduate,"2,980",60.0,57.4-62.6
Georgia,,,
Less than H.S.,224,32.3,27.6-37.0
H.S. or G.E.D.,912,40.0,37.0-42.9
Some post-H.S.,"1,195",49.3,46.5-52.2
College graduate,"2,244",63.1,60.7-65.4
Hawaii,,,
Less than H.S.,85,36.9,28.8-45.0
H.S. or G.E.D.,775,41.0,38.0-43.9
Some post-H.S.,"1,037",54.0,51.2-56.8
College graduate,"1,946",63.6,61.3-65.8
Idaho,,,
Less than H.S.,152,45.1,38.6-51.5
H.S. or G.E.D.,748,46.8,43.9-49.6
Some post-H.S.,"1,107",56.9,54.4-59.4
College graduate,"1,523",71.5,69.4-73.7
Illinois,,,
Less than H.S.,141,40.3,33.8-46.7
H.S. or G.E.D.,338,41.6,37.5-45.7
Some post-H.S.,415,46.6,42.7-50.4
College graduate,942,61.8,59.1-64.6
Indiana,,,
Less than H.S.,230,37.8,33.2-42.3
H.S. or G.E.D.,"1,326",44.6,42.5-46.8
Some post-H.S.,"1,338",51.6,49.3-53.9
College graduate,"2,336",64.3,62.4-66.1
Iowa,,,
Less than H.S.,267,36.0,31.0-41.1
H.S. or G.E.D.,"1,264",44.0,41.6-46.4
Some post-H.S.,"1,381",54.8,52.4-57.3
College graduate,"1,937",67.8,65.7-70.0
Kansas,,,
Less than H.S.,185,44.5,38.6-50.5
H.S. or G.E.D.,"1,281",43.8,41.3-46.3
Some post-H.S.,"1,785",51.7,49.4-53.9
College graduate,"2,931",67.8,65.9-69.6
Kentucky,,,
Less than H.S.,113,40.5,33.4-47.6
H.S. or G.E.D.,569,46.7,42.9-50.5
Some post-H.S.,564,51.4,47.4-55.5
College graduate,724,61.5,57.8-65.3
Louisiana,,,
Less than H.S.,126,32.4,26.9-38.0
H.S. or G.E.D.,658,39.8,36.7-42.9
Some post-H.S.,671,45.5,42.4-48.6
College graduate,"1,179",60.6,58.0-63.2
Maine,,,
Less than H.S.,113,32.3,25.5-39.2
H.S. or G.E.D.,"1,187",44.6,41.9-47.3
Some post-H.S.,"1,482",51.2,48.8-53.7
College graduate,"2,815",65.3,63.4-67.2
Maryland,,,
Less than H.S.,327,36.9,32.5-41.3
H.S. or G.E.D.,"1,624",37.5,35.1-39.9
Some post-H.S.,"1,632",45.2,42.7-47.8
College graduate,"4,693",63.1,61.4-64.7
Massachusetts,,,
Less than H.S.,212,34.0,29.1-39.0
H.S. or G.E.D.,758,39.6,36.7-42.5
Some post-H.S.,948,43.0,40.4-45.6
College graduate,"3,275",61.5,59.9-63.1
Michigan,,,
Less than H.S.,93,28.2,22.4-34.0
H.S. or G.E.D.,"1,050",42.2,39.8-44.6
Some post-H.S.,"1,297",49.9,47.6-52.2
College graduate,"2,613",64.1,62.4-65.8
Minnesota,,,
Less than H.S.,197,34.3,29.4-39.2
H.S. or G.E.D.,"1,387",42.0,39.8-44.2
Some post-H.S.,"2,441",53.4,51.6-55.2
College graduate,"5,098",66.6,65.3-67.9
Mississippi,,,
Less than H.S.,107,31.0,25.0-37.1
H.S. or G.E.D.,414,37.6,34.1-41.1
Some post-H.S.,625,51.1,47.8-54.5
College graduate,842,63.5,60.4-66.7
Missouri,,,
Less than H.S.,151,42.2,36.1-48.4
H.S. or G.E.D.,940,44.7,41.9-47.6
Some post-H.S.,972,48.3,45.5-51.2
College graduate,"1,593",65.1,62.7-67.4
Montana,,,
Less than H.S.,104,33.3,26.8-39.8
H.S. or G.E.D.,835,44.9,42.1-47.7
Some post-H.S.,"1,086",53.1,50.4-55.7
College graduate,"1,742",65.0,62.8-67.1
Nebraska,,,
Less than H.S.,225,43.2,37.3-49.2
H.S. or G.E.D.,"1,060",45.8,42.8-48.7
Some post-H.S.,"1,165",52.6,49.8-55.5
College graduate,"1,590",67.6,65.1-70.2
Nevada,,,
Less than H.S.,98,47.5,39.6-55.5
H.S. or G.E.D.,306,38.8,34.0-43.5
Some post-H.S.,396,46.6,41.8-51.3
College graduate,628,59.5,55.2-63.8
New Hampshire,,,
Less than H.S.,77,35.7,27.3-44.2
H.S. or G.E.D.,662,42.6,39.0-46.2
Some post-H.S.,870,52.8,49.4-56.2
College graduate,"2,032",66.9,64.6-69.3
New Jersey,,,
Less than H.S.,157,36.6,31.0-42.3
H.S. or G.E.D.,633,40.5,37.4-43.7
Some post-H.S.,829,49.8,46.6-53.0
College graduate,"2,618",64.4,62.5-66.3
New Mexico,,,
Less than H.S.,182,42.9,36.8-49.0
H.S. or G.E.D.,488,39.1,35.2-43.0
Some post-H.S.,545,42.3,38.5-46.1
College graduate,"1,046",57.8,54.7-61.0
New York,,,
Less than H.S.,442,33.9,30.5-37.2
H.S. or G.E.D.,"1,679",41.1,38.9-43.3
Some post-H.S.,"1,766",46.2,44.1-48.4
College graduate,"4,269",54.9,53.4-56.4
North Carolina,,,
Less than H.S.,127,33.0,26.2-39.8
H.S. or G.E.D.,451,45.0,41.0-49.0
Some post-H.S.,640,50.3,46.7-53.9
College graduate,"1,069",61.9,59.2-64.6
North Dakota,,,
Less than H.S.,56,34.2,25.5-42.9
H.S. or G.E.D.,486,45.9,42.3-49.4
