Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,92,28.0,21.0-34.9
H.S. or G.E.D.,208,19.0,16.0-22.1
Some post-H.S.,230,18.3,15.5-21.2
College graduate,159,11.3,9.2-13.4
Alaska,,,
Less than H.S.,59,22.5,15.9-29.0
H.S. or G.E.D.,218,16.2,13.6-18.8
Some post-H.S.,250,16.8,14.3-19.2
College graduate,210,10.3,8.5-12.2
Arizona,,,
Less than H.S.,125,22.1,16.8-27.4
H.S. or G.E.D.,340,18.6,15.8-21.5
Some post-H.S.,553,17.7,15.6-19.8
College graduate,419,12.0,10.2-13.7
Arkansas,,,
Less than H.S.,89,27.6,21.7-33.5
H.S. or G.E.D.,316,20.3,17.7-22.9
Some post-H.S.,266,24.0,20.9-27.0
College graduate,188,12.0,10.0-14.0
California,,,
Less than H.S.,125,15.4,12.2-18.6
H.S. or G.E.D.,322,15.9,13.7-18.1
Some post-H.S.,465,15.8,14.1-17.6
College graduate,613,11.3,10.0-12.6
Colorado,,,
Less than H.S.,81,17.7,13.5-21.9
H.S. or G.E.D.,316,19.8,17.4-22.2
Some post-H.S.,414,18.7,16.8-20.7
College graduate,508,11.1,10.0-12.2
Connecticut,,,
Less than H.S.,81,15.6,11.3-19.8
H.S. or G.E.D.,316,16.3,13.7-18.9
Some post-H.S.,386,18.9,16.4-21.4
College graduate,485,9.9,8.7-11.1
Delaware,,,
Less than H.S.,50,26.0,17.4-34.5
H.S. or G.E.D.,154,15.9,12.8-18.9
Some post-H.S.,150,15.3,12.2-18.3
College graduate,137,8.6,6.7-10.5
District of Columbia,,,
Less than H.S.,16,*,
H.S. or G.E.D.,75,18.5,13.5-23.5
Some post-H.S.,69,18.1,13.1-23.2
College graduate,211,10.9,9.1-12.6
Florida,,,
Less than H.S.,192,22.9,17.3-28.4
H.S. or G.E.D.,563,16.0,13.6-18.5
Some post-H.S.,614,16.0,13.9-18.1
College graduate,480,10.2,8.6-11.9
Georgia,,,
Less than H.S.,129,21.2,16.7-25.7
H.S. or G.E.D.,348,17.8,15.3-20.2
Some post-H.S.,398,18.9,16.6-21.2
College graduate,332,9.7,8.3-11.2
Hawaii,,,
Less than H.S.,40,17.6,11.1-24.0
H.S. or G.E.D.,236,12.4,10.4-14.4
Some post-H.S.,274,11.7,9.9-13.4
College graduate,298,9.1,7.7-10.4
Idaho,,,
Less than H.S.,73,20.3,15.3-25.3
H.S. or G.E.D.,254,17.2,14.8-19.5
Some post-H.S.,299,15.8,13.9-17.8
College graduate,225,10.0,8.5-11.5
Illinois,,,
Less than H.S.,53,17.5,12.6-22.5
H.S. or G.E.D.,140,14.2,11.5-16.8
Some post-H.S.,150,14.5,11.9-17.2
College graduate,218,11.4,9.6-13.1
Indiana,,,
Less than H.S.,128,19.9,16.1-23.6
H.S. or G.E.D.,505,18.4,16.7-20.1
Some post-H.S.,464,18.4,16.6-20.2
College graduate,389,11.7,10.4-12.9
Iowa,,,
Less than H.S.,92,15.4,11.5-19.3
H.S. or G.E.D.,371,15.8,13.9-17.6
Some post-H.S.,351,15.0,13.2-16.8
College graduate,258,8.6,7.3-9.9
Kansas,,,
Less than H.S.,83,22.5,17.4-27.6
H.S. or G.E.D.,451,18.3,16.3-20.4
Some post-H.S.,495,17.4,15.7-19.2
College graduate,408,10.3,9.1-11.6
Kentucky,,,
Less than H.S.,81,21.7,16.0-27.4
H.S. or G.E.D.,220,17.8,14.9-20.8
Some post-H.S.,173,16.0,12.9-19.0
College graduate,134,11.0,8.7-13.4
Louisiana,,,
Less than H.S.,110,30.5,24.9-36.1
H.S. or G.E.D.,287,21.0,18.3-23.7
Some post-H.S.,303,19.7,17.4-22.1
College graduate,240,13.0,11.0-14.9
Maine,,,
Less than H.S.,70,25.7,18.9-32.6
H.S. or G.E.D.,440,19.3,17.0-21.7
Some post-H.S.,429,16.9,15.0-18.7
College graduate,451,10.6,9.3-11.9
Maryland,,,
Less than H.S.,168,17.3,13.7-21.0
H.S. or G.E.D.,619,18.7,16.5-21.0
Some post-H.S.,571,16.9,14.9-18.8
College graduate,699,9.4,8.4-10.5
Massachusetts,,,
Less than H.S.,115,20.8,16.3-25.2
H.S. or G.E.D.,356,17.9,15.6-20.2
Some post-H.S.,410,17.3,15.3-19.4
College graduate,608,9.9,8.9-10.9
Michigan,,,
Less than H.S.,93,24.3,19.0-29.6
H.S. or G.E.D.,396,18.3,16.3-20.2
Some post-H.S.,447,18.4,16.5-20.3
College graduate,416,10.5,9.3-11.6
Minnesota,,,
Less than H.S.,126,29.3,24.1-34.4
H.S. or G.E.D.,495,16.9,15.1-18.8
Some post-H.S.,692,15.2,13.9-16.5
College graduate,752,9.8,9.0-10.6
Mississippi,,,
Less than H.S.,81,22.3,16.9-27.7
H.S. or G.E.D.,169,15.6,12.9-18.2
Some post-H.S.,223,17.1,14.6-19.6
College graduate,140,9.4,7.6-11.1
Missouri,,,
Less than H.S.,103,23.2,18.2-28.3
H.S. or G.E.D.,379,19.4,17.0-21.7
Some post-H.S.,395,19.2,17.0-21.5
College graduate,268,10.7,9.1-12.3
Montana,,,
Less than H.S.,72,26.7,20.3-33.1
H.S. or G.E.D.,279,18.5,16.1-20.8
Some post-H.S.,307,17.9,15.7-20.0
College graduate,271,10.7,9.3-12.2
Nebraska,,,
Less than H.S.,65,15.0,10.3-19.7
H.S. or G.E.D.,250,13.3,11.1-15.5
Some post-H.S.,293,14.6,12.5-16.6
College graduate,174,7.4,6.0-8.8
Nevada,,,
Less than H.S.,35,14.3,9.0-19.5
H.S. or G.E.D.,128,15.4,12.2-18.7
Some post-H.S.,143,16.8,13.2-20.3
College graduate,133,11.5,9.0-14.1
New Hampshire,,,
Less than H.S.,47,28.0,19.5-36.6
H.S. or G.E.D.,260,22.3,19.0-25.5
Some post-H.S.,236,17.3,14.7-20.0
College graduate,257,9.6,8.0-11.2
New Jersey,,,
Less than H.S.,73,15.1,11.2-19.0
H.S. or G.E.D.,256,16.7,14.3-19.1
Some post-H.S.,248,14.6,12.1-17.1
College graduate,425,10.7,9.5-12.0
New Mexico,,,
Less than H.S.,75,17.9,12.8-22.9
H.S. or G.E.D.,170,14.3,11.5-17.0
Some post-H.S.,220,19.2,16.0-22.4
College graduate,207,12.5,10.3-14.7
New York,,,
Less than H.S.,222,18.9,16.0-21.8
H.S. or G.E.D.,626,17.1,15.4-18.9
Some post-H.S.,643,17.1,15.5-18.8
College graduate,886,11.7,10.7-12.7
North Carolina,,,
Less than H.S.,59,22.0,14.4-29.5
H.S. or G.E.D.,148,15.3,12.5-18.2
Some post-H.S.,218,17.9,14.7-21.1
College graduate,191,10.0,8.4-11.6
North Dakota,,,
Less than H.S.,23,19.6,11.6-27.6
H.S. or G.E.D.,137,16.8,14.0-19.7
Some post-H.S.,142,13.9,11.5-16.2
College graduate,133,10.1,8.3-11.9
Ohio,,,
Less than H.S.,203,28.7,23.9-33.6
H.S. or G.E.D.,884,20.0,18.3-21.7
Some post-H.S.,856,19.2,17.5-20.9
College graduate,657,11.7,10.5-12.9
Oklahoma,,,
Less than H.S.,86,22.3,17.5-27.1
H.S. or G.E.D.,275,20.4,17.9-22.8
Some post-H.S.,348,20.1,18.0-22.3
College graduate,200,10.9,9.3-12.5
Oregon,,,
Less than H.S.,64,21.7,16.1-27.2
H.S. or G.E.D.,249,21.4,18.5-24.3
Some post-H.S.,329,18.9,16.7-21.1
College graduate,315,13.1,11.5-14.7
Pennsylvania,,,
Less than H.S.,40,20.3,11.6-28.9
H.S. or G.E.D.,217,17.8,14.8-20.7
Some post-H.S.,190,14.6,12.1-17.2
College graduate,225,10.5,8.8-12.3
Rhode Island,,,
Less than H.S.,75,15.6,11.5-19.7
H.S. or G.E.D.,179,16.8,13.6-19.9
Some post-H.S.,228,19.4,16.4-22.5
College graduate,246,11.0,9.4-12.7
South Carolina,,,
Less than H.S.,105,19.6,15.4-23.8
H.S. or G.E.D.,366,15.5,13.5-17.5
Some post-H.S.,390,18.2,16.0-20.3
College graduate,385,11.1,9.8-12.4
South Dakota,,,
Less than H.S.,57,*,
H.S. or G.E.D.,237,12.5,8.9-16.0
Some post-H.S.,283,15.4,10.5-20.4
College graduate,213,7.8,5.6-10.1
Tennessee,,,
Less than H.S.,105,30.3,23.4-37.2
H.S. or G.E.D.,311,21.4,18.7-24.1
Some post-H.S.,288,21.3,18.5-24.0
College graduate,221,13.6,11.5-15.7
Texas,,,
Less than H.S.,236,16.0,12.7-19.3
H.S. or G.E.D.,584,19.7,17.1-22.2
Some post-H.S.,668,18.0,15.9-20.2
College graduate,612,11.4,9.9-13.0
Utah,,,
Less than H.S.,94,22.1,17.2-27.0
H.S. or G.E.D.,386,17.8,15.8-19.9
Some post-H.S.,478,18.8,16.9-20.8
College graduate,404,11.5,10.1-12.8
Vermont,,,
Less than H.S.,44,25.7,17.7-33.7
H.S. or G.E.D.,306,19.9,17.2-22.5
Some post-H.S.,275,18.5,15.9-21.0
College graduate,420,9.9,8.8-11.0
Virginia,,,
Less than H.S.,87,18.1,13.4-22.7
H.S. or G.E.D.,352,19.4,16.8-21.9
Some post-H.S.,428,19.4,17.1-21.7
College graduate,530,11.4,10.1-12.6
Washington,,,
Less than H.S.,228,21.4,18.3-24.5
H.S. or G.E.D.,871,19.2,17.8-20.6
Some post-H.S.,"1,182",19.0,17.8-20.2
College graduate,"1,239",11.0,10.3-11.7
West Virginia,,,
Less than H.S.,111,30.1,24.6-35.6
H.S. or G.E.D.,340,21.1,18.7-23.5
Some post-H.S.,271,22.5,19.6-25.3
College graduate,194,14.2,12.0-16.4
Wisconsin,,,
Less than H.S.,92,25.4,19.8-31.0
H.S. or G.E.D.,446,18.6,16.5-20.6
Some post-H.S.,521,17.3,15.6-19.1
College graduate,362,9.6,8.3-10.8
Wyoming,,,
Less than H.S.,25,18.4,10.9-26.0
H.S. or G.E.D.,120,15.6,12.4-18.8
Some post-H.S.,186,15.9,13.3-18.5
College graduate,145,11.1,9.1-13.2
Guam,,,
Less than H.S.,18,*,
H.S. or G.E.D.,104,13.4,9.6-17.2
Some post-H.S.,72,14.1,8.3-20.0
College graduate,71,14.9,6.5-23.4
Puerto Rico,,,
Less than H.S.,89,13.5,10.1-17.0
H.S. or G.E.D.,208,15.0,12.5-17.5
Some post-H.S.,213,14.6,12.1-17.1
College graduate,269,13.2,11.1-15.2
Virgin Islands,,,
Less than H.S.,18,*,
H.S. or G.E.D.,46,11.1,5.0-17.1
Some post-H.S.,25,*,
College graduate,34,*,
