Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,276,71.2,64.6-77.8
H.S. or G.E.D.,948,69.3,65.7-72.9
Some post-H.S.,918,63.9,60.5-67.3
College graduate,"1,233",66.9,64.1-69.8
Alaska,,,
Less than H.S.,165,66.5,57.9-75.1
H.S. or G.E.D.,967,61.0,56.9-65.0
Some post-H.S.,"1,169",63.3,59.8-66.9
College graduate,"1,572",67.0,64.0-70.0
Arizona,,,
Less than H.S.,374,51.2,46.1-56.2
H.S. or G.E.D.,"1,507",58.4,55.5-61.2
Some post-H.S.,"2,541",67.4,65.2-69.6
College graduate,"3,158",68.3,66.3-70.3
Arkansas,,,
Less than H.S.,321,67.3,60.0-74.7
H.S. or G.E.D.,"1,419",67.6,63.9-71.2
Some post-H.S.,"1,190",65.5,61.8-69.3
College graduate,"1,376",62.9,59.4-66.4
California,,,
Less than H.S.,440,46.3,42.3-50.2
H.S. or G.E.D.,768,63.1,59.5-66.7
Some post-H.S.,"1,125",67.7,64.5-70.9
College graduate,"2,234",66.8,64.4-69.2
Colorado,,,
Less than H.S.,390,54.2,49.9-58.5
H.S. or G.E.D.,"1,403",66.0,63.5-68.4
Some post-H.S.,"1,893",72.1,70.0-74.2
College graduate,"3,397",64.4,62.8-66.0
Connecticut,,,
Less than H.S.,255,61.4,55.1-67.6
H.S. or G.E.D.,"1,293",68.7,65.7-71.7
Some post-H.S.,"1,381",71.0,68.2-73.9
College graduate,"2,773",66.7,64.7-68.7
Delaware,,,
Less than H.S.,123,50.8,41.9-59.7
H.S. or G.E.D.,637,66.2,62.0-70.4
Some post-H.S.,678,68.9,64.8-73.0
College graduate,"1,064",69.6,66.6-72.6
District of Columbia,,,
Less than H.S.,113,68.0,56.1-79.8
H.S. or G.E.D.,336,63.7,57.3-70.1
Some post-H.S.,325,70.6,64.2-77.0
College graduate,"1,659",76.6,74.4-78.8
Georgia,,,
Less than H.S.,472,63.4,58.0-68.9
H.S. or G.E.D.,"1,585",65.1,61.6-68.5
Some post-H.S.,"1,535",64.3,61.0-67.6
College graduate,"2,316",66.5,63.9-69.1
Hawaii,,,
Less than H.S.,150,71.8,63.5-80.1
H.S. or G.E.D.,"1,316",62.1,59.2-65.0
Some post-H.S.,"1,612",68.7,66.0-71.4
College graduate,"2,638",72.0,70.0-74.1
Idaho,,,
Less than H.S.,272,58.7,52.6-64.8
H.S. or G.E.D.,"1,181",63.3,60.4-66.2
Some post-H.S.,"1,574",64.9,62.4-67.4
College graduate,"1,639",61.5,59.1-63.9
Illinois,,,
Less than H.S.,79,61.6,50.5-72.6
H.S. or G.E.D.,540,70.6,66.2-75.1
Some post-H.S.,594,71.2,67.2-75.0
College graduate,"1,123",68.8,66.0-71.7
Indiana,,,
Less than H.S.,370,55.5,50.6-60.5
H.S. or G.E.D.,"2,174",66.6,64.5-68.8
Some post-H.S.,"1,920",66.9,64.7-69.1
College graduate,"2,636",63.4,61.6-65.3
Iowa,,,
Less than H.S.,356,57.8,52.2-63.3
H.S. or G.E.D.,"2,208",69.9,67.6-72.3
Some post-H.S.,"2,005",67.0,64.7-69.4
College graduate,"2,157",61.0,58.9-63.2
Kansas,,,
Less than H.S.,404,59.8,55.0-64.6
H.S. or G.E.D.,"3,203",66.7,65.0-68.5
Some post-H.S.,"3,885",66.8,65.2-68.4
College graduate,"4,845",61.4,60.1-62.8
Kentucky,,,
Less than H.S.,374,76.9,71.2-82.6
H.S. or G.E.D.,"1,374",71.6,68.6-74.6
Some post-H.S.,"1,124",65.4,62.1-68.8
College graduate,"1,204",66.3,63.2-69.4
Louisiana,,,
Less than H.S.,285,69.0,63.0-75.1
H.S. or G.E.D.,"1,026",67.4,64.0-70.8
Some post-H.S.,971,61.8,58.4-65.2
College graduate,"1,313",62.6,59.6-65.4
Maine,,,
Less than H.S.,305,68.1,60.6-75.6
H.S. or G.E.D.,"2,437",74.9,72.6-77.3
Some post-H.S.,"2,592",74.2,72.0-76.4
College graduate,"4,078",73.7,71.8-75.5
