Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,57,13.9,9.8-18.1
H.S. or G.E.D.,190,16.0,13.4-18.6
Some post-H.S.,210,17.3,14.8-19.8
College graduate,232,15.6,13.4-17.8
Alaska,,,
Less than H.S.,24,16.9,8.6-25.3
H.S. or G.E.D.,127,13.3,10.3-16.3
Some post-H.S.,102,9.7,7.1-12.3
College graduate,111,8.3,6.3-10.3
Arizona,,,
Less than H.S.,97,13.0,9.8-16.1
H.S. or G.E.D.,277,14.0,12.1-16.0
Some post-H.S.,362,14.6,12.7-16.4
College graduate,350,11.6,10.2-13.0
Arkansas,,,
Less than H.S.,29,9.5,5.4-13.7
H.S. or G.E.D.,120,11.7,9.3-14.1
Some post-H.S.,140,17.8,14.6-21.0
College graduate,161,14.4,11.9-16.9
California,,,
Less than H.S.,87,18.0,13.9-22.0
H.S. or G.E.D.,102,13.4,10.4-16.3
Some post-H.S.,136,13.6,10.6-16.6
College graduate,247,13.8,11.7-15.9
Colorado,,,
Less than H.S.,109,19.2,15.6-22.8
H.S. or G.E.D.,247,15.3,13.3-17.4
Some post-H.S.,266,13.2,11.4-14.9
College graduate,505,13.2,12.0-14.3
Connecticut,,,
Less than H.S.,76,16.8,12.0-21.7
H.S. or G.E.D.,257,13.6,11.4-15.8
Some post-H.S.,286,15.3,12.6-17.9
College graduate,470,15.1,13.3-16.9
Delaware,,,
Less than H.S.,66,15.8,10.6-21.1
H.S. or G.E.D.,160,16.0,12.7-19.2
Some post-H.S.,133,16.2,12.8-19.7
College graduate,175,15.2,12.4-18.1
District of Columbia,,,
Less than H.S.,10,*,
H.S. or G.E.D.,54,16.2,11.4-21.0
Some post-H.S.,59,17.4,12.3-22.4
College graduate,225,10.5,9.0-12.0
Florida,,,
Less than H.S.,130,13.2,8.6-17.9
H.S. or G.E.D.,315,15.3,12.1-18.4
Some post-H.S.,352,14.0,11.7-16.4
College graduate,354,15.8,13.1-18.5
Georgia,,,
Less than H.S.,90,13.9,9.9-17.9
H.S. or G.E.D.,279,15.4,12.9-17.8
Some post-H.S.,298,16.6,13.9-19.4
College graduate,349,13.9,11.9-15.8
Hawaii,,,
Less than H.S.,17,9.8,4.8-14.7
H.S. or G.E.D.,248,14.2,12.2-16.2
Some post-H.S.,229,12.4,10.4-14.4
College graduate,314,11.6,10.2-13.0
Idaho,,,
Less than H.S.,56,15.2,10.5-19.9
H.S. or G.E.D.,204,14.5,12.1-17.0
Some post-H.S.,209,12.4,10.2-14.6
College graduate,196,11.7,9.6-13.8
Illinois,,,
Less than H.S.,11,15.2,6.3-24.0
H.S. or G.E.D.,72,10.3,7.8-12.8
Some post-H.S.,92,11.3,8.8-13.8
College graduate,169,13.0,10.9-15.2
Indiana,,,
Less than H.S.,74,16.4,12.6-20.2
H.S. or G.E.D.,293,14.3,12.5-16.0
Some post-H.S.,269,15.8,13.8-17.7
College graduate,279,12.4,10.9-14.0
Iowa,,,
Less than H.S.,67,17.0,12.7-21.3
H.S. or G.E.D.,268,11.4,10.0-12.9
Some post-H.S.,310,12.4,11.0-13.8
College graduate,320,12.0,10.6-13.3
Kansas,,,
Less than H.S.,40,13.6,9.1-18.2
H.S. or G.E.D.,233,12.0,10.4-13.7
Some post-H.S.,334,13.7,12.1-15.3
College graduate,416,13.3,12.0-14.7
Kentucky,,,
Less than H.S.,36,12.2,7.5-16.9
H.S. or G.E.D.,133,14.0,11.4-16.7
Some post-H.S.,137,14.1,11.6-16.5
College graduate,140,13.5,11.2-15.9
Louisiana,,,
Less than H.S.,38,11.7,7.5-15.9
H.S. or G.E.D.,175,15.1,12.6-17.6
Some post-H.S.,148,16.2,13.2-19.3
College graduate,208,14.0,12.0-16.0
Maine,,,
Less than H.S.,40,17.8,11.2-24.4
H.S. or G.E.D.,230,10.8,8.8-12.7
Some post-H.S.,265,14.1,12.0-16.2
College graduate,302,10.0,8.6-11.4
Maryland,,,
Less than H.S.,106,16.1,12.5-19.7
H.S. or G.E.D.,410,15.2,13.3-17.0
Some post-H.S.,460,17.9,15.9-19.9
College graduate,712,15.0,13.8-16.3
Massachusetts,,,
Less than H.S.,37,16.7,11.2-22.2
H.S. or G.E.D.,158,14.2,11.7-16.8
Some post-H.S.,170,12.7,10.4-15.0
College graduate,409,13.9,12.4-15.5
Michigan,,,
Less than H.S.,31,13.6,8.2-18.9
H.S. or G.E.D.,188,14.7,12.5-16.9
Some post-H.S.,201,11.7,10.0-13.4
College graduate,281,12.4,10.8-14.0
Minnesota,,,
Less than H.S.,99,16.8,13.2-20.5
H.S. or G.E.D.,420,13.6,12.2-15.0
Some post-H.S.,505,12.3,11.2-13.5
College graduate,716,13.5,12.5-14.6
Mississippi,,,
Less than H.S.,67,11.5,8.2-14.8
H.S. or G.E.D.,208,14.3,12.2-16.4
Some post-H.S.,219,17.5,15.0-20.0
College graduate,219,15.0,12.8-17.1
Missouri,,,
Less than H.S.,55,13.0,9.0-17.0
H.S. or G.E.D.,276,13.0,11.2-14.7
Some post-H.S.,261,12.9,11.2-14.7
College graduate,329,13.2,11.6-14.7
Montana,,,
Less than H.S.,40,19.0,13.0-24.9
H.S. or G.E.D.,170,12.7,10.6-14.8
Some post-H.S.,209,12.8,11.0-14.6
College graduate,226,10.5,9.1-12.0
Nebraska,,,
Less than H.S.,126,18.6,14.5-22.7
H.S. or G.E.D.,398,12.7,11.0-14.4
Some post-H.S.,464,13.8,12.1-15.5
College graduate,466,12.0,10.6-13.4
Nevada,,,
Less than H.S.,26,17.9,10.3-25.5
H.S. or G.E.D.,89,17.2,13.0-21.4
Some post-H.S.,78,14.5,10.5-18.5
College graduate,80,13.9,10.2-17.6
New Hampshire,,,
Less than H.S.,33,20.7,13.2-28.2
H.S. or G.E.D.,138,14.7,11.7-17.7
Some post-H.S.,151,14.8,12.0-17.7
College graduate,217,11.7,9.9-13.5
New Jersey,,,
Less than H.S.,85,13.6,10.4-16.8
H.S. or G.E.D.,334,16.4,14.3-18.6
Some post-H.S.,302,13.0,11.3-14.6
College graduate,676,15.3,14.0-16.6
New Mexico,,,
Less than H.S.,83,14.9,10.8-19.0
H.S. or G.E.D.,226,16.2,13.4-19.0
Some post-H.S.,210,14.2,11.6-16.9
College graduate,232,13.3,11.0-15.6
New York,,,
Less than H.S.,127,16.4,13.2-19.5
H.S. or G.E.D.,390,15.0,13.3-16.8
Some post-H.S.,393,14.6,12.8-16.4
College graduate,729,12.7,11.6-13.8
North Carolina,,,
Less than H.S.,69,16.3,11.9-20.8
H.S. or G.E.D.,208,17.8,15.2-20.4
Some post-H.S.,225,16.8,14.4-19.1
College graduate,286,14.6,12.8-16.4
North Dakota,,,
Less than H.S.,12,*,
H.S. or G.E.D.,77,12.9,9.8-16.0
Some post-H.S.,113,12.5,10.0-15.1
College graduate,113,10.8,8.6-13.0
Ohio,,,
Less than H.S.,97,15.9,12.0-19.8
H.S. or G.E.D.,513,13.9,12.4-15.5
Some post-H.S.,499,15.5,13.8-17.2
College graduate,545,13.6,12.3-15.0
Oklahoma,,,
Less than H.S.,46,13.8,9.4-18.1
H.S. or G.E.D.,177,15.9,13.4-18.4
Some post-H.S.,146,11.3,9.3-13.3
College graduate,185,14.0,11.8-16.3
Oregon,,,
Less than H.S.,42,16.1,11.2-21.0
