Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,38,10.3,6.5-14.1
H.S. or G.E.D.,138,11.1,9.0-13.1
Some post-H.S.,137,14.1,11.5-16.6
College graduate,187,13.8,11.7-15.9
Alaska,,,
Less than H.S.,16,9.0,3.8-14.2
H.S. or G.E.D.,87,11.8,7.9-15.6
Some post-H.S.,96,14.0,9.9-18.2
College graduate,133,14.8,11.4-18.2
Arizona,,,
Less than H.S.,94,18.1,14.2-22.1
H.S. or G.E.D.,232,12.1,10.3-13.9
Some post-H.S.,257,11.4,9.7-13.0
College graduate,341,12.8,11.3-14.4
Arkansas,,,
Less than H.S.,33,12.6,7.5-17.8
H.S. or G.E.D.,111,12.2,9.7-14.7
Some post-H.S.,85,10.7,8.1-13.2
College graduate,134,14.9,12.4-17.5
California,,,
Less than H.S.,85,18.4,14.3-22.5
H.S. or G.E.D.,109,16.7,13.4-20.0
Some post-H.S.,108,11.5,8.8-14.2
College graduate,221,13.7,11.6-15.9
Colorado,,,
Less than H.S.,99,18.0,14.2-21.9
H.S. or G.E.D.,222,12.5,10.8-14.2
Some post-H.S.,257,12.6,11.0-14.2
College graduate,515,13.9,12.7-15.1
Connecticut,,,
Less than H.S.,65,12.7,8.6-16.9
H.S. or G.E.D.,202,12.6,10.1-15.0
Some post-H.S.,196,10.0,7.9-12.0
College graduate,397,12.9,11.2-14.6
Delaware,,,
Less than H.S.,82,17.7,11.8-23.6
H.S. or G.E.D.,102,10.4,8.0-12.8
Some post-H.S.,99,12.0,9.1-15.0
College graduate,140,14.0,11.3-16.7
District of Columbia,,,
Less than H.S.,8,*,
H.S. or G.E.D.,44,13.1,8.9-17.3
Some post-H.S.,26,8.6,4.6-12.6
College graduate,192,8.7,7.3-10.0
Florida,,,
Less than H.S.,116,13.5,8.7-18.4
H.S. or G.E.D.,243,9.2,6.8-11.7
Some post-H.S.,238,9.1,6.9-11.3
College graduate,271,10.4,8.5-12.4
Georgia,,,
Less than H.S.,76,14.7,9.8-19.5
H.S. or G.E.D.,201,11.6,9.3-13.8
