Location,n,Percentage,95% CI
"All States, DC and Territories (median) **",,,
Less than H.S.,54,9.8**,
H.S. or G.E.D.,54,28.8**,
Some post-H.S.,54,30.6**,
College+,54,28.8**,
All States and DC (median) **,,,
Less than H.S.,51,9.7**,
H.S. or G.E.D.,51,28.7**,
Some post-H.S.,51,30.7**,
College+,51,29.6**,
Alabama,,,
Less than H.S.,370,13.4,11.6-15.1
H.S. or G.E.D.,"1,242",31.4,29.4-33.3
Some post-H.S.,"1,373",31.5,29.6-33.4
College+,"1,504",23.8,22.3-25.3
Alaska,,,
Less than H.S.,278,7.8,6.6-9.0
H.S. or G.E.D.,"1,501",30.2,28.6-31.9
Some post-H.S.,"1,734",35.1,33.4-36.8
College+,"2,312",26.9,25.5-28.3
Arizona,,,
Less than H.S.,644,12.2,10.9-13.5
H.S. or G.E.D.,"2,146",25.0,23.5-26.4
Some post-H.S.,"3,289",34.5,33.0-36.1
College+,"4,038",28.3,27.0-29.6
Arkansas,,,
Less than H.S.,390,12.9,11.4-14.3
H.S. or G.E.D.,"1,733",34.8,33.1-36.5
Some post-H.S.,"1,380",30.6,28.9-32.3
College+,"1,752",21.8,20.5-23.0
California,,,
Less than H.S.,758,15.4,14.2-16.6
H.S. or G.E.D.,"2,061",22.1,20.9-23.2
Some post-H.S.,"2,758",30.5,29.3-31.8
College+,"5,278",32.0,30.8-33.2
Colorado,,,
Less than H.S.,548,8.3,7.5-9.1
H.S. or G.E.D.,"1,773",22.2,21.1-23.4
Some post-H.S.,"2,343",30.3,29.1-31.6
College+,"4,651",39.1,38.0-40.3
Connecticut,,,
Less than H.S.,526,9.7,8.6-10.8
H.S. or G.E.D.,"2,017",27.2,25.7-28.6
Some post-H.S.,"2,175",26.4,25.0-27.7
College+,"4,996",36.8,35.5-38.1
Delaware,,,
Less than H.S.,252,9.9,8.4-11.5
H.S. or G.E.D.,"1,046",31.1,29.0-33.1
Some post-H.S.,"1,051",28.7,26.7-30.7
College+,"1,618",30.4,28.5-32.2
District of Columbia,,,
Less than H.S.,122,7.6,5.9-9.3
H.S. or G.E.D.,468,15.9,14.2-17.7
Some post-H.S.,439,18.0,16.0-20.0
College+,"2,188",58.5,56.1-60.9
Florida,,,
Less than H.S.,827,11.6,10.2-13.0
H.S. or G.E.D.,"3,487",28.7,27.1-30.4
Some post-H.S.,"3,953",30.7,29.1-32.3
College+,"5,034",29.0,27.6-30.4
Georgia,,,
Less than H.S.,719,12.6,11.4-13.8
H.S. or G.E.D.,"2,244",28.4,26.9-29.8
Some post-H.S.,"2,486",29.5,28.0-30.9
College+,"3,735",29.6,28.3-30.8
Hawaii,,,
Less than H.S.,234,7.7,6.4-8.9
H.S. or G.E.D.,"1,935",28.4,27.0-29.8
