Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,105,28.7,23.2-34.2
H.S. or G.E.D.,291,24.5,21.7-27.4
Some post-H.S.,229,19.7,17.0-22.4
College graduate,231,15.4,13.3-17.6
Alaska,,,
Less than H.S.,75,42.9,32.8-53.0
H.S. or G.E.D.,422,41.1,36.5-45.8
Some post-H.S.,324,34.2,29.6-38.8
College graduate,303,24.0,20.5-27.6
Arizona,,,
Less than H.S.,285,43.6,38.9-48.3
H.S. or G.E.D.,696,34.8,32.1-37.5
Some post-H.S.,708,27.1,24.8-29.3
College graduate,626,17.7,16.1-19.4
Arkansas,,,
Less than H.S.,78,27.2,21.0-33.3
H.S. or G.E.D.,280,28.9,25.5-32.3
Some post-H.S.,183,21.6,18.3-25.0
College graduate,169,16.0,13.0-18.9
California,,,
Less than H.S.,185,38.6,33.4-43.8
H.S. or G.E.D.,226,26.0,22.4-29.6
Some post-H.S.,283,22.7,19.6-25.8
College graduate,437,17.2,15.3-19.1
Colorado,,,
Less than H.S.,261,46.6,42.0-51.2
H.S. or G.E.D.,601,33.4,31.0-35.8
Some post-H.S.,584,25.9,23.8-27.9
College graduate,807,20.1,18.7-21.5
Connecticut,,,
Less than H.S.,150,29.0,23.6-34.4
H.S. or G.E.D.,363,20.6,17.8-23.3
Some post-H.S.,253,13.0,10.8-15.2
College graduate,389,12.3,10.7-14.0
Delaware,,,
Less than H.S.,196,40.2,33.2-47.2
H.S. or G.E.D.,192,19.0,15.5-22.5
Some post-H.S.,122,12.1,9.1-15.0
College graduate,146,11.1,8.9-13.4
District of Columbia,,,
Less than H.S.,21,17.2,9.4-25.1
H.S. or G.E.D.,81,24.6,19.3-29.9
Some post-H.S.,77,23.2,17.5-28.8
College graduate,369,23.7,21.3-26.2
Florida,,,
Less than H.S.,437,45.4,39.0-51.9
H.S. or G.E.D.,791,33.5,29.7-37.4
Some post-H.S.,624,25.5,22.4-28.6
College graduate,565,19.8,17.3-22.2
Georgia,,,
Less than H.S.,233,35.3,29.9-40.6
H.S. or G.E.D.,525,27.7,24.6-30.7
Some post-H.S.,438,24.3,21.2-27.3
College graduate,437,18.7,16.4-21.0
Hawaii,,,
Less than H.S.,57,27.1,19.8-34.3
