Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,245,53.1,47.4-58.8
H.S. or G.E.D.,963,65.4,62.4-68.4
Some post-H.S.,"1,059",74.0,71.4-76.7
College graduate,"1,493",86.3,84.6-88.0
Alaska,,,
Less than H.S.,107,56.1,46.0-66.2
H.S. or G.E.D.,778,75.6,71.6-79.6
Some post-H.S.,846,80.5,77.0-84.0
College graduate,"1,092",87.3,84.6-90.1
Arizona,,,
Less than H.S.,475,62.5,58.0-66.9
H.S. or G.E.D.,"1,710",73.3,70.9-75.7
Some post-H.S.,"2,430",79.8,78.0-81.7
College graduate,"3,219",86.7,85.2-88.2
Arkansas,,,
Less than H.S.,228,56.5,50.3-62.7
H.S. or G.E.D.,"1,035",66.6,63.6-69.7
Some post-H.S.,949,71.8,68.7-75.0
College graduate,"1,273",83.8,81.3-86.2
California,,,
Less than H.S.,313,64.3,59.2-69.4
H.S. or G.E.D.,586,71.4,67.4-75.4
Some post-H.S.,986,81.5,78.6-84.4
College graduate,"1,994",89.1,87.3-90.9
Colorado,,,
Less than H.S.,372,63.6,59.3-67.8
H.S. or G.E.D.,"1,591",76.9,74.8-79.0
Some post-H.S.,"2,112",83.3,81.7-85.0
College graduate,"4,304",91.9,91.1-92.8
Connecticut,,,
Less than H.S.,308,59.2,53.1-65.2
H.S. or G.E.D.,"1,542",72.6,69.8-75.4
Some post-H.S.,"1,679",80.5,77.9-83.1
College graduate,"3,589",89.5,87.9-91.0
Delaware,,,
Less than H.S.,248,56.0,48.9-63.1
H.S. or G.E.D.,751,67.4,63.7-71.2
Some post-H.S.,771,79.4,76.0-82.7
College graduate,"1,156",86.8,84.6-89.0
District of Columbia,,,
Less than H.S.,85,55.9,45.8-66.0
H.S. or G.E.D.,325,69.5,64.2-74.8
Some post-H.S.,370,75.1,70.1-80.2
College graduate,"2,046",92.3,91.0-93.5
Florida,,,
Less than H.S.,604,51.4,45.0-57.8
H.S. or G.E.D.,"2,085",68.4,64.8-72.0
Some post-H.S.,"2,471",76.7,73.9-79.5
College graduate,"3,170",84.0,81.8-86.2
Georgia,,,
Less than H.S.,490,59.2,54.1-64.4
H.S. or G.E.D.,"1,600",67.6,64.6-70.6
Some post-H.S.,"1,765",78.2,75.5-80.8
College graduate,"2,586",87.5,85.8-89.1
Hawaii,,,
Less than H.S.,141,67.4,59.8-75.0
H.S. or G.E.D.,"1,509",76.6,74.3-79.0
Some post-H.S.,"1,817",80.5,78.4-82.6
College graduate,"2,889",88.9,87.5-90.3
Idaho,,,
Less than H.S.,228,63.2,56.6-69.8
H.S. or G.E.D.,"1,149",74.7,71.8-77.5
Some post-H.S.,"1,612",81.4,79.2-83.6
College graduate,"1,652",88.6,86.7-90.5
Illinois,,,
Less than H.S.,78,59.4,49.1-69.8
H.S. or G.E.D.,583,65.4,61.6-69.3
Some post-H.S.,725,76.6,73.3-79.9
College graduate,"1,404",86.2,84.2-88.1
Indiana,,,
Less than H.S.,317,56.0,51.4-60.6
H.S. or G.E.D.,"1,749",67.5,65.4-69.6
Some post-H.S.,"1,632",77.8,75.8-79.7
College graduate,"2,392",86.2,84.8-87.7
Iowa,,,
Less than H.S.,270,55.7,50.5-60.9
H.S. or G.E.D.,"2,032",70.7,68.8-72.6
Some post-H.S.,"2,255",77.9,76.2-79.6
College graduate,"2,745",87.8,86.6-89.0
Kansas,,,
Less than H.S.,231,62.8,57.2-68.4
H.S. or G.E.D.,"1,872",71.2,69.1-73.2
Some post-H.S.,"2,441",79.0,77.4-80.7
College graduate,"3,564",87.9,86.8-89.1
Kentucky,,,
Less than H.S.,184,53.0,46.4-59.5
H.S. or G.E.D.,721,63.9,60.5-67.3
Some post-H.S.,765,72.9,69.8-75.9
College graduate,998,83.0,80.6-85.4
Louisiana,,,
Less than H.S.,198,56.7,50.6-62.9
H.S. or G.E.D.,912,68.8,65.8-71.7
Some post-H.S.,826,72.3,69.2-75.4
College graduate,"1,380",82.0,79.9-84.2
Maine,,,
Less than H.S.,232,55.6,48.0-63.2
H.S. or G.E.D.,"1,997",73.2,70.9-75.5
Some post-H.S.,"2,365",79.5,77.5-81.6
College graduate,"3,831",88.9,87.6-90.2
Maryland,,,
Less than H.S.,488,62.1,57.7-66.5
H.S. or G.E.D.,"2,547",71.0,68.8-73.1
Some post-H.S.,"2,472",79.4,77.6-81.3
College graduate,"5,529",89.3,88.3-90.3
Massachusetts,,,
Less than H.S.,152,56.3,49.4-63.2
H.S. or G.E.D.,948,73.9,71.1-76.8
Some post-H.S.,"1,371",80.1,77.6-82.5
College graduate,"3,292",89.8,88.6-91.0
Michigan,,,
Less than H.S.,170,64.7,57.9-71.4
H.S. or G.E.D.,"1,238",73.0,70.6-75.4
Some post-H.S.,"1,711",81.3,79.4-83.2
College graduate,"2,636",88.7,87.3-90.0
Minnesota,,,
Less than H.S.,383,61.8,57.4-66.2
H.S. or G.E.D.,"2,737",73.4,71.7-75.0
Some post-H.S.,"3,815",81.5,80.2-82.8
College graduate,"5,782",90.6,89.8-91.4
Mississippi,,,
Less than H.S.,399,54.3,49.5-59.0
H.S. or G.E.D.,"1,205",65.1,62.4-67.8
Some post-H.S.,"1,252",74.3,71.9-76.7
College graduate,"1,492",82.3,80.3-84.4
Missouri,,,
Less than H.S.,309,54.1,48.5-59.6
H.S. or G.E.D.,"1,847",68.2,66.0-70.4
Some post-H.S.,"1,876",76.0,73.9-78.1
College graduate,"2,616",87.2,85.8-88.6
Montana,,,
Less than H.S.,176,66.0,59.5-72.5
H.S. or G.E.D.,"1,214",75.2,72.8-77.6
Some post-H.S.,"1,471",81.4,79.4-83.4
College graduate,"2,150",90.9,89.6-92.1
Nebraska,,,
Less than H.S.,531,64.0,59.4-68.7
H.S. or G.E.D.,"3,018",71.5,69.6-73.4
Some post-H.S.,"3,453",78.6,76.8-80.3
College graduate,"4,211",89.2,88.0-90.3
Nevada,,,
Less than H.S.,105,56.3,47.1-65.5
H.S. or G.E.D.,462,70.8,66.2-75.4
Some post-H.S.,598,77.4,73.2-81.6
College graduate,735,87.1,83.8-90.5
New Hampshire,,,
Less than H.S.,147,65.7,58.0-73.4
H.S. or G.E.D.,"1,133",72.9,69.8-75.9
Some post-H.S.,"1,347",81.4,79.0-83.8
College graduate,"2,454",89.8,88.5-91.2
New Jersey,,,
Less than H.S.,341,55.4,50.7-60.2
H.S. or G.E.D.,"1,783",73.2,70.9-75.4
Some post-H.S.,"2,090",81.5,79.7-83.2
College graduate,"4,767",88.6,87.5-89.6
New Mexico,,,
Less than H.S.,394,57.5,51.8-63.2
H.S. or G.E.D.,"1,350",71.6,68.4-74.8
Some post-H.S.,"1,510",81.7,79.0-84.4
College graduate,"2,100",88.7,86.7-90.7
New York,,,
Less than H.S.,568,55.6,51.7-59.5
H.S. or G.E.D.,"2,279",67.9,65.7-70.0
Some post-H.S.,"2,636",76.3,74.4-78.2
College graduate,"5,640",85.6,84.5-86.7
North Carolina,,,
Less than H.S.,303,56.2,50.7-61.6
