Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,99,17.6,13.5-21.7
H.S. or G.E.D.,253,13.7,11.7-15.6
Some post-H.S.,211,11.4,9.6-13.2
College graduate,142,6.7,5.3-8.2
Alaska,,,
Less than H.S.,30,12.0,5.8-18.1
H.S. or G.E.D.,115,8.3,6.0-10.6
Some post-H.S.,120,9.8,7.3-12.3
College graduate,96,7.4,5.2-9.6
Arizona,,,
Less than H.S.,154,17.2,13.8-20.6
H.S. or G.E.D.,330,9.3,7.9-10.7
Some post-H.S.,415,10.4,9.0-11.8
College graduate,308,7.2,6.0-8.3
Arkansas,,,
Less than H.S.,131,25.1,19.8-30.5
H.S. or G.E.D.,298,14.7,12.5-16.9
Some post-H.S.,234,14.0,11.6-16.4
College graduate,158,7.0,5.6-8.4
California,,,
Less than H.S.,90,17.0,12.8-21.1
H.S. or G.E.D.,83,9.6,6.9-12.2
Some post-H.S.,166,11.4,9.2-13.6
College graduate,139,4.8,3.7-5.9
Colorado,,,
Less than H.S.,88,12.7,9.8-15.6
H.S. or G.E.D.,222,9.1,7.7-10.5
Some post-H.S.,280,9.7,8.4-10.9
College graduate,317,5.7,5.0-6.4
Connecticut,,,
Less than H.S.,75,15.6,10.5-20.8
H.S. or G.E.D.,267,10.1,8.2-12.0
Some post-H.S.,241,8.9,6.9-10.9
College graduate,236,4.7,3.8-5.6
Delaware,,,
Less than H.S.,60,13.1,8.8-17.4
H.S. or G.E.D.,164,13.9,11.2-16.5
Some post-H.S.,124,11.0,8.3-13.6
College graduate,88,5.7,4.1-7.3
District of Columbia,,,
Less than H.S.,23,13.7,7.4-20.0
H.S. or G.E.D.,57,9.9,6.6-13.1
Some post-H.S.,54,8.6,5.6-11.7
College graduate,118,4.0,3.1-5.0
Florida,,,
Less than H.S.,245,18.6,13.4-23.8
H.S. or G.E.D.,482,10.0,7.8-12.2
Some post-H.S.,534,11.2,9.4-13.0
College graduate,357,6.0,4.8-7.2
Georgia,,,
Less than H.S.,202,17.0,13.6-20.3
H.S. or G.E.D.,350,12.7,10.6-14.9
Some post-H.S.,318,9.4,7.8-10.9
College graduate,242,5.2,4.1-6.3
Hawaii,,,
Less than H.S.,28,9.5,5.1-13.8
H.S. or G.E.D.,163,6.2,4.9-7.5
Some post-H.S.,248,9.3,7.8-10.8
College graduate,198,5.6,4.6-6.6
Idaho,,,
Less than H.S.,60,15.4,10.6-20.2
H.S. or G.E.D.,209,10.8,9.0-12.7
Some post-H.S.,262,10.9,9.1-12.7
College graduate,136,5.7,4.5-6.9
Illinois,,,
Less than H.S.,27,20.1,11.4-28.8
H.S. or G.E.D.,112,10.6,8.3-13.0
Some post-H.S.,80,7.5,5.5-9.4
College graduate,93,4.5,3.4-5.6
Indiana,,,
Less than H.S.,136,20.1,16.5-23.6
H.S. or G.E.D.,392,11.3,10.0-12.5
Some post-H.S.,297,11.0,9.6-12.4
College graduate,202,5.5,4.6-6.3
Iowa,,,
Less than H.S.,75,13.7,10.4-17.0
H.S. or G.E.D.,340,11.1,9.7-12.4
Some post-H.S.,286,8.7,7.6-9.9
College graduate,200,5.0,4.2-5.8
Kansas,,,
Less than H.S.,87,19.5,15.2-23.8
H.S. or G.E.D.,328,10.8,9.5-12.2
Some post-H.S.,358,9.8,8.6-11.0
College graduate,262,5.5,4.7-6.2
Kentucky,,,
Less than H.S.,113,30.5,24.5-36.6
H.S. or G.E.D.,211,15.1,12.8-17.4
Some post-H.S.,208,14.8,12.5-17.2
College graduate,110,6.7,5.2-8.1
Louisiana,,,
Less than H.S.,93,22.7,17.4-28.0
H.S. or G.E.D.,211,13.2,11.2-15.3
Some post-H.S.,171,12.8,10.3-15.2
College graduate,137,7.3,5.7-8.9
Maine,,,
Less than H.S.,78,17.6,12.0-23.3
H.S. or G.E.D.,376,9.5,8.1-10.8
Some post-H.S.,372,10.0,8.5-11.4
College graduate,314,5.4,4.6-6.3
Maryland,,,
Less than H.S.,119,11.5,8.7-14.2
H.S. or G.E.D.,433,9.3,8.1-10.4
Some post-H.S.,328,7.7,6.6-8.8
College graduate,358,4.4,3.8-5.0
Massachusetts,,,
Less than H.S.,39,11.3,7.0-15.6
H.S. or G.E.D.,157,10.5,8.3-12.7
Some post-H.S.,172,8.4,6.8-10.1
College graduate,220,4.6,3.8-5.4
Michigan,,,
Less than H.S.,69,23.4,17.2-29.5
