Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,151,67.1,59.6-74.5
H.S. or G.E.D.,501,72.3,68.3-76.4
Some post-H.S.,497,71.6,67.4-75.8
College graduate,550,75.0,71.3-78.6
Alaska,,,
Less than H.S.,21,*,
H.S. or G.E.D.,126,64.3,54.6-74.0
Some post-H.S.,145,69.2,60.7-77.6
College graduate,219,63.6,56.1-71.0
Arizona,,,
Less than H.S.,102,57.6,45.8-69.4
H.S. or G.E.D.,485,74.4,69.8-79.1
Some post-H.S.,781,71.7,67.6-75.9
College graduate,"1,021",76.9,73.7-80.1
Arkansas,,,
Less than H.S.,167,65.4,57.7-73.0
H.S. or G.E.D.,570,70.7,66.8-74.7
Some post-H.S.,450,72.4,67.9-76.9
College graduate,533,76.6,72.7-80.5
California,,,
Less than H.S.,135,48.0,40.3-55.6
H.S. or G.E.D.,230,69.0,62.7-75.2
Some post-H.S.,502,71.6,67.3-75.9
College graduate,899,74.0,70.6-77.4
Colorado,,,
Less than H.S.,82,66.8,57.0-76.6
H.S. or G.E.D.,370,75.6,71.3-79.8
Some post-H.S.,629,79.7,76.4-82.9
College graduate,"1,129",80.3,78.0-82.7
Connecticut,,,
Less than H.S.,83,67.6,58.0-77.1
H.S. or G.E.D.,542,73.9,69.9-77.9
Some post-H.S.,597,75.6,71.8-79.4
College graduate,"1,174",76.3,73.9-78.8
Delaware,,,
Less than H.S.,52,63.6,49.8-77.4
H.S. or G.E.D.,224,76.8,70.2-83.5
Some post-H.S.,211,74.3,67.9-80.7
College graduate,368,79.3,74.4-84.2
District of Columbia,,,
Less than H.S.,30,56.8,42.0-71.7
H.S. or G.E.D.,64,62.3,51.9-72.7
Some post-H.S.,96,68.3,59.2-77.3
College graduate,360,78.1,74.0-82.2
Florida,,,
Less than H.S.,330,55.0,46.0-64.0
H.S. or G.E.D.,"1,095",65.8,61.1-70.6
Some post-H.S.,"1,273",72.5,68.9-76.1
College graduate,"1,393",68.8,64.9-72.6
Georgia,,,
Less than H.S.,183,76.3,69.5-83.1
H.S. or G.E.D.,412,63.6,57.5-69.7
Some post-H.S.,390,65.9,59.2-72.6
College graduate,562,77.1,71.8-82.4
Hawaii,,,
Less than H.S.,53,63.9,51.1-76.7
H.S. or G.E.D.,305,62.3,56.9-67.7
Some post-H.S.,434,66.4,62.1-70.6
College graduate,770,69.9,66.6-73.2
Idaho,,,
Less than H.S.,79,53.8,39.7-67.9
H.S. or G.E.D.,299,69.9,63.9-75.8
Some post-H.S.,438,68.9,63.8-74.1
College graduate,417,75.9,70.9-80.9
Illinois,,,
Less than H.S.,47,52.6,41.2-64.0
H.S. or G.E.D.,261,69.7,64.4-74.9
Some post-H.S.,265,70.4,65.1-75.7
College graduate,465,73.2,69.3-77.1
Indiana,,,
Less than H.S.,146,67.7,60.1-75.3
H.S. or G.E.D.,750,71.8,68.7-75.0
Some post-H.S.,545,71.9,68.1-75.7
College graduate,749,75.9,72.8-79.1
Iowa,,,
Less than H.S.,91,66.5,57.5-75.4
H.S. or G.E.D.,847,72.9,69.9-75.9
Some post-H.S.,645,74.8,71.4-78.2
College graduate,688,76.8,73.6-79.9
Kansas,,,
Less than H.S.,95,67.3,58.2-76.4
H.S. or G.E.D.,717,72.4,69.3-75.5
Some post-H.S.,768,72.4,69.4-75.4
College graduate,"1,042",78.1,75.7-80.5
Kentucky,,,
Less than H.S.,184,67.8,59.7-75.8
H.S. or G.E.D.,605,72.0,67.4-76.5
Some post-H.S.,531,76.6,71.8-81.4
College graduate,614,76.9,72.6-81.2
Louisiana,,,
Less than H.S.,72,58.2,47.6-68.7
H.S. or G.E.D.,250,65.9,60.3-71.5
Some post-H.S.,233,75.7,70.1-81.2
College graduate,272,77.5,72.7-82.4
Maine,,,
Less than H.S.,175,69.3,61.3-77.3
H.S. or G.E.D.,"1,056",74.2,71.2-77.3
Some post-H.S.,952,77.3,74.2-80.3
College graduate,"1,452",73.7,71.0-76.4
Maryland,,,
Less than H.S.,239,64.4,55.9-72.9
H.S. or G.E.D.,"1,223",75.1,72.2-78.1
Some post-H.S.,"1,142",76.9,74.0-79.8
College graduate,"2,363",80.8,78.9-82.8
Massachusetts,,,
Less than H.S.,74,66.6,57.0-76.2
H.S. or G.E.D.,353,74.9,70.3-79.5
Some post-H.S.,425,79.4,75.4-83.3
College graduate,870,74.5,71.5-77.5
Michigan,,,
Less than H.S.,79,59.1,48.6-69.6
H.S. or G.E.D.,692,71.5,68.0-75.0
Some post-H.S.,848,73.6,70.4-76.8
College graduate,"1,092",77.4,74.7-80.0
Minnesota,,,
Less than H.S.,90,56.0,46.6-65.4
H.S. or G.E.D.,703,69.2,65.8-72.6
Some post-H.S.,941,74.0,71.3-76.8
College graduate,"1,227",75.1,72.8-77.5
Mississippi,,,
Less than H.S.,169,62.2,55.6-68.8
H.S. or G.E.D.,330,64.5,59.6-69.4
Some post-H.S.,309,68.0,62.8-73.2
College graduate,312,75.2,70.4-79.9
Missouri,,,
Less than H.S.,147,69.9,61.1-78.7
H.S. or G.E.D.,767,74.5,70.8-78.2
Some post-H.S.,547,78.0,73.9-82.0
College graduate,647,77.9,74.0-81.8
Montana,,,
Less than H.S.,86,69.5,59.6-79.4
H.S. or G.E.D.,417,73.3,69.1-77.6
Some post-H.S.,527,72.8,69.1-76.6
College graduate,637,73.7,70.4-77.1
Nebraska,,,
Less than H.S.,157,65.9,58.0-73.7
H.S. or G.E.D.,"1,474",74.7,72.0-77.4
Some post-H.S.,"1,250",77.2,74.6-79.7
College graduate,"1,236",79.3,76.7-82.0
Nevada,,,
Less than H.S.,34,59.1,40.7-77.4
H.S. or G.E.D.,117,63.6,53.9-73.2
Some post-H.S.,193,69.2,61.8-76.5
College graduate,223,71.5,64.3-78.6
New Hampshire,,,
Less than H.S.,64,77.4,66.1-88.6
H.S. or G.E.D.,419,71.8,67.1-76.4
Some post-H.S.,446,77.1,73.1-81.2
College graduate,786,79.9,77.0-82.8
New Mexico,,,
Less than H.S.,114,60.2,51.3-69.1
H.S. or G.E.D.,325,75.6,70.3-80.9
Some post-H.S.,378,72.1,66.9-77.4
College graduate,637,74.0,70.1-78.0
New York,,,
Less than H.S.,189,54.0,45.9-62.1
H.S. or G.E.D.,761,62.3,57.9-66.6
Some post-H.S.,700,65.8,61.3-70.4
College graduate,"1,355",71.7,68.4-75.0
North Carolina,,,
Less than H.S.,64,68.5,56.7-80.3
H.S. or G.E.D.,192,75.1,69.5-80.7
Some post-H.S.,273,77.6,72.1-83.2
College graduate,307,78.2,73.7-82.8
North Dakota,,,
Less than H.S.,89,70.9,61.9-79.9
H.S. or G.E.D.,486,72.1,68.0-76.2
Some post-H.S.,519,73.0,68.9-77.1
College graduate,578,79.7,76.3-83.2
Ohio,,,
Less than H.S.,252,67.9,60.3-75.6
H.S. or G.E.D.,"1,383",71.6,68.6-74.7
Some post-H.S.,987,78.4,75.3-81.5
College graduate,"1,153",78.3,75.4-81.3
Oklahoma,,,
Less than H.S.,123,69.6,61.8-77.4
H.S. or G.E.D.,485,77.1,73.2-81.0
Some post-H.S.,481,75.1,71.2-79.1
College graduate,594,81.2,78.0-84.3
Oregon,,,
Less than H.S.,48,65.3,53.7-76.9
H.S. or G.E.D.,235,69.3,63.2-75.3
Some post-H.S.,453,74.5,70.1-78.9
College graduate,518,79.4,75.7-83.1
Pennsylvania,,,
Less than H.S.,67,67.0,55.2-78.7
H.S. or G.E.D.,431,73.0,68.7-77.2
Some post-H.S.,295,76.5,71.3-81.6
College graduate,566,77.7,74.1-81.4
Rhode Island,,,
Less than H.S.,109,63.0,53.4-72.6
H.S. or G.E.D.,365,72.6,67.8-77.3
Some post-H.S.,358,74.7,69.6-79.7
College graduate,741,80.5,77.5-83.6
South Carolina,,,
Less than H.S.,183,68.5,60.4-76.7
H.S. or G.E.D.,518,75.1,70.8-79.4
Some post-H.S.,544,74.3,69.9-78.6
College graduate,732,74.8,71.3-78.3
