Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,342,95.3,91.9-98.6
H.S. or G.E.D.,"1,103",90.9,88.8-93.0
Some post-H.S.,"1,044",84.9,82.5-87.2
College graduate,"1,283",86.7,84.8-88.6
Alaska,,,
Less than H.S.,187,94.3,91.1-97.6
H.S. or G.E.D.,"1,217",85.2,82.7-87.7
Some post-H.S.,"1,255",80.4,77.7-83.1
College graduate,"1,890",83.5,81.5-85.5
Arizona,,,
Less than H.S.,683,97.0,95.5-98.5
H.S. or G.E.D.,"2,282",89.4,87.7-91.1
Some post-H.S.,"3,013",85.8,84.2-87.4
College graduate,"4,107",87.1,85.8-88.3
Arkansas,,,
Less than H.S.,354,94.7,92.3-97.0
H.S. or G.E.D.,"1,491",89.8,88.2-91.5
Some post-H.S.,"1,225",86.3,84.2-88.4
College graduate,"1,520",87.7,86.0-89.4
California,,,
Less than H.S.,"1,173",98.4,97.6-99.1
H.S. or G.E.D.,"2,002",92.2,90.8-93.5
Some post-H.S.,"2,649",88.7,87.1-90.3
College graduate,"4,821",93.1,92.2-94.0
Colorado,,,
Less than H.S.,483,97.5,96.2-98.8
H.S. or G.E.D.,"1,482",90.4,88.7-92.1
Some post-H.S.,"1,807",85.7,83.9-87.5
College graduate,"3,887",89.8,88.8-90.8
Connecticut,,,
Less than H.S.,481,98.6,97.6-99.5
H.S. or G.E.D.,"1,743",91.1,89.5-92.6
Some post-H.S.,"1,821",91.6,90.1-93.1
College graduate,"4,473",93.4,92.4-94.4
Delaware,,,
Less than H.S.,228,91.8,85.4-98.3
H.S. or G.E.D.,948,89.0,86.7-91.4
Some post-H.S.,853,85.1,82.3-87.8
College graduate,"1,585",88.2,86.2-90.2
District of Columbia,,,
Less than H.S.,87,97.0,93.5-100.0
H.S. or G.E.D.,408,93.1,90.1-96.1
Some post-H.S.,383,92.0,88.8-95.1
College graduate,"2,056",95.4,94.5-96.4
Florida,,,
Less than H.S.,800,95.6,92.7-98.5
H.S. or G.E.D.,"3,074",86.3,84.1-88.5
Some post-H.S.,"3,022",86.1,83.9-88.2
College graduate,"4,112",87.7,86.3-89.2
Georgia,,,
Less than H.S.,564,97.5,96.0-98.9
H.S. or G.E.D.,"1,835",89.0,87.2-90.8
Some post-H.S.,"1,615",84.0,81.9-86.0
College graduate,"2,957",88.5,87.1-89.8
Hawaii,,,
Less than H.S.,231,93.6,89.5-97.7
H.S. or G.E.D.,"1,630",86.3,84.2-88.4
Some post-H.S.,"1,849",84.7,82.6-86.8
College graduate,"2,952",84.4,82.7-86.0
Idaho,,,
Less than H.S.,435,95.8,93.5-98.1
H.S. or G.E.D.,"1,898",92.4,91.0-93.9
Some post-H.S.,"1,802",85.9,83.7-88.1
College graduate,"1,927",89.5,87.9-91.1
Illinois,,,
Less than H.S.,444,98.3,96.8-99.8
H.S. or G.E.D.,"1,045",93.2,91.4-95.1
Some post-H.S.,"1,086",90.9,88.7-93.2
College graduate,"2,320",94.3,93.2-95.3
Indiana,,,
Less than H.S.,625,96.1,94.5-97.7
H.S. or G.E.D.,"2,977",90.2,89.1-91.3
Some post-H.S.,"2,433",87.9,86.5-89.3
College graduate,"3,695",92.3,91.4-93.2
Iowa,,,
Less than H.S.,622,97.4,96.0-98.9
H.S. or G.E.D.,"2,442",89.1,87.6-90.6
Some post-H.S.,"2,271",89.4,88.0-90.9
College graduate,"2,586",91.7,90.5-92.9
Kansas,,,
Less than H.S.,342,93.7,90.4-96.9
H.S. or G.E.D.,"2,132",88.8,87.3-90.3
Some post-H.S.,"2,676",88.5,87.1-89.9
College graduate,"3,437",88.4,87.2-89.6
Louisiana,,,
Less than H.S.,457,95.0,91.3-98.8
H.S. or G.E.D.,"1,393",89.3,87.5-91.2
Some post-H.S.,"1,255",87.5,85.5-89.5
College graduate,"1,610",89.8,88.0-91.5
Maine,,,
Less than H.S.,371,93.1,90.2-95.9
H.S. or G.E.D.,"2,737",88.5,87.0-90.0
Some post-H.S.,"2,734",84.9,83.2-86.6
College graduate,"4,712",90.9,89.9-91.8
Maryland,,,
Less than H.S.,905,95.8,93.9-97.8
