Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,684,26.5,23.2-29.8
H.S. or G.E.D.,144,40.6,32.6-48.6
Some post-H.S.,55,69.9,57.8-82.1
College graduate,789,81.6,78.9-84.3
Alaska,,,
Less than H.S.,311,24.3,19.5-29.1
H.S. or G.E.D.,280,40.3,34.6-46.0
Some post-H.S.,258,72.7,67.3-78.2
College graduate,172,79.3,73.2-85.4
Arizona,,,
Less than H.S.,784,23.6,20.6-26.6
H.S. or G.E.D.,134,42.6,34.3-51.0
Some post-H.S.,722,66.6,63.2-70.0
College graduate,788,75.6,72.6-78.6
Arkansas,,,
Less than H.S.,943,25.7,22.9-28.5
H.S. or G.E.D.,588,35.3,31.4-39.1
Some post-H.S.,119,62.8,54.1-71.5
College graduate,634,75.3,72.0-78.7
California,,,
Less than H.S.,462,22.0,18.2-25.7
H.S. or G.E.D.,62,41.9,29.7-54.2
Some post-H.S.,60,65.3,53.2-77.3
College graduate,125,72.8,65.0-80.6
Colorado,,,
Less than H.S.,253,29.4,23.8-35.0
H.S. or G.E.D.,268,40.3,34.4-46.2
Some post-H.S.,547,68.2,64.3-72.1
College graduate,646,72.7,69.3-76.2
Connecticut,,,
Less than H.S.,57,23.4,12.4-34.4
H.S. or G.E.D.,604,41.3,37.4-45.3
Some post-H.S.,233,64.5,58.4-70.7
College graduate,763,78.1,75.2-81.1
Delaware,,,
Less than H.S.,695,23.2,20.1-26.3
H.S. or G.E.D.,748,40.1,36.6-43.6
Some post-H.S.,588,66.2,62.4-70.0
College graduate,459,82.6,79.1-86.0
District of Columbia,,,
Less than H.S.,255,25.0,19.6-30.3
H.S. or G.E.D.,489,37.8,33.5-42.1
Some post-H.S.,633,70.5,66.9-74.0
College graduate,314,73.3,68.4-78.2
Florida,,,
Less than H.S.,858,25.6,22.7-28.5
H.S. or G.E.D.,920,35.1,32.0-38.2
Some post-H.S.,36,64.0,48.3-79.7
College graduate,807,77.6,74.7-80.5
Georgia,,,
Less than H.S.,855,27.2,24.2-30.2
H.S. or G.E.D.,193,41.5,34.6-48.5
Some post-H.S.,744,67.7,64.3-71.0
College graduate,462,76.1,72.2-80.0
Hawaii,,,
Less than H.S.,378,20.6,16.5-24.6
H.S. or G.E.D.,314,38.8,33.4-44.2
Some post-H.S.,189,66.6,59.9-73.3
College graduate,250,80.2,75.2-85.1
Idaho,,,
Less than H.S.,811,26.0,23.0-29.1
H.S. or G.E.D.,374,35.7,30.9-40.6
Some post-H.S.,134,69.0,61.1-76.8
College graduate,124,75.8,68.3-83.4
Illinois,,,
Less than H.S.,419,23.0,18.9-27.0
H.S. or G.E.D.,129,42.8,34.3-51.4
Some post-H.S.,397,71.1,66.6-75.6
College graduate,897,79.8,77.2-82.4
Indiana,,,
Less than H.S.,382,22.5,18.3-26.7
H.S. or G.E.D.,648,40.1,36.3-43.8
Some post-H.S.,300,69.0,63.8-74.2
College graduate,856,79.9,77.2-82.6
Iowa,,,
Less than H.S.,74,23.6,13.9-33.2
H.S. or G.E.D.,777,40.4,37.0-43.9
Some post-H.S.,500,64.7,60.5-68.9
College graduate,579,73.4,69.8-77.0
Kansas,,,
Less than H.S.,157,27.4,20.5-34.4
H.S. or G.E.D.,974,45.1,41.9-48.2
Some post-H.S.,417,67.8,63.3-72.3
College graduate,110,80.0,72.5-87.5
Kentucky,,,
Less than H.S.,595,26.1,22.6-29.6
H.S. or G.E.D.,330,39.1,33.8-44.3
Some post-H.S.,879,69.1,66.0-72.1
College graduate,673,81.6,78.7-84.5
Louisiana,,,
Less than H.S.,663,24.9,21.6-28.2
H.S. or G.E.D.,936,45.7,42.5-48.9
Some post-H.S.,912,60.1,57.0-63.3
College graduate,400,79.5,75.5-83.4
Maine,,,
Less than H.S.,621,25.3,21.8-28.7
H.S. or G.E.D.,226,40.1,33.7-46.5
Some post-H.S.,751,68.3,64.9-71.6
College graduate,101,71.0,62.2-79.9
Maryland,,,
Less than H.S.,76,24.3,14.7-34.0
H.S. or G.E.D.,707,42.1,38.4-45.7
Some post-H.S.,263,72.4,67.0-77.8
College graduate,821,75.4,72.5-78.4
Massachusetts,,,
Less than H.S.,326,22.6,18.0-27.1
H.S. or G.E.D.,111,39.5,30.4-48.6
Some post-H.S.,905,70.7,67.8-73.7
College graduate,268,78.0,73.0-82.9
Michigan,,,
Less than H.S.,917,23.4,20.7-26.2
H.S. or G.E.D.,133,42.5,34.1-50.9
Some post-H.S.,419,68.3,63.8-72.7
College graduate,314,79.9,75.5-84.3
