Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,684,13.5,15.6-21.4
H.S. or G.E.D.,144,10.6,9.7-21.5
Some post-H.S.,55,23.9,17.0-40.9
College graduate,789,47.6,49.1-56.1
Alaska,,,
Less than H.S.,311,15.8,12.2-20.4
H.S. or G.E.D.,280,14.8,11.1-19.5
Some post-H.S.,258,31.2,26.1-37.4
College graduate,172,49.8,42.8-57.8
Arizona,,,
Less than H.S.,784,15.1,13.1-18.1
H.S. or G.E.D.,134,17.1,11.2-24.1
Some post-H.S.,722,25.1,22.4-28.8
College graduate,788,46.1,43.1-50.1
Arkansas,,,
Less than H.S.,943,12.7,15.3-20.2
H.S. or G.E.D.,588,5.3,7.8-12.7
Some post-H.S.,119,16.8,14.4-29.2
College graduate,634,41.3,42.4-50.2
California,,,
Less than H.S.,462,14.0,10.8-17.1
H.S. or G.E.D.,62,16.9,7.6-26.3
Some post-H.S.,60,24.3,13.4-35.1
College graduate,125,43.8,35.1-52.5
Colorado,,,
Less than H.S.,253,22.4,16.3-26.5
H.S. or G.E.D.,268,16.3,11.0-19.6
Some post-H.S.,547,28.2,23.5-30.9
College graduate,646,44.7,39.9-47.6
Connecticut,,,
Less than H.S.,57,16.4,6.0-24.7
H.S. or G.E.D.,604,17.3,13.4-19.3
Some post-H.S.,233,24.5,18.1-29.0
College graduate,763,50.1,45.6-52.7
Delaware,,,
Less than H.S.,695,15.2,12.5-17.9
H.S. or G.E.D.,748,15.1,12.6-17.7
Some post-H.S.,588,25.2,21.7-28.7
College graduate,459,53.6,49.0-58.1
District of Columbia,,,
Less than H.S.,255,17.0,12.4-21.6
H.S. or G.E.D.,489,12.8,9.9-15.8
Some post-H.S.,633,29.5,25.9-33.0
College graduate,314,44.3,38.8-49.8
Florida,,,
Less than H.S.,858,17.6,15.1-20.2
H.S. or G.E.D.,920,10.1,8.2-12.1
Some post-H.S.,36,23.0,9.3-36.8
College graduate,807,48.6,45.1-52.0
Georgia,,,
Less than H.S.,855,19.2,16.6-21.9
H.S. or G.E.D.,193,16.5,11.3-21.8
Some post-H.S.,744,26.7,23.5-29.8
College graduate,462,47.1,42.5-51.6
Hawaii,,,
Less than H.S.,378,12.6,9.2-15.9
H.S. or G.E.D.,314,13.8,10.0-17.7
Some post-H.S.,189,25.6,19.4-31.8
College graduate,250,51.2,45.0-57.4
Idaho,,,
Less than H.S.,811,18.0,15.4-20.7
H.S. or G.E.D.,374,10.7,7.6-13.8
Some post-H.S.,134,28.0,20.4-35.6
College graduate,124,46.8,38.1-55.6
Illinois,,,
Less than H.S.,419,15.0,11.6-18.4
H.S. or G.E.D.,129,17.8,11.2-24.4
Some post-H.S.,397,30.1,25.6-34.6
College graduate,897,50.8,47.5-54.1
Indiana,,,
Less than H.S.,382,14.5,11.0-18.0
H.S. or G.E.D.,648,15.1,12.3-17.8
Some post-H.S.,300,28.0,22.9-33.1
College graduate,856,50.9,47.6-54.3
Iowa,,,
Less than H.S.,74,15.6,7.3-23.8
H.S. or G.E.D.,777,15.4,12.9-18.0
Some post-H.S.,500,23.7,20.0-27.4
College graduate,579,44.4,40.4-48.5
Kansas,,,
Less than H.S.,157,19.4,13.2-25.6
H.S. or G.E.D.,974,20.1,17.6-22.6
Some post-H.S.,417,26.8,22.5-31.0
College graduate,110,51.0,41.7-60.4
Kentucky,,,
Less than H.S.,595,18.1,15.0-21.2
H.S. or G.E.D.,330,14.1,10.3-17.8
Some post-H.S.,879,28.1,25.1-31.1
College graduate,673,52.6,48.8-56.4
Louisiana,,,
Less than H.S.,663,16.9,14.0-19.7
H.S. or G.E.D.,936,20.7,18.1-23.3
Some post-H.S.,912,19.1,16.6-21.7
College graduate,400,50.5,45.6-55.4
Maine,,,
Less than H.S.,621,17.3,14.3-20.2
H.S. or G.E.D.,226,15.1,10.4-19.8
Some post-H.S.,751,27.3,24.1-30.5
College graduate,101,42.0,32.4-51.7
Maryland,,,
Less than H.S.,76,17.3,8.0-24.7
H.S. or G.E.D.,707,18.1,14.3-19.8
Some post-H.S.,263,32.4,25.8-37.0
College graduate,821,47.4,43.0-49.9
Massachusetts,,,
Less than H.S.,326,15.6,10.7-18.4
H.S. or G.E.D.,111,15.5,7.9-21.0
Some post-H.S.,905,30.7,26.8-32.7
College graduate,268,50.0,43.0-55.0
Michigan,,,
Less than H.S.,917,15.4,13.1-17.7
